,date,open,high,low,close,volume,amount,outstanding_share,turnover,股票代码,股票名称
0,2022-01-04,12.72,13.59,12.57,12.62,36463709.0,674638763.0,340743468.0,0.10701220250537569,sh603222,济民健康
1,2022-01-05,12.6,12.62,12.05,12.06,23865319.0,411555098.0,340743468.0,0.07003896256640788,sh603222,济民健康
2,2022-01-06,12.33,13.27,12.21,13.27,40329600.0,728914048.0,340743468.0,0.11835766137122253,sh603222,济民健康
3,2022-01-07,13.4,14.46,13.04,13.28,52798237.0,1018350773.0,340743468.0,0.15495010751020472,sh603222,济民健康
4,2022-01-10,13.3,13.96,13.08,13.65,34661623.0,661734228.0,340743468.0,0.10172351418340321,sh603222,济民健康
5,2022-01-11,13.15,13.61,12.84,13.38,29224393.0,545597353.0,340743468.0,0.08576655385804784,sh603222,济民健康
6,2022-01-12,13.16,14.68,12.93,13.81,33770793.0,650165977.0,340743468.0,0.09910914271730074,sh603222,济民健康
7,2022-01-13,13.61,14.28,13.13,13.13,25590393.0,490008171.0,340743468.0,0.07510163921909722,sh603222,济民健康
8,2022-01-14,12.85,14.44,12.49,14.44,51943636.0,1021146297.0,340743468.0,0.15244205943222952,sh603222,济民健康
9,2022-01-17,15.4,15.88,14.88,15.88,39139799.0,857081045.0,340743468.0,0.11486588203651199,sh603222,济民健康
10,2022-01-18,16.09,16.15,14.3,14.3,56958998.0,1197803534.0,340743468.0,0.16716093879751204,sh603222,济民健康
11,2022-01-19,12.91,13.58,12.9,13.05,39834450.0,741734760.0,340743468.0,0.11690451539338093,sh603222,济民健康
12,2022-01-20,13.04,13.81,12.98,13.18,34125731.0,645147647.0,340743468.0,0.10015080024952966,sh603222,济民健康
13,2022-01-21,12.92,12.94,11.86,11.86,34300353.0,582445408.0,340743468.0,0.10066327375643191,sh603222,济民健康
14,2022-01-24,11.32,11.65,10.8,11.06,29825894.0,466826805.0,340743468.0,0.08753181440296898,sh603222,济民健康
15,2022-01-25,11.02,11.23,10.4,10.42,23629508.0,358227864.0,340743468.0,0.06934691408376462,sh603222,济民健康
16,2022-01-26,10.48,10.61,10.26,10.52,17084761.0,252788201.0,340743468.0,0.05013965814305793,sh603222,济民健康
17,2022-01-27,10.62,10.75,10.15,10.18,17921800.0,264186897.0,340743468.0,0.0525961659813828,sh603222,济民健康
18,2022-01-28,10.28,10.49,10.03,10.37,13510894.0,196368054.0,340743468.0,0.0396512193742185,sh603222,济民健康
19,2022-02-07,10.56,10.83,10.32,10.72,14167561.0,212497002.0,340743468.0,0.04157837884070605,sh603222,济民健康
20,2022-02-08,10.71,11.05,10.63,10.89,14209300.0,217492948.0,340743468.0,0.04170087275157979,sh603222,济民健康
21,2022-02-09,10.78,10.88,10.63,10.81,16886200.0,256707329.0,340743468.0,0.0495569294376026,sh603222,济民健康
22,2022-02-10,10.79,11.14,10.72,10.86,17671700.0,272690805.0,340743468.0,0.05186218272568618,sh603222,济民健康
23,2022-02-11,10.67,10.77,10.29,10.33,16680900.0,246766851.0,340743468.0,0.0489544233904434,sh603222,济民健康
24,2022-02-14,10.21,10.65,10.19,10.42,11797878.0,174280105.0,340743468.0,0.03462393004698772,sh603222,济民健康
25,2022-02-15,10.48,10.53,10.26,10.44,9245600.0,135896660.0,340743468.0,0.027133608911910235,sh603222,济民健康
26,2022-02-16,10.5,11.48,10.48,11.23,29101435.0,454785085.0,340743468.0,0.08540570174627676,sh603222,济民健康
27,2022-02-17,11.23,11.41,11.05,11.09,15800986.0,248718958.0,340743468.0,0.046372087754885445,sh603222,济民健康
28,2022-02-18,10.97,11.23,10.92,11.15,10859896.0,170342547.0,340743468.0,0.03187117881889962,sh603222,济民健康
29,2022-02-21,11.21,11.53,11.13,11.44,16140919.0,258126206.0,340743468.0,0.04736970922653167,sh603222,济民健康
30,2022-02-22,11.25,11.42,11.08,11.16,11947700.0,188683750.0,340743468.0,0.035063621527735345,sh603222,济民健康
31,2022-02-23,11.5,11.72,11.35,11.6,16474999.0,268759029.0,340743468.0,0.04835015355305358,sh603222,济民健康
32,2022-02-24,11.54,11.73,10.96,11.25,19537313.0,314617626.0,340743468.0,0.05733730749022018,sh603222,济民健康
33,2022-02-25,11.25,11.74,11.25,11.6,14609119.0,239345172.0,340743468.0,0.04287424520783477,sh603222,济民健康
34,2022-02-28,11.6,11.96,11.48,11.87,16074956.0,266897217.0,340743468.0,0.04717612371075592,sh603222,济民健康
35,2022-03-01,11.78,11.93,11.66,11.89,11752432.0,195298391.0,340743468.0,0.03449055698405934,sh603222,济民健康
36,2022-03-02,11.82,12.28,11.7,12.23,16182299.0,275880747.0,340743468.0,0.04749114955888164,sh603222,济民健康
37,2022-03-03,12.26,12.72,12.16,12.51,16222900.0,285703912.0,340743468.0,0.0476103037138778,sh603222,济民健康
38,2022-03-04,12.4,12.83,12.23,12.36,16291899.0,287905930.0,340743468.0,0.04781279915833926,sh603222,济民健康
39,2022-03-07,12.3,12.47,11.99,12.3,13434200.0,230995802.0,340743468.0,0.03942614095833526,sh603222,济民健康
40,2022-03-08,12.34,12.41,11.58,11.74,13278467.0,222089284.0,340743468.0,0.03896910211643441,sh603222,济民健康
41,2022-03-09,11.87,11.89,10.64,11.33,16084170.0,255910540.0,340743468.0,0.04720316458127966,sh603222,济民健康
42,2022-03-10,11.52,12.26,11.52,12.06,16276909.0,272329677.0,340743468.0,0.047768807119143365,sh603222,济民健康
43,2022-03-11,12.06,12.4,11.68,12.35,23047884.0,393722506.0,340743468.0,0.0676399877458546,sh603222,济民健康
44,2022-03-14,13.11,13.11,12.17,12.52,27441696.0,488440057.0,340743468.0,0.08053476758063635,sh603222,济民健康
45,2022-03-15,12.33,12.33,11.41,11.42,18857318.0,317109603.0,340743468.0,0.055341685963001354,sh603222,济民健康
46,2022-03-16,11.59,11.78,10.93,11.65,16017654.0,256666617.0,340743468.0,0.04700795614371102,sh603222,济民健康
47,2022-03-17,11.76,12.34,11.65,12.03,19893308.0,339036679.0,340743468.0,0.058382067062838015,sh603222,济民健康
48,2022-03-18,11.91,12.16,11.87,12.04,10945361.0,185835309.0,340743468.0,0.03212199800701682,sh603222,济民健康
49,2022-03-21,11.99,12.4,11.99,12.28,12314947.0,212767009.0,340743468.0,0.036141403009961735,sh603222,济民健康
50,2022-03-22,12.28,12.58,11.96,12.26,16120834.0,278765594.0,340743468.0,0.04731076458962377,sh603222,济民健康
51,2022-03-23,12.37,12.6,12.06,12.43,13909716.0,242760054.0,340743468.0,0.04082166587563169,sh603222,济民健康
52,2022-03-24,12.62,12.88,12.37,12.67,22486363.0,401329495.0,340743468.0,0.06599205887051664,sh603222,济民健康
53,2022-03-25,12.61,12.62,12.12,12.14,17053109.0,297822289.0,340743468.0,0.05004676714741895,sh603222,济民健康
54,2022-03-28,12.05,12.67,12.01,12.4,13874844.0,242076782.0,340743468.0,0.040719324955629084,sh603222,济民健康
55,2022-03-29,12.3,12.65,12.28,12.31,11830147.0,207897266.0,340743468.0,0.03471863178900322,sh603222,济民健康
56,2022-03-30,12.28,12.58,12.21,12.57,12096943.0,213101512.0,340743468.0,0.03550161378295299,sh603222,济民健康
57,2022-03-31,12.47,12.94,12.42,12.57,15324341.0,274932030.0,340743468.0,0.0449732494945435,sh603222,济民健康
58,2022-04-01,12.46,13.54,12.33,13.12,23859483.0,434306014.0,340743468.0,0.07002183531218859,sh603222,济民健康
59,2022-04-06,13.11,13.75,13.07,13.23,18920188.0,357108158.0,340743468.0,0.05552619426882161,sh603222,济民健康
60,2022-04-07,13.22,13.57,13.06,13.27,16395133.0,308088327.0,340743468.0,0.04811576608124444,sh603222,济民健康
61,2022-04-08,12.99,12.99,12.19,12.41,17545900.0,311517417.0,340743468.0,0.051492990028498505,sh603222,济民健康
62,2022-04-11,12.2,12.4,11.61,11.77,14868400.0,251591562.0,340743468.0,0.043635172487004215,sh603222,济民健康
63,2022-04-12,11.75,12.41,11.72,12.4,11573225.0,198423088.0,340743468.0,0.03396462760659582,sh603222,济民健康
64,2022-04-13,12.4,12.74,12.13,12.45,10642842.0,186531763.0,340743468.0,0.031234177613054054,sh603222,济民健康
65,2022-04-14,12.45,12.99,12.41,12.84,13430966.0,242656969.0,340743468.0,0.039416649947343965,sh603222,济民健康
66,2022-04-15,12.76,14.13,12.69,13.59,32081165.0,611451257.0,340743468.0,0.0941504915363484,sh603222,济民健康
67,2022-04-18,13.48,13.59,13.09,13.33,17061777.0,320759348.0,340743468.0,0.05007220563946364,sh603222,济民健康
