,date,open,high,low,close,volume,amount,outstanding_share,turnover,股票代码,股票名称
0,2022-01-04,15.82,16.78,15.8,16.5,7905997.0,131500179.0,231722033.0,0.034118451739977615,sh603232,格尔软件
1,2022-01-05,16.73,16.97,16.16,16.7,8026962.0,135870332.0,231722033.0,0.03464047805933068,sh603232,格尔软件
2,2022-01-06,16.65,16.8,16.3,16.53,4867074.0,81918461.0,231722033.0,0.021003932759385033,sh603232,格尔软件
3,2022-01-07,16.61,16.93,15.92,15.97,4778224.0,79988299.0,231722033.0,0.02062049921683537,sh603232,格尔软件
4,2022-01-10,15.97,16.55,15.64,16.2,4776422.0,79178191.0,231722033.0,0.020612722658099585,sh603232,格尔软件
5,2022-01-11,16.2,16.58,15.85,15.92,3848960.0,63639894.0,231722033.0,0.0166102461219128,sh603232,格尔软件
6,2022-01-12,15.92,16.41,15.92,16.04,3853148.0,63373167.0,231722033.0,0.016628319500373103,sh603232,格尔软件
7,2022-01-13,16.15,16.46,15.93,16.15,4145992.0,68502008.0,231722033.0,0.017892092289730602,sh603232,格尔软件
8,2022-01-14,16.04,16.44,15.87,16.16,3301341.0,54751976.0,231722033.0,0.014246987898643199,sh603232,格尔软件
9,2022-01-17,16.38,17.32,16.29,17.17,11640779.0,201501023.0,231722033.0,0.0502359609455006,sh603232,格尔软件
10,2022-01-18,17.32,17.91,16.98,16.98,12905082.0,229285665.0,231722033.0,0.05569208000173208,sh603232,格尔软件
11,2022-01-19,16.75,17.38,16.68,17.06,6467520.0,112484047.0,231722033.0,0.027910682105917826,sh603232,格尔软件
12,2022-01-20,16.92,17.15,16.41,16.47,7038189.0,119157377.0,231722033.0,0.030373412958965364,sh603232,格尔软件
13,2022-01-21,16.39,16.84,16.36,16.46,4488518.0,75894700.0,231722033.0,0.019370268514776925,sh603232,格尔软件
14,2022-01-24,16.53,17.6,16.3,16.8,7996771.0,138970044.0,231722033.0,0.034510188334140844,sh603232,格尔软件
15,2022-01-25,16.6,16.85,15.64,15.67,8771365.0,144127642.0,231722033.0,0.037852960663434194,sh603232,格尔软件
16,2022-01-26,15.71,16.8,15.5,15.82,7787410.0,127010781.0,231722033.0,0.03360668771622593,sh603232,格尔软件
17,2022-01-27,15.82,15.87,14.39,14.62,9302772.0,140532045.0,231722033.0,0.04014625575117408,sh603232,格尔软件
18,2022-01-28,14.69,15.32,14.64,14.96,5199095.0,79715872.0,231722033.0,0.022436774495241892,sh603232,格尔软件
19,2022-02-07,15.13,15.25,14.38,14.46,5487178.0,81592011.0,231722033.0,0.02368000111581966,sh603232,格尔软件
20,2022-02-08,14.34,14.79,14.19,14.76,4028148.0,59917963.0,231722033.0,0.017383534693914928,sh603232,格尔软件
21,2022-02-09,14.85,15.72,14.78,15.56,5351180.0,84425309.0,231722033.0,0.023093099653583655,sh603232,格尔软件
22,2022-02-10,15.47,15.55,15.19,15.22,4046638.0,63157041.0,231722033.0,0.017463328573506864,sh603232,格尔软件
23,2022-02-11,15.18,15.37,14.69,15.01,5814464.0,89114934.0,231722033.0,0.02509240888629697,sh603232,格尔软件
24,2022-02-14,14.9,15.14,14.69,14.82,4090934.0,62184387.0,231722033.0,0.01765448864329617,sh603232,格尔软件
25,2022-02-15,14.88,14.98,14.51,14.68,3681355.0,55123832.0,231722033.0,0.015886944164692357,sh603232,格尔软件
26,2022-02-16,15.03,15.36,14.6,14.73,3828080.0,57946243.0,231722033.0,0.01652013816053478,sh603232,格尔软件
27,2022-02-17,14.57,14.94,14.37,14.45,4688433.0,69849109.0,231722033.0,0.02023300477430215,sh603232,格尔软件
28,2022-02-18,14.35,14.75,14.3,14.72,3803363.0,56740074.0,231722033.0,0.016413471566598933,sh603232,格尔软件
29,2022-02-21,14.73,15.2,14.72,15.11,4832412.0,74194234.0,231722033.0,0.020854348364879052,sh603232,格尔软件
30,2022-02-22,14.88,15.04,14.75,14.79,3823266.0,58071743.0,231722033.0,0.016499363269439293,sh603232,格尔软件
31,2022-02-23,14.9,15.15,14.7,15.11,3462243.0,53042603.0,231722033.0,0.014941362956193294,sh603232,格尔软件
32,2022-02-24,15.01,15.02,14.2,14.41,5350919.0,79584060.0,231722033.0,0.02309197330406643,sh603232,格尔软件
33,2022-02-25,14.64,14.78,14.38,14.41,3551240.0,52814811.0,231722033.0,0.015325430879505532,sh603232,格尔软件
34,2022-02-28,15.0,15.06,14.29,14.7,3037901.0,45176469.0,231722033.0,0.013110108523862294,sh603232,格尔软件
35,2022-03-01,14.71,14.71,14.5,14.64,2102800.0,31335972.0,231722033.0,0.009074665765598561,sh603232,格尔软件
36,2022-03-02,14.49,14.72,14.42,14.54,2799157.0,41633375.0,231722033.0,0.012079805117194014,sh603232,格尔软件
37,2022-03-03,14.55,14.69,14.21,14.22,3552790.0,51935017.0,231722033.0,0.015332119928362618,sh603232,格尔软件
38,2022-03-04,14.11,14.29,13.9,13.95,3685524.0,52966324.0,231722033.0,0.01590493554836022,sh603232,格尔软件
39,2022-03-07,13.91,14.1,13.64,13.84,2459440.0,34942295.0,231722033.0,0.010613751174882882,sh603232,格尔软件
40,2022-03-08,14.01,14.01,13.43,13.51,2831456.0,39617400.0,231722033.0,0.012219191948829485,sh603232,格尔软件
41,2022-03-09,13.42,13.64,12.89,13.62,3533164.0,48127893.0,231722033.0,0.015247423623285749,sh603232,格尔软件
42,2022-03-10,13.79,13.87,13.49,13.52,3097383.0,43280776.0,231722033.0,0.013366804010389465,sh603232,格尔软件
43,2022-03-11,13.32,13.71,13.03,13.7,2841672.0,38675325.0,231722033.0,0.01226327925407076,sh603232,格尔软件
44,2022-03-14,13.65,13.86,13.52,13.59,3090683.0,43229108.0,231722033.0,0.013337890057265293,sh603232,格尔软件
45,2022-03-15,13.39,14.03,13.14,13.14,4380980.0,60999161.0,231722033.0,0.01890618662058778,sh603232,格尔软件
46,2022-03-16,13.48,13.86,13.23,13.82,5147694.0,71559974.0,231722033.0,0.02221495268859479,sh603232,格尔软件
