,date,open,high,low,close,volume,amount,outstanding_share,turnover,股票代码,股票名称
0,2022-01-04,28.07,28.12,26.44,26.87,2889775.0,129107224.0,196146401.0,0.014732745465974672,sh603279,景津装备
1,2022-01-05,27.48,27.48,25.68,26.15,3693536.0,160577640.0,196146401.0,0.01883050609733084,sh603279,景津装备
2,2022-01-06,25.74,27.9,25.74,27.59,2171794.0,97924463.0,196146401.0,0.011072311237563824,sh603279,景津装备
3,2022-01-07,27.46,27.83,26.85,27.67,2223227.0,101091567.0,196146401.0,0.011334528641185723,sh603279,景津装备
4,2022-01-10,27.49,27.65,25.61,26.78,3268478.0,144117367.0,196146401.0,0.016663461492724508,sh603279,景津装备
5,2022-01-11,26.84,27.33,26.51,26.81,2253966.0,100976636.0,196146401.0,0.011491243216845972,sh603279,景津装备
6,2022-01-12,26.85,27.37,26.43,27.13,1648614.0,73572491.0,196146401.0,0.008405017841749745,sh603279,景津装备
7,2022-01-13,27.19,27.24,25.71,25.8,2079272.0,89810125.0,196146401.0,0.010600612549602682,sh603279,景津装备
8,2022-01-14,25.66,26.32,25.1,25.38,2993981.0,126968897.0,196146401.0,0.015264011905066767,sh603279,景津装备
9,2022-01-17,25.65,25.65,24.5,25.03,2707651.0,111642775.0,196146401.0,0.013804234929602404,sh603279,景津装备
10,2022-01-18,25.28,26.52,24.78,26.23,2500692.0,106667835.0,196146401.0,0.012749109783564165,sh603279,景津装备
11,2022-01-19,26.27,26.58,24.61,24.92,2534370.0,105267544.0,196146401.0,0.01292080806519616,sh603279,景津装备
12,2022-01-20,25.07,25.24,24.04,24.14,2659551.0,107264458.0,196146401.0,0.013559009935644958,sh603279,景津装备
13,2022-01-21,24.04,24.46,23.56,23.88,2232623.0,88439886.0,196146401.0,0.011382431635847349,sh603279,景津装备
14,2022-01-24,24.03,24.32,23.49,24.23,1724121.0,68246907.0,196146401.0,0.00878997009993571,sh603279,景津装备
15,2022-01-25,23.92,24.75,23.41,23.47,1816301.0,71789831.0,196146401.0,0.00925992519230572,sh603279,景津装备
16,2022-01-26,23.43,23.95,23.11,23.76,1947990.0,76110428.0,196146401.0,0.009931306361313253,sh603279,景津装备
17,2022-01-27,23.76,24.04,23.21,23.31,985000.0,38354191.0,196146401.0,0.005021759231768928,sh603279,景津装备
18,2022-01-28,23.61,24.03,22.89,23.68,1904758.0,74362291.0,196146401.0,0.00971089956424946,sh603279,景津装备
