,date,open,high,low,close,volume,amount,outstanding_share,turnover,股票代码,股票名称
0,2022-01-04,18.01,19.33,17.76,18.93,27903948.0,796734035.0,419786665.0,0.06647173511335812,sh603466,风语筑
1,2022-01-05,18.55,20.18,18.55,19.51,30456540.0,900737217.0,419786665.0,0.07255242374123533,sh603466,风语筑
2,2022-01-06,19.01,19.01,18.04,18.39,21714944.0,613923178.0,419786665.0,0.05172852262946466,sh603466,风语筑
3,2022-01-07,18.46,18.84,17.15,17.49,19599681.0,536643254.0,419786665.0,0.046689622692040494,sh603466,风语筑
4,2022-01-10,17.33,18.24,16.75,18.07,17800880.0,481121333.0,419786665.0,0.04240458662497057,sh603466,风语筑
5,2022-01-11,17.95,18.15,17.04,17.33,15061826.0,401669159.0,419786665.0,0.03587971523583294,sh603466,风语筑
6,2022-01-12,17.76,18.58,17.76,18.34,19899154.0,551752499.0,419786665.0,0.047403016005760926,sh603466,风语筑
7,2022-01-13,18.08,18.66,17.5,17.67,19885832.0,545408642.0,419786665.0,0.04737128083856594,sh603466,风语筑
8,2022-01-14,18.2,19.44,17.9,19.44,29097016.0,841736235.0,419786665.0,0.0693138168169301,sh603466,风语筑
9,2022-01-17,20.21,21.39,19.68,21.39,28769632.0,901544672.0,419786665.0,0.06853393496908722,sh603466,风语筑
10,2022-01-18,21.96,22.96,20.46,20.98,41147645.0,1356308678.0,419786665.0,0.09802037184768601,sh603466,风语筑
11,2022-01-19,20.82,21.83,20.54,20.94,25897463.0,833333517.0,419786665.0,0.0616919620350494,sh603466,风语筑
12,2022-01-20,20.97,21.18,19.17,19.47,27312037.0,826225391.0,419786665.0,0.06506170699824397,sh603466,风语筑
13,2022-01-21,19.99,20.54,19.47,19.64,20955419.0,639349043.0,419786665.0,0.049919210749583956,sh603466,风语筑
14,2022-01-24,19.3,21.48,19.11,21.24,26453902.0,829312690.0,419786665.0,0.06301749008630372,sh603466,风语筑
15,2022-01-25,20.71,21.09,20.06,20.22,18846338.0,591717602.0,419786665.0,0.04489503733997839,sh603466,风语筑
16,2022-01-26,20.65,21.92,19.93,21.52,26287128.0,842491559.0,419786665.0,0.06262020733793437,sh603466,风语筑
17,2022-01-27,21.04,21.76,19.37,19.37,23240360.0,715165446.0,419786665.0,0.05536231123492215,sh603466,风语筑
18,2022-01-28,18.88,20.07,17.47,19.22,25068562.0,708551579.0,419786665.0,0.059717385258057205,sh603466,风语筑
