,date,open,high,low,close,volume,amount,outstanding_share,turnover,股票代码,股票名称
0,2022-01-04,25.02,25.34,23.76,24.11,3528103.0,122913955.0,149575570.0,0.02358742808066852,sh603538,美诺华
1,2022-01-05,24.04,24.14,23.34,23.61,2651397.0,88882554.0,149575570.0,0.01772613669464873,sh603538,美诺华
2,2022-01-06,23.63,24.81,23.62,24.61,3467315.0,119981209.0,149575570.0,0.023181024815750326,sh603538,美诺华
3,2022-01-07,24.56,24.64,23.66,23.68,2361610.0,80467491.0,149575570.0,0.015788741436853625,sh603538,美诺华
4,2022-01-10,23.85,25.11,23.45,24.69,2992333.0,103670630.0,149575570.0,0.02000549287560796,sh603538,美诺华
5,2022-01-11,24.7,24.81,24.28,24.51,1812028.0,63156815.0,149575570.0,0.012114464949055518,sh603538,美诺华
6,2022-01-12,24.56,25.66,24.29,25.42,3719464.0,133547124.0,149575570.0,0.024866788072410488,sh603538,美诺华
7,2022-01-13,25.3,25.52,24.9,25.14,2531800.0,90617873.0,149575570.0,0.016926560935051092,sh603538,美诺华
8,2022-01-14,25.09,26.54,24.79,26.15,6104191.0,224509541.0,149575570.0,0.04081008014878366,sh603538,美诺华
9,2022-01-17,26.15,26.3,25.61,25.99,3184547.0,117361226.0,149575570.0,0.021290555670287602,sh603538,美诺华
10,2022-01-18,25.87,25.9,24.49,24.56,4334669.0,153642421.0,149575570.0,0.02897979262255193,sh603538,美诺华
11,2022-01-19,24.47,24.8,24.08,24.28,1922917.0,66636534.0,149575570.0,0.01285582264536916,sh603538,美诺华
12,2022-01-20,24.29,24.97,24.0,24.01,2336474.0,80877811.0,149575677.0,0.015620681429374375,sh603538,美诺华
13,2022-01-21,24.18,24.42,22.84,23.09,2859806.0,94671328.0,149575677.0,0.019119458840891626,sh603538,美诺华
14,2022-01-24,22.83,23.33,22.59,22.86,1409200.0,46035892.0,149575677.0,0.009421317879109449,sh603538,美诺华
15,2022-01-25,22.86,23.23,21.72,21.85,2309435.0,72977852.0,149575677.0,0.015439910059708437,sh603538,美诺华
16,2022-01-26,21.93,22.28,21.37,21.75,1389200.0,42875644.0,149575677.0,0.009287606299786295,sh603538,美诺华
17,2022-01-27,21.86,22.12,21.22,21.22,1720528.0,52757068.0,149575677.0,0.011502725807485398,sh603538,美诺华
18,2022-01-28,21.26,21.82,21.26,21.68,1255900.0,38574966.0,149575677.0,0.008396418623597472,sh603538,美诺华
19,2022-02-07,21.98,22.21,21.71,21.84,1160543.0,36231823.0,149575677.0,0.007758901870121571,sh603538,美诺华
20,2022-02-08,21.86,22.05,21.19,21.71,1596956.0,49019994.0,149575677.0,0.010676575443479356,sh603538,美诺华
21,2022-02-09,21.82,22.0,21.68,21.84,1665080.0,51695091.0,149575677.0,0.011132023824969885,sh603538,美诺华
22,2022-02-10,21.99,22.02,21.05,21.16,2688654.0,81630507.0,149575677.0,0.0179752086296758,sh603538,美诺华
