,date,open,high,low,close,volume,amount,outstanding_share,turnover,股票代码,股票名称
0,2022-01-04,9.97,10.51,9.96,10.5,11358109.0,120031114.0,908562905.0,0.01250118064197217,sh603609,禾丰股份
1,2022-01-05,10.4,11.04,10.38,10.94,18305348.0,202162283.0,908562905.0,0.020147584607804345,sh603609,禾丰股份
2,2022-01-06,10.9,10.93,10.58,10.8,7594026.0,83132456.0,908562905.0,0.00835828312845328,sh603609,禾丰股份
3,2022-01-07,10.68,11.28,10.61,10.64,7614488.0,84132934.0,908562905.0,0.008380804408914318,sh603609,禾丰股份
4,2022-01-10,10.61,11.7,10.59,11.7,21429231.0,251372342.0,908562905.0,0.023585852869482934,sh603609,禾丰股份
5,2022-01-11,11.86,11.93,11.32,11.42,18186364.0,213729191.0,908562905.0,0.02001662614654073,sh603609,禾丰股份
6,2022-01-12,11.44,11.5,11.2,11.48,8537601.0,99182255.0,908562905.0,0.009396818814653235,sh603609,禾丰股份
7,2022-01-13,11.48,11.77,11.31,11.48,9177466.0,107326297.0,908562905.0,0.010101079352342697,sh603609,禾丰股份
8,2022-01-14,11.54,12.03,11.42,11.54,10333442.0,122740987.0,908562905.0,0.011373391917205777,sh603609,禾丰股份
9,2022-01-17,11.42,11.53,10.97,11.31,12716402.0,145468039.0,908562905.0,0.01399617123923852,sh603609,禾丰股份
10,2022-01-18,11.29,11.31,10.81,10.84,9056768.0,100858597.0,908562905.0,0.0099682343953939,sh603609,禾丰股份
11,2022-01-19,10.93,10.93,10.63,10.76,5108050.0,55929973.0,908562905.0,0.005622120352800448,sh603609,禾丰股份
12,2022-01-20,10.79,11.09,10.62,10.67,8035662.0,88577142.0,908562905.0,0.008844365047018951,sh603609,禾丰股份
13,2022-01-21,10.65,10.72,10.38,10.43,5467700.0,58778037.0,908562905.0,0.006017965261304609,sh603609,禾丰股份
14,2022-01-24,10.36,10.66,10.31,10.46,5099832.0,54520302.0,908562905.0,0.005613075299392726,sh603609,禾丰股份
15,2022-01-25,10.33,10.58,10.11,10.18,4978200.0,52445325.0,908562905.0,0.005479202345378607,sh603609,禾丰股份
16,2022-01-26,10.18,10.41,10.03,10.33,3182512.0,33188661.0,908562905.0,0.003502797640632269,sh603609,禾丰股份
17,2022-01-27,10.34,10.57,10.14,10.14,4103142.0,43240914.0,908562905.0,0.004516079159097961,sh603609,禾丰股份
18,2022-01-28,10.25,10.78,10.25,10.61,6626963.0,71463185.0,908562905.0,0.0072938956274029255,sh603609,禾丰股份
19,2022-02-07,10.61,10.85,10.21,10.54,6735030.0,72180798.0,908562905.0,0.007412838409906247,sh603609,禾丰股份
20,2022-02-08,10.52,10.99,10.43,10.83,6937631.0,76064722.0,908562905.0,0.007635829023858287,sh603609,禾丰股份
21,2022-02-09,10.87,11.24,10.81,11.1,5597014.0,63181179.0,908562905.0,0.00616029332608511,sh603609,禾丰股份
22,2022-02-10,11.1,11.37,11.0,11.28,7360868.0,84403674.0,908562905.0,0.00810166028074853,sh603609,禾丰股份
23,2022-02-11,11.34,11.42,10.99,11.01,6126531.0,69803546.0,908562905.0,0.006743100523127785,sh603609,禾丰股份
24,2022-02-14,11.02,11.16,10.47,10.52,8604300.0,93593876.0,908562905.0,0.009470230352404713,sh603609,禾丰股份
25,2022-02-15,10.56,10.61,10.21,10.32,6396866.0,67509412.0,908562905.0,0.007040641836461505,sh603609,禾丰股份
26,2022-02-16,10.36,10.44,9.99,10.03,8092266.0,83224605.0,908562905.0,0.008906665631478758,sh603609,禾丰股份
27,2022-02-17,10.02,10.1,9.93,10.05,6866750.0,70105064.0,908562905.0,0.007557814612737243,sh603609,禾丰股份
28,2022-02-18,10.04,10.25,9.91,10.16,6254567.0,64257453.0,908562905.0,0.00688402197093882,sh603609,禾丰股份
29,2022-02-21,10.15,10.25,10.01,10.14,4944949.0,50957835.0,908562905.0,0.005442604989469606,sh603609,禾丰股份
