,date,open,high,low,close,volume,amount,outstanding_share,turnover,股票代码,股票名称
0,2022-01-04,5.06,5.16,5.05,5.15,5292100.0,32515337.0,179550000.0,0.029474241158451684,sh603682,锦和商管
1,2022-01-05,5.15,5.21,5.13,5.17,4363170.0,27010373.0,179550000.0,0.02430058479532164,sh603682,锦和商管
2,2022-01-06,5.15,5.38,5.13,5.25,6038330.0,38237901.0,179550000.0,0.03363035366193261,sh603682,锦和商管
3,2022-01-07,5.25,5.31,5.14,5.15,4962912.0,31068026.0,179550000.0,0.027640835421888055,sh603682,锦和商管
4,2022-01-10,5.16,5.2,5.1,5.15,3438330.0,21257492.0,179550000.0,0.01914970760233918,sh603682,锦和商管
5,2022-01-11,5.14,5.26,5.14,5.17,3773500.0,23496919.0,179550000.0,0.021016429963798385,sh603682,锦和商管
6,2022-01-12,5.15,5.21,5.13,5.19,3269800.0,20309664.0,179550000.0,0.01821108326371484,sh603682,锦和商管
7,2022-01-13,5.21,5.26,5.17,5.2,3920500.0,24548571.0,179550000.0,0.021835143414090784,sh603682,锦和商管
8,2022-01-14,5.2,5.26,5.1,5.12,5025209.0,31281829.0,179550000.0,0.027987797270955166,sh603682,锦和商管
9,2022-01-17,5.13,5.25,5.13,5.19,3029900.0,18831737.0,179550000.0,0.016874965190754664,sh603682,锦和商管
10,2022-01-18,5.18,5.22,5.0,5.02,5009900.0,30381403.0,179550000.0,0.02790253411306043,sh603682,锦和商管
11,2022-01-19,5.01,5.25,5.0,5.13,4773300.0,29374211.0,179550000.0,0.026584795321637426,sh603682,锦和商管
12,2022-01-20,5.1,5.16,4.97,4.97,3753909.0,22709218.0,179550000.0,0.020907318295739347,sh603682,锦和商管
13,2022-01-21,4.97,5.05,4.92,4.96,2910900.0,17344310.0,179550000.0,0.01621219715956558,sh603682,锦和商管
14,2022-01-24,4.96,4.98,4.88,4.89,1951844.0,11520125.0,179550000.0,0.010870754664438875,sh603682,锦和商管
15,2022-01-25,4.89,4.93,4.67,4.71,3248362.0,18661808.0,179550000.0,0.01809168476747424,sh603682,锦和商管
16,2022-01-26,4.71,4.81,4.71,4.79,1599200.0,9137706.0,179550000.0,0.008906711222500696,sh603682,锦和商管
17,2022-01-27,4.81,4.81,4.64,4.65,2180300.0,12275006.0,179550000.0,0.012143135616819827,sh603682,锦和商管
18,2022-01-28,4.67,4.77,4.65,4.75,2072200.0,11752406.0,179550000.0,0.011541074909495961,sh603682,锦和商管
19,2022-02-07,4.78,4.83,4.71,4.8,1806400.0,10377718.0,179550000.0,0.010060707323865218,sh603682,锦和商管
20,2022-02-08,4.78,4.94,4.78,4.94,2821700.0,16573200.0,179550000.0,0.015715399610136453,sh603682,锦和商管
21,2022-02-09,4.93,5.0,4.9,4.96,2373700.0,14130547.0,179550000.0,0.01322027290448343,sh603682,锦和商管
22,2022-02-10,4.96,4.98,4.89,4.93,2023100.0,11943244.0,179550000.0,0.011267613478139794,sh603682,锦和商管
23,2022-02-11,4.92,4.98,4.86,4.87,2483000.0,14593321.0,179550000.0,0.013829016986911724,sh603682,锦和商管
24,2022-02-14,4.91,4.96,4.85,4.96,2906100.0,17205413.0,179550000.0,0.01618546365914787,sh603682,锦和商管
25,2022-02-15,4.91,4.97,4.85,4.86,2850200.0,16706708.0,179550000.0,0.01587412976886661,sh603682,锦和商管
