,date,open,high,low,close,volume,amount,outstanding_share,turnover,股票代码,股票名称
0,2022-01-04,12.23,12.51,12.22,12.44,1569877.0,23587407.0,160000000.0,0.00981173125,sh603706,东方环宇
1,2022-01-05,12.41,12.49,12.19,12.26,1017000.0,15107432.0,160000000.0,0.00635625,sh603706,东方环宇
2,2022-01-06,12.27,12.43,12.22,12.31,950700.0,14218566.0,160000000.0,0.005941875,sh603706,东方环宇
3,2022-01-07,12.28,12.42,12.08,12.12,1072800.0,15923576.0,160000000.0,0.006705,sh603706,东方环宇
4,2022-01-10,12.14,12.25,11.9,12.22,861900.0,12667387.0,160000000.0,0.005386875,sh603706,东方环宇
5,2022-01-11,12.21,12.46,12.18,12.23,818200.0,12209247.0,160000000.0,0.00511375,sh603706,东方环宇
6,2022-01-12,12.25,12.56,12.25,12.56,2044299.0,30858464.0,160000000.0,0.01277686875,sh603706,东方环宇
7,2022-01-13,12.57,12.69,12.46,12.53,1097000.0,16692447.0,160000000.0,0.00685625,sh603706,东方环宇
8,2022-01-14,12.41,12.53,12.2,12.22,1266800.0,18908607.0,160000000.0,0.0079175,sh603706,东方环宇
9,2022-01-17,12.27,12.39,12.18,12.39,1029500.0,15333052.0,160000000.0,0.006434375,sh603706,东方环宇
10,2022-01-18,12.39,12.48,12.03,12.06,1274235.0,18755237.0,160000000.0,0.00796396875,sh603706,东方环宇
11,2022-01-19,12.13,12.25,12.07,12.19,738735.0,10895779.0,160000000.0,0.00461709375,sh603706,东方环宇
12,2022-01-20,12.24,12.29,11.7,11.72,1178900.0,17017986.0,160000000.0,0.007368125,sh603706,东方环宇
13,2022-01-21,11.7,11.81,11.58,11.72,760800.0,10764937.0,160000000.0,0.004755,sh603706,东方环宇
14,2022-01-24,11.72,11.72,11.51,11.53,602100.0,8448085.0,160000000.0,0.003763125,sh603706,东方环宇
15,2022-01-25,11.68,11.68,10.95,11.01,993500.0,13474062.0,160000000.0,0.006209375,sh603706,东方环宇
16,2022-01-26,11.05,11.32,11.05,11.24,702600.0,9530288.0,160000000.0,0.00439125,sh603706,东方环宇
17,2022-01-27,11.23,11.32,10.9,10.99,805300.0,10789522.0,160000000.0,0.005033125,sh603706,东方环宇
