,date,open,high,low,close,volume,amount,outstanding_share,turnover,股票代码,股票名称
0,2022-01-04,10.78,10.93,10.64,10.85,1775941.0,26648556.0,315000000.0,0.0056379079365079365,sh603823,百合花
1,2022-01-05,10.97,10.97,10.72,10.76,1439008.0,21505136.0,315000000.0,0.004568279365079365,sh603823,百合花
2,2022-01-06,10.86,10.86,10.61,10.76,1669454.0,24813381.0,315000000.0,0.0052998539682539685,sh603823,百合花
3,2022-01-07,10.78,10.85,10.65,10.65,1120220.0,16695584.0,315000000.0,0.0035562539682539684,sh603823,百合花
4,2022-01-10,10.67,10.76,10.63,10.73,1228861.0,18243867.0,315000000.0,0.003901146031746032,sh603823,百合花
5,2022-01-11,10.76,10.89,10.72,10.78,1549148.0,23254883.0,315000000.0,0.004917930158730158,sh603823,百合花
6,2022-01-12,10.78,10.96,10.76,10.95,2060381.0,31176943.0,315000000.0,0.006540892063492064,sh603823,百合花
7,2022-01-13,10.95,11.01,10.88,10.9,1608768.0,24411733.0,315000000.0,0.0051072,sh603823,百合花
8,2022-01-14,10.91,10.91,10.69,10.69,1575556.0,23556537.0,315000000.0,0.00500176507936508,sh603823,百合花
9,2022-01-17,10.7,10.88,10.68,10.88,1189420.0,17845303.0,315000000.0,0.003775936507936508,sh603823,百合花
10,2022-01-18,10.88,10.92,10.69,10.81,1459040.0,21780135.0,315000000.0,0.0046318730158730155,sh603823,百合花
11,2022-01-19,10.9,10.99,10.76,10.83,1329648.0,20019978.0,315000000.0,0.004221104761904762,sh603823,百合花
12,2022-01-20,10.83,10.87,10.48,10.51,1770660.0,26119403.0,315000000.0,0.0056211428571428575,sh603823,百合花
13,2022-01-21,10.51,10.6,10.37,10.39,989180.0,14338319.0,315000000.0,0.0031402539682539683,sh603823,百合花
14,2022-01-24,10.38,10.57,10.34,10.38,918541.0,13287093.0,315000000.0,0.0029160031746031747,sh603823,百合花
15,2022-01-25,10.33,10.52,10.01,10.01,2149304.0,30519321.0,315000000.0,0.006823187301587302,sh603823,百合花
16,2022-01-26,10.01,10.27,9.98,10.12,913400.0,12765346.0,315000000.0,0.0028996825396825398,sh603823,百合花
17,2022-01-27,10.06,10.22,9.95,10.03,1364280.0,18957732.0,315000000.0,0.004331047619047619,sh603823,百合花
18,2022-01-28,10.02,10.13,9.98,10.07,603780.0,8428373.0,315000000.0,0.0019167619047619048,sh603823,百合花
19,2022-02-07,10.08,10.24,10.07,10.17,884700.0,12461015.0,315000000.0,0.0028085714285714285,sh603823,百合花
20,2022-02-08,10.15,10.45,10.15,10.42,1461120.0,20997926.0,315000000.0,0.00463847619047619,sh603823,百合花
21,2022-02-09,10.42,10.49,10.38,10.42,667200.0,9644325.0,315000000.0,0.002118095238095238,sh603823,百合花
