,date,open,high,low,close,volume,amount,outstanding_share,turnover,股票代码,股票名称
0,2008-05-22,1.35,1.45,1.3,1.31,19324661.0,624683319.0,24000000.0,0.8051942083333333,sz002241,歌尔股份
1,2008-05-23,1.42,1.45,1.31,1.33,11256716.0,368428138.0,24000000.0,0.4690298333333333,sz002241,歌尔股份
2,2008-05-26,1.27,1.33,1.22,1.31,7292373.0,217244725.0,24000000.0,0.303848875,sz002241,歌尔股份
3,2008-05-27,1.33,1.42,1.3,1.34,4512300.0,144787103.0,24000000.0,0.1880125,sz002241,歌尔股份
4,2008-05-28,1.3,1.35,1.27,1.31,3024176.0,92900218.0,24000000.0,0.12600733333333333,sz002241,歌尔股份
5,2008-05-29,1.3,1.39,1.24,1.36,5007366.0,155474293.0,24000000.0,0.20864025,sz002241,歌尔股份
6,2008-05-30,1.35,1.4,1.33,1.35,3218374.0,104579632.0,24000000.0,0.13409891666666668,sz002241,歌尔股份
7,2008-06-02,1.33,1.33,1.28,1.3,1760658.0,54235451.0,24000000.0,0.07336075,sz002241,歌尔股份
8,2008-06-03,1.29,1.37,1.29,1.36,1804164.0,56757481.0,24000000.0,0.0751735,sz002241,歌尔股份
9,2008-06-04,1.36,1.41,1.34,1.38,2877588.0,93677807.0,24000000.0,0.1198995,sz002241,歌尔股份
10,2008-06-05,1.35,1.44,1.34,1.43,2231736.0,73328183.0,24000000.0,0.092989,sz002241,歌尔股份
11,2008-06-06,1.42,1.48,1.39,1.4,2464998.0,83693023.0,24000000.0,0.10270825,sz002241,歌尔股份
12,2008-06-10,1.34,1.36,1.29,1.34,2360314.0,74042040.0,24000000.0,0.09834641666666667,sz002241,歌尔股份
13,2008-06-11,1.34,1.39,1.2,1.25,3466541.0,104769753.0,24000000.0,0.14443920833333335,sz002241,歌尔股份
14,2008-06-12,1.23,1.23,1.14,1.21,2800463.0,78107461.0,24000000.0,0.11668595833333334,sz002241,歌尔股份
15,2008-06-13,1.19,1.23,1.14,1.15,1252512.0,35325996.0,24000000.0,0.052188,sz002241,歌尔股份
16,2008-06-16,1.15,1.17,1.09,1.13,914900.0,24194051.0,24000000.0,0.03812083333333333,sz002241,歌尔股份
17,2008-06-17,1.12,1.15,1.11,1.12,1230179.0,32859790.0,24000000.0,0.05125745833333333,sz002241,歌尔股份
18,2008-06-18,1.12,1.18,1.1,1.17,908495.0,24764726.0,24000000.0,0.03785395833333333,sz002241,歌尔股份
19,2008-06-19,1.18,1.2,1.13,1.15,1352195.0,37176981.0,24000000.0,0.05634145833333333,sz002241,歌尔股份
20,2008-06-20,1.15,1.24,1.13,1.18,1185909.0,33582539.0,24000000.0,0.049412875,sz002241,歌尔股份
21,2008-06-23,1.15,1.16,1.06,1.12,1425252.0,37178052.0,24000000.0,0.0593855,sz002241,歌尔股份
22,2008-06-24,1.1,1.15,1.07,1.14,1022333.0,27059983.0,24000000.0,0.04259720833333333,sz002241,歌尔股份
23,2008-06-25,1.12,1.19,1.11,1.19,977659.0,26840883.0,24000000.0,0.04073579166666667,sz002241,歌尔股份
24,2008-06-26,1.18,1.19,1.13,1.18,767656.0,21178971.0,24000000.0,0.03198566666666667,sz002241,歌尔股份
25,2008-06-30,1.1,1.15,1.09,1.14,599891.0,15858456.0,24000000.0,0.024995458333333335,sz002241,歌尔股份
26,2008-07-01,1.12,1.17,1.12,1.14,391106.0,10553047.0,24000000.0,0.016296083333333333,sz002241,歌尔股份
27,2008-07-02,1.13,1.17,1.13,1.17,359014.0,9794505.0,24000000.0,0.014958916666666667,sz002241,歌尔股份
28,2008-07-03,1.15,1.24,1.14,1.21,840330.0,23996532.0,24000000.0,0.03501375,sz002241,歌尔股份
29,2008-07-04,1.2,1.21,1.18,1.19,619552.0,17389459.0,24000000.0,0.025814666666666666,sz002241,歌尔股份
30,2008-07-07,1.18,1.24,1.18,1.23,648783.0,18741624.0,24000000.0,0.027032625,sz002241,歌尔股份
31,2008-07-08,1.21,1.24,1.15,1.19,972355.0,27560507.0,24000000.0,0.04051479166666667,sz002241,歌尔股份
32,2008-07-09,1.18,1.22,1.18,1.2,860880.0,24355715.0,24000000.0,0.03587,sz002241,歌尔股份
33,2008-07-10,1.19,1.26,1.17,1.23,920876.0,26675129.0,24000000.0,0.03836983333333333,sz002241,歌尔股份
34,2008-07-11,1.23,1.28,1.22,1.26,676254.0,19996972.0,24000000.0,0.02817725,sz002241,歌尔股份
35,2008-07-14,1.25,1.29,1.24,1.26,582840.0,17427996.0,24000000.0,0.024285,sz002241,歌尔股份
36,2008-07-15,1.26,1.26,1.2,1.24,492930.0,14360576.0,24000000.0,0.02053875,sz002241,歌尔股份
37,2008-07-16,1.23,1.25,1.19,1.21,488947.0,14029393.0,24000000.0,0.020372791666666668,sz002241,歌尔股份
38,2008-07-17,1.21,1.24,1.18,1.2,176100.0,5024844.0,24000000.0,0.0073375,sz002241,歌尔股份
39,2008-07-18,1.2,1.22,1.15,1.21,382450.0,10683940.0,24000000.0,0.015935416666666667,sz002241,歌尔股份
40,2008-07-21,1.2,1.25,1.2,1.23,847724.0,24464661.0,24000000.0,0.03532183333333333,sz002241,歌尔股份
41,2008-07-22,1.23,1.24,1.21,1.21,254410.0,7359450.0,24000000.0,0.010600416666666666,sz002241,歌尔股份
42,2008-07-23,1.22,1.23,1.17,1.18,373617.0,10542390.0,24000000.0,0.015567375,sz002241,歌尔股份
43,2008-07-24,1.18,1.2,1.18,1.19,227801.0,6419689.0,24000000.0,0.009491708333333333,sz002241,歌尔股份
44,2008-07-25,1.19,1.2,1.17,1.18,224626.0,6285536.0,24000000.0,0.009359416666666667,sz002241,歌尔股份
45,2008-07-28,1.19,1.24,1.19,1.23,573352.0,16590434.0,24000000.0,0.023889666666666667,sz002241,歌尔股份
46,2008-07-29,1.22,1.26,1.22,1.24,477004.0,13921178.0,24000000.0,0.019875166666666666,sz002241,歌尔股份
47,2008-07-30,1.26,1.31,1.24,1.29,1037942.0,31477690.0,24000000.0,0.04324758333333333,sz002241,歌尔股份
48,2008-07-31,1.29,1.33,1.28,1.3,1150193.0,35515566.0,24000000.0,0.047924708333333337,sz002241,歌尔股份
49,2008-08-01,1.3,1.31,1.25,1.28,383853.0,11559303.0,24000000.0,0.015993875,sz002241,歌尔股份
50,2008-08-04,1.25,1.34,1.24,1.33,548922.0,17053890.0,24000000.0,0.02287175,sz002241,歌尔股份
51,2008-08-05,1.31,1.37,1.29,1.29,456003.0,14374164.0,24000000.0,0.019000125,sz002241,歌尔股份
52,2008-08-06,1.3,1.33,1.27,1.28,518544.0,16055216.0,24000000.0,0.021606,sz002241,歌尔股份
53,2008-08-07,1.28,1.4,1.28,1.35,609472.0,19247014.0,24000000.0,0.025394666666666666,sz002241,歌尔股份
54,2008-08-08,1.34,1.36,1.3,1.3,797431.0,24816807.0,24000000.0,0.033226291666666664,sz002241,歌尔股份
55,2008-08-11,1.27,1.32,1.22,1.27,584180.0,17660674.0,24000000.0,0.024340833333333332,sz002241,歌尔股份
56,2008-08-12,1.27,1.33,1.23,1.32,322814.0,9707624.0,24000000.0,0.013450583333333333,sz002241,歌尔股份
57,2008-08-13,1.29,1.38,1.29,1.38,292434.0,9268614.0,24000000.0,0.01218475,sz002241,歌尔股份
58,2008-08-14,1.38,1.4,1.36,1.37,243581.0,7944581.0,24000000.0,0.010149208333333333,sz002241,歌尔股份
59,2008-08-15,1.36,1.45,1.35,1.43,565251.0,18883885.0,24000000.0,0.023552125,sz002241,歌尔股份
