,date,open,high,low,close,volume,amount,outstanding_share,turnover,股票代码,股票名称
0,2010-05-28,3.39,3.61,3.35,3.57,34098352.0,2723697152.0,40000000.0,0.8524588,sz002415,海康威视
1,2010-05-31,3.74,3.82,3.63,3.7,17227872.0,1471291648.0,40000000.0,0.4306968,sz002415,海康威视
2,2010-06-01,3.74,3.83,3.66,3.8,10994680.0,945440192.0,40000000.0,0.274867,sz002415,海康威视
3,2010-06-02,3.68,3.76,3.58,3.75,9496264.0,800740032.0,40000000.0,0.2374066,sz002415,海康威视
4,2010-06-03,3.74,3.78,3.53,3.55,7560522.0,635491840.0,40000000.0,0.18901305,sz002415,海康威视
5,2010-06-04,3.48,3.61,3.48,3.53,5087772.0,412869120.0,40000000.0,0.1271943,sz002415,海康威视
6,2010-06-07,3.41,3.59,3.41,3.53,4676806.0,377475872.0,40000000.0,0.11692015,sz002415,海康威视
7,2010-06-08,3.51,3.59,3.37,3.45,5514313.0,437974176.0,40000000.0,0.137857825,sz002415,海康威视
8,2010-06-09,3.44,3.59,3.42,3.53,4495839.0,362423040.0,40000000.0,0.112395975,sz002415,海康威视
9,2010-06-10,3.5,3.67,3.49,3.63,3619226.0,299970080.0,40000000.0,0.09048065,sz002415,海康威视
10,2010-06-11,3.66,3.7,3.59,3.66,3785070.0,317148128.0,40000000.0,0.09462675,sz002415,海康威视
11,2010-06-17,3.66,3.69,3.45,3.48,3301453.0,269617216.0,40000000.0,0.082536325,sz002415,海康威视
12,2010-06-18,3.43,3.52,3.42,3.46,1923900.0,152940864.0,40000000.0,0.0480975,sz002415,海康威视
13,2010-06-21,3.44,3.45,3.22,3.44,2365497.0,182506384.0,40000000.0,0.059137425,sz002415,海康威视
14,2010-06-22,3.39,3.45,3.35,3.37,1190746.0,93032928.0,40000000.0,0.02976865,sz002415,海康威视
15,2010-06-23,3.33,3.42,3.31,3.4,1290247.0,100205368.0,40000000.0,0.032256175,sz002415,海康威视
16,2010-06-24,3.39,3.43,3.38,3.42,1178116.0,92352744.0,40000000.0,0.0294529,sz002415,海康威视
17,2010-06-28,3.42,3.42,3.26,3.26,2241503.0,170509632.0,40000000.0,0.056037575,sz002415,海康威视
