,date,open,high,low,close,volume,amount,outstanding_share,turnover,股票代码,股票名称
0,2018-09-18,17.33,20.8,17.33,20.8,390103.0,9005196.0,231143082.0,0.001687712202435719,sz002938,鹏鼎控股
1,2018-09-19,22.87,22.87,22.87,22.87,138874.0,3534343.0,231143082.0,0.0006008140014331037,sz002938,鹏鼎控股
2,2018-09-20,25.17,25.17,25.17,25.17,639029.0,17892812.0,231143082.0,0.002764646877902234,sz002938,鹏鼎控股
3,2018-09-21,26.96,26.96,23.4,23.52,92942080.0,2524118732.0,231143082.0,0.4020976063648749,sz002938,鹏鼎控股
4,2018-09-25,22.47,22.47,21.18,21.31,63891504.0,1547096231.0,231143082.0,0.2764153849951694,sz002938,鹏鼎控股
5,2018-09-26,21.12,21.45,20.79,21.08,42096032.0,986786177.0,231143082.0,0.18212109848046415,sz002938,鹏鼎控股
6,2018-09-27,20.94,20.94,19.19,19.29,53200913.0,1179361153.0,231143082.0,0.23016441824549178,sz002938,鹏鼎控股
7,2018-09-28,19.23,19.63,18.97,19.11,28087082.0,602536650.0,231143082.0,0.12151383358295793,sz002938,鹏鼎控股
8,2018-10-08,18.61,18.85,18.02,18.18,22330159.0,460781616.0,231143082.0,0.09660751603199615,sz002938,鹏鼎控股
9,2018-10-09,18.65,19.03,18.52,18.64,25560416.0,533695046.0,231143082.0,0.11058265633059267,sz002938,鹏鼎控股
10,2018-10-10,18.47,18.77,18.25,18.49,16678697.0,343802623.0,231143082.0,0.07215745699886446,sz002938,鹏鼎控股
11,2018-10-11,17.48,17.69,16.64,16.64,26345071.0,500601147.0,231143082.0,0.11397732855357531,sz002938,鹏鼎控股
12,2018-10-12,16.34,16.53,15.17,16.16,25630670.0,456034265.0,231143082.0,0.11088659793850114,sz002938,鹏鼎控股
13,2018-10-15,16.19,16.7,16.08,16.1,18124903.0,330551682.0,231143082.0,0.07841421358221744,sz002938,鹏鼎控股
14,2018-10-16,16.1,16.23,15.46,15.85,15237835.0,269573887.0,231143082.0,0.0659238202941328,sz002938,鹏鼎控股
15,2018-10-17,16.2,16.45,15.76,16.44,21187142.0,380930437.0,231143082.0,0.09166245347546244,sz002938,鹏鼎控股
16,2018-10-18,16.24,16.89,15.83,16.45,28499520.0,519378895.0,231143082.0,0.123298174245163,sz002938,鹏鼎控股
17,2018-10-19,16.17,18.05,16.04,17.43,37276609.0,705837930.0,231143082.0,0.16127071023479733,sz002938,鹏鼎控股
18,2018-10-22,17.58,18.74,17.44,18.31,42542450.0,856414176.0,231143082.0,0.18405244765231607,sz002938,鹏鼎控股
19,2018-10-23,18.16,18.3,17.54,17.64,28791970.0,573174438.0,231143082.0,0.12456340787218542,sz002938,鹏鼎控股
20,2018-10-24,17.56,17.92,17.27,17.52,16831137.0,328957825.0,231143082.0,0.0728169619197169,sz002938,鹏鼎控股
21,2018-10-25,16.86,18.3,16.67,18.09,27489341.0,536953474.0,231143082.0,0.11892781199482319,sz002938,鹏鼎控股
22,2018-10-26,18.34,18.47,17.63,17.68,17946313.0,358754084.0,231143082.0,0.07764157527327598,sz002938,鹏鼎控股
23,2018-10-29,17.6,18.16,17.51,17.71,14090074.0,280495312.0,231143082.0,0.060958233653733145,sz002938,鹏鼎控股
24,2018-10-30,17.75,17.85,17.15,17.77,14990826.0,293293704.0,231143082.0,0.06485517918290974,sz002938,鹏鼎控股
25,2018-10-31,18.16,18.83,18.16,18.53,36302401.0,748797725.0,231143082.0,0.15705597020636766,sz002938,鹏鼎控股
26,2018-11-01,18.43,18.64,18.2,18.24,23134078.0,473745330.0,231143082.0,0.10008553057192514,sz002938,鹏鼎控股
27,2018-11-02,18.5,18.74,18.34,18.68,23093759.0,475916834.0,231143082.0,0.0999110974906876,sz002938,鹏鼎控股
28,2018-11-05,18.96,19.14,17.99,18.12,35932996.0,736546796.0,231143082.0,0.15545780427034367,sz002938,鹏鼎控股
29,2018-11-06,17.92,17.93,16.99,17.17,31933601.0,614385212.0,231143082.0,0.13815512332746346,sz002938,鹏鼎控股
30,2018-11-07,17.21,17.36,17.09,17.13,14214229.0,272586115.0,231143082.0,0.06149536848349197,sz002938,鹏鼎控股
31,2018-11-08,17.27,17.41,16.9,16.95,13299573.0,253937014.0,231143082.0,0.05753826973718383,sz002938,鹏鼎控股
32,2018-11-09,16.79,17.16,16.7,16.92,8921231.0,168571360.0,231143082.0,0.03859614106901975,sz002938,鹏鼎控股
33,2018-11-12,17.01,17.33,16.83,17.33,13534505.0,258087777.0,231143082.0,0.05855466182630549,sz002938,鹏鼎控股
34,2018-11-13,17.02,17.35,16.94,17.28,18105494.0,345977513.0,231143082.0,0.0783302439482052,sz002938,鹏鼎控股
35,2018-11-14,17.33,17.59,17.27,17.31,17693577.0,343066861.0,231143082.0,0.07654815730111274,sz002938,鹏鼎控股
36,2018-11-15,17.31,17.77,17.29,17.77,23383519.0,456709248.0,231143082.0,0.1011646933045567,sz002938,鹏鼎控股
37,2018-11-16,17.76,17.92,17.65,17.69,19726984.0,389909209.0,231143082.0,0.08534533601139747,sz002938,鹏鼎控股
38,2018-11-19,17.68,17.84,17.45,17.71,14557350.0,285545695.0,231143082.0,0.06297982130393157,sz002938,鹏鼎控股
39,2018-11-20,17.49,17.56,16.97,16.97,18514744.0,355913170.0,231143082.0,0.08010079228760998,sz002938,鹏鼎控股
40,2018-11-21,16.73,17.14,16.64,17.12,11082458.0,208131743.0,231143082.0,0.04794631058869415,sz002938,鹏鼎控股
41,2018-11-22,17.17,17.17,16.96,17.0,6845097.0,129803977.0,231143082.0,0.029614111487879183,sz002938,鹏鼎控股
42,2018-11-23,17.03,17.13,16.12,16.15,13870978.0,255329088.0,231143082.0,0.06001035324085538,sz002938,鹏鼎控股
43,2018-11-26,16.15,16.3,16.05,16.11,5615611.0,101081888.0,231143082.0,0.024294955970172623,sz002938,鹏鼎控股
44,2018-11-27,16.31,16.51,16.27,16.32,7669245.0,139512659.0,231143082.0,0.03317964324798611,sz002938,鹏鼎控股
45,2018-11-28,16.27,16.49,16.11,16.47,7446788.0,135443304.0,231143082.0,0.032217222058153576,sz002938,鹏鼎控股
46,2018-11-29,16.63,16.67,15.86,15.87,9168509.0,166293120.0,231143082.0,0.03966594596155813,sz002938,鹏鼎控股
47,2018-11-30,15.82,15.94,15.46,15.82,9701286.0,169696600.0,231143082.0,0.04197091219887775,sz002938,鹏鼎控股
48,2018-12-03,16.3,16.76,16.22,16.72,19157882.0,353143226.0,231143082.0,0.08288321603326203,sz002938,鹏鼎控股
