,date,open,high,low,close,volume,amount,outstanding_share,turnover,股票代码,股票名称
0,2022-01-04,27.32,27.78,25.98,26.35,5484150.0,153113763.0,144800000.0,0.03787396408839779,sz300800,力合科技
1,2022-01-05,26.35,27.59,25.79,26.23,5670900.0,159975037.0,144800000.0,0.03916367403314917,sz300800,力合科技
2,2022-01-06,26.23,27.13,25.81,25.97,4514900.0,125528984.0,144800000.0,0.03118024861878453,sz300800,力合科技
3,2022-01-07,26.01,26.3,25.5,25.53,2884789.0,78665402.0,144800000.0,0.01992257596685083,sz300800,力合科技
4,2022-01-10,25.61,26.92,25.5,26.75,4046674.0,112765061.0,144800000.0,0.02794664364640884,sz300800,力合科技
5,2022-01-11,26.24,26.91,26.2,26.47,2240790.0,62445354.0,144800000.0,0.015475069060773481,sz300800,力合科技
6,2022-01-12,26.09,27.49,26.09,27.32,3126700.0,89416475.0,144800000.0,0.021593232044198895,sz300800,力合科技
7,2022-01-13,27.23,27.32,26.3,26.52,1910650.0,53658135.0,144800000.0,0.013195096685082872,sz300800,力合科技
8,2022-01-14,26.52,26.95,26.07,26.4,1605000.0,44725016.0,144800000.0,0.011084254143646409,sz300800,力合科技
9,2022-01-17,26.61,26.62,25.68,25.83,1985995.0,54468154.0,144800000.0,0.013715435082872929,sz300800,力合科技
10,2022-01-18,25.62,26.28,25.62,26.12,1568950.0,43040643.0,144800000.0,0.010835290055248619,sz300800,力合科技
11,2022-01-19,26.1,26.14,25.03,25.65,2214700.0,59786519.0,144800000.0,0.015294889502762431,sz300800,力合科技
12,2022-01-20,25.62,25.88,24.58,24.61,2050200.0,53993205.0,144800000.0,0.014158839779005524,sz300800,力合科技
13,2022-01-21,24.45,24.61,23.44,23.64,3439599.0,86089066.0,144800000.0,0.023754136740331493,sz300800,力合科技
14,2022-01-24,22.75,24.62,22.68,24.2,3602290.0,90433893.0,144800000.0,0.024877693370165745,sz300800,力合科技
15,2022-01-25,24.2,24.45,23.53,23.55,1804400.0,45792825.0,144800000.0,0.012461325966850829,sz300800,力合科技
16,2022-01-26,23.55,24.33,23.22,23.59,1234239.0,30834560.0,144800000.0,0.00852375,sz300800,力合科技
17,2022-01-27,23.51,23.91,22.39,22.67,1991889.0,47926409.0,144800000.0,0.013756139502762431,sz300800,力合科技
18,2022-01-28,22.67,22.93,22.04,22.25,1919489.0,45536323.0,144800000.0,0.01325613950276243,sz300800,力合科技
19,2022-02-07,22.52,22.86,22.04,22.26,1572500.0,37076147.0,144800000.0,0.010859806629834254,sz300800,力合科技
20,2022-02-08,22.47,22.72,21.82,22.65,1478300.0,34854774.0,144800000.0,0.010209254143646408,sz300800,力合科技
21,2022-02-09,22.65,23.18,22.15,23.01,1035700.0,25004800.0,144800000.0,0.007152624309392265,sz300800,力合科技
22,2022-02-10,23.14,23.73,22.63,22.99,2028700.0,49242853.0,144800000.0,0.0140103591160221,sz300800,力合科技
23,2022-02-11,22.84,23.37,22.25,22.38,1948750.0,46872313.0,144800000.0,0.013458218232044199,sz300800,力合科技
24,2022-02-14,22.32,22.48,21.7,21.92,1400150.0,32533850.0,144800000.0,0.009669544198895028,sz300800,力合科技
25,2022-02-15,21.83,22.15,21.41,21.85,1305700.0,30050540.0,144800000.0,0.009017265193370165,sz300800,力合科技
26,2022-02-16,21.96,22.15,21.75,22.08,830650.0,19257542.0,144800000.0,0.005736533149171271,sz300800,力合科技
27,2022-02-17,22.03,23.1,21.86,22.2,2126590.0,50475869.0,144800000.0,0.014686395027624309,sz300800,力合科技
28,2022-02-18,21.95,22.18,21.44,21.58,1537350.0,35246587.0,144800000.0,0.010617058011049724,sz300800,力合科技
29,2022-02-21,21.58,21.84,21.47,21.67,1067050.0,24346953.0,144800000.0,0.0073691298342541435,sz300800,力合科技
30,2022-02-22,21.64,21.64,20.51,20.85,1923934.0,42338101.0,144800000.0,0.013286837016574586,sz300800,力合科技
31,2022-02-23,20.85,21.98,20.85,21.73,2034035.0,46033037.0,144800000.0,0.014047203038674034,sz300800,力合科技
32,2022-02-24,21.72,21.92,20.79,21.3,1698449.0,38191111.0,144800000.0,0.011729620165745856,sz300800,力合科技
33,2022-02-25,21.37,21.8,21.22,21.39,1139621.0,25858458.0,144800000.0,0.007870310773480663,sz300800,力合科技
34,2022-02-28,21.39,21.52,20.69,21.41,1098748.0,24447044.0,144800000.0,0.007588038674033149,sz300800,力合科技
35,2022-03-01,21.44,21.9,21.23,21.87,1340555.0,30429862.0,144800000.0,0.009257976519337017,sz300800,力合科技
36,2022-03-02,21.71,21.74,21.45,21.53,898283.0,20390632.0,144800000.0,0.006203611878453039,sz300800,力合科技
37,2022-03-03,21.53,21.63,20.79,20.89,2031400.0,45085275.0,144800000.0,0.014029005524861879,sz300800,力合科技
38,2022-03-04,20.7,21.08,20.61,20.63,1157371.0,25387739.0,144800000.0,0.00799289364640884,sz300800,力合科技
