,date,open,high,low,close,volume,amount,outstanding_share,turnover,股票代码,股票名称
0,2022-01-04,12.91,13.27,12.62,12.69,2939369.0,106973323.0,283571904.0,0.01036551561892394,sh603229,奥翔药业
1,2022-01-05,12.66,12.67,11.95,12.05,4040733.0,138966609.0,283571904.0,0.014249412381841608,sh603229,奥翔药业
2,2022-01-06,11.99,12.36,11.88,12.22,2588528.0,89150074.0,283571904.0,0.009128295023191013,sh603229,奥翔药业
3,2022-01-07,12.3,12.3,11.63,11.63,3020451.0,101634786.0,283571904.0,0.010651446625685455,sh603229,奥翔药业
4,2022-01-10,11.62,12.11,11.56,11.85,2186542.0,73307323.0,283571904.0,0.007710714528333527,sh603229,奥翔药业
5,2022-01-11,11.77,12.13,11.59,11.63,2338014.0,77844926.0,283571904.0,0.008244871819177121,sh603229,奥翔药业
6,2022-01-12,11.62,12.79,11.56,12.79,7131470.0,252829630.0,283571904.0,0.025148718541594305,sh603229,奥翔药业
7,2022-01-13,12.77,13.79,12.77,13.65,14608352.0,551180575.0,283571904.0,0.05151551262285843,sh603229,奥翔药业
8,2022-01-14,13.63,14.54,12.78,14.22,13752427.0,528833122.0,283571904.0,0.04849714236851899,sh603229,奥翔药业
9,2022-01-17,14.15,15.21,13.45,14.53,15935773.0,647537789.0,283571904.0,0.056196586386781114,sh603229,奥翔药业
10,2022-01-18,14.82,14.82,13.19,13.57,11103417.0,430973276.0,283571904.0,0.03915556105304424,sh603229,奥翔药业
11,2022-01-19,14.09,14.93,13.79,14.93,13609669.0,568558935.0,283571904.0,0.047993714497187985,sh603229,奥翔药业
12,2022-01-20,15.98,16.42,14.21,14.34,25557395.0,1132545981.0,283571904.0,0.09012668264906808,sh603229,奥翔药业
13,2022-01-21,14.67,14.68,12.91,12.91,18539028.0,719666084.0,283571904.0,0.06537681532793883,sh603229,奥翔药业
14,2022-01-24,12.41,12.83,12.13,12.7,10118378.0,358813331.0,283571904.0,0.03568187770816674,sh603229,奥翔药业
15,2022-01-25,12.86,13.78,12.62,13.08,12216348.0,457866658.0,283571904.0,0.04308024817578543,sh603229,奥翔药业
16,2022-01-26,13.25,14.09,12.73,13.9,10354844.0,394444077.0,283571904.0,0.03651576144863773,sh603229,奥翔药业
17,2022-01-27,13.9,15.29,13.54,15.29,13747191.0,575112634.0,283571904.0,0.04847867791584881,sh603229,奥翔药业
18,2022-01-28,14.07,16.09,14.07,15.63,10499432.0,460597839.0,283571904.0,0.03702564270965293,sh603229,奥翔药业
19,2022-02-07,15.2,15.48,14.07,14.07,5828501.0,234471812.0,283571904.0,0.02055387334846826,sh603229,奥翔药业
20,2022-02-08,14.08,14.36,13.49,13.97,7187683.0,281360789.0,283571904.0,0.02534695045105738,sh603229,奥翔药业
21,2022-02-09,13.72,13.98,13.26,13.34,8199920.0,314317883.0,283571904.0,0.028916545977700246,sh603229,奥翔药业
22,2022-02-10,13.23,13.93,13.22,13.46,4739800.0,181748691.0,283571904.0,0.01671463192629972,sh603229,奥翔药业
23,2022-02-11,13.28,13.32,12.11,12.11,11176982.0,387988732.0,283571904.0,0.03941498379190627,sh603229,奥翔药业
24,2022-02-14,12.13,12.7,12.13,12.44,5946918.0,208320252.0,283571904.0,0.020971464084114624,sh603229,奥翔药业
25,2022-02-15,12.44,13.69,12.3,13.69,6882266.0,260726038.0,283571904.0,0.024269914977190405,sh603229,奥翔药业
26,2022-02-16,13.53,14.13,13.21,14.0,7530647.0,292970645.0,283571904.0,0.026556393259608683,sh603229,奥翔药业
27,2022-02-17,13.77,14.05,13.53,13.88,4283222.0,167037721.0,283571904.0,0.015104535885191221,sh603229,奥翔药业
28,2022-02-18,13.78,14.39,13.72,14.03,4286712.0,170894159.0,283571904.0,0.01511684316934304,sh603229,奥翔药业
29,2022-02-21,14.18,14.49,13.72,14.32,5699217.0,228424159.0,283571904.0,0.020097960762713644,sh603229,奥翔药业
30,2022-02-22,14.41,14.41,13.54,14.08,4473520.0,176883070.0,283571904.0,0.015775610830613178,sh603229,奥翔药业
31,2022-02-23,14.32,14.78,13.97,14.46,4080103.0,166868669.0,283571904.0,0.014388248421112975,sh603229,奥翔药业
32,2022-02-24,14.39,14.6,13.79,13.86,4053872.0,162261854.0,283571904.0,0.014295746309197119,sh603229,奥翔药业
33,2022-02-25,13.96,14.91,13.96,14.56,5064510.0,209462747.0,283571904.0,0.017859703054361832,sh603229,奥翔药业
34,2022-02-28,14.68,16.02,14.68,15.74,9453712.0,420429295.0,283571904.0,0.03333797131044407,sh603229,奥翔药业
35,2022-03-01,15.64,17.31,15.42,17.31,14928888.0,704246122.0,283571904.0,0.05264586438013267,sh603229,奥翔药业
36,2022-03-02,16.97,17.43,16.44,16.64,12158116.0,581274486.0,283571904.0,0.04287489637901504,sh603229,奥翔药业
37,2022-03-03,16.64,18.05,16.22,17.56,10758331.0,521186798.0,283571904.0,0.03793863513361324,sh603229,奥翔药业
38,2022-03-04,17.74,18.13,17.21,17.57,7505504.0,373450653.0,283571904.0,0.026467727917078836,sh603229,奥翔药业
39,2022-03-07,17.33,18.24,17.26,17.42,7375442.0,369943796.0,283571904.0,0.026009071759097828,sh603229,奥翔药业
40,2022-03-08,17.42,17.6,16.44,16.76,6611457.0,316722565.0,283571904.0,0.0233149226236461,sh603229,奥翔药业
41,2022-03-09,16.59,17.08,15.92,16.53,5636375.0,263678325.0,283571904.0,0.019876352066247015,sh603229,奥翔药业
42,2022-03-10,16.97,17.24,15.91,16.84,6737596.0,318120197.0,283571904.0,0.023759744547894278,sh603229,奥翔药业
43,2022-03-11,16.83,18.33,16.73,17.96,9770517.0,489015740.0,283571904.0,0.03445516591093594,sh603229,奥翔药业
44,2022-03-14,18.67,19.76,18.67,19.75,12957979.0,715168094.0,283571904.0,0.04569556721670141,sh603229,奥翔药业
45,2022-03-15,18.74,20.82,18.74,19.76,10795652.0,608823587.0,283571904.0,0.03807024549230378,sh603229,奥翔药业
46,2022-03-16,20.62,21.22,18.38,19.34,11512987.0,638863296.0,283571904.0,0.04059988608744539,sh603229,奥翔药业
47,2022-03-17,19.43,21.27,18.95,20.86,11029269.0,636779702.0,283571904.0,0.038894082398233644,sh603229,奥翔药业
48,2022-03-18,20.51,22.95,20.15,22.95,10316927.0,632450544.0,283571904.0,0.03638204933024677,sh603229,奥翔药业
49,2022-03-21,24.4,25.24,23.87,25.24,13986775.0,988810254.0,283571904.0,0.04932355710388008,sh603229,奥翔药业
50,2022-03-22,25.25,25.77,24.05,25.0,10669151.0,747464322.0,283571904.0,0.03762414699588856,sh603229,奥翔药业
51,2022-03-23,24.63,26.16,24.1,24.61,8713834.0,609971433.0,283571904.0,0.030728834123143596,sh603229,奥翔药业
52,2022-03-24,24.15,25.45,24.15,24.7,7402348.0,518708736.0,283571904.0,0.026103954219667685,sh603229,奥翔药业
53,2022-03-25,24.22,27.17,24.22,25.69,16709147.0,1237592747.0,283571904.0,0.05892384529039943,sh603229,奥翔药业
54,2022-03-28,25.85,26.48,23.12,23.12,12989107.0,883147126.0,283571904.0,0.045805338317296766,sh603229,奥翔药业
55,2022-03-29,22.18,23.33,22.17,22.77,12839472.0,823527445.0,283571904.0,0.04527765910123451,sh603229,奥翔药业
56,2022-03-30,23.07,23.27,21.22,21.92,15381598.0,961586578.0,283571904.0,0.05424232014184311,sh603229,奥翔药业
57,2022-03-31,21.85,22.34,20.58,20.75,14251475.0,863116462.0,283571904.0,0.05025700642049503,sh603229,奥翔药业
58,2022-04-01,20.19,20.82,19.77,19.77,14088710.0,805154042.0,283571904.0,0.04968302501505932,sh603229,奥翔药业
59,2022-04-06,20.53,21.74,20.51,21.74,3479868.0,211015883.0,283571904.0,0.012271554236910578,sh603229,奥翔药业
60,2022-04-07,22.28,22.56,20.71,22.35,19800282.0,1220497663.0,283571904.0,0.06982455497424737,sh603229,奥翔药业
61,2022-04-08,22.28,23.84,22.01,22.71,11985777.0,776228916.0,283571904.0,0.04226715281355942,sh603229,奥翔药业
62,2022-04-11,21.96,24.98,21.57,24.98,14724589.0,994565919.0,283571904.0,0.051925415713962975,sh603229,奥翔药业
63,2022-04-12,24.71,26.88,24.4,25.43,13240828.0,961546822.0,283571904.0,0.046693017937348265,sh603229,奥翔药业
64,2022-04-13,25.46,27.97,23.94,27.37,14354996.0,1055985296.0,283571904.0,0.05062206726940057,sh603229,奥翔药业
65,2022-04-14,26.38,26.94,24.75,25.11,11915914.0,867914843.0,283571904.0,0.042020784964648686,sh603229,奥翔药业
66,2022-04-15,24.58,27.23,24.58,26.43,10945902.0,813374366.0,283571904.0,0.03860009347047301,sh603229,奥翔药业
67,2022-04-18,26.52,27.49,24.25,25.32,13577813.0,976118004.0,283571904.0,0.047881376146488755,sh603229,奥翔药业
68,2022-04-19,24.41,26.59,23.43,25.95,12381468.0,875724491.0,283571904.0,0.04366253435319178,sh603229,奥翔药业
69,2022-04-20,25.15,25.37,23.36,23.38,12002445.0,815143271.0,283571904.0,0.042325931556322305,sh603229,奥翔药业
70,2022-04-21,24.58,25.72,23.37,25.58,25086986.0,1782675764.0,283571904.0,0.08846781238242842,sh603229,奥翔药业
71,2022-04-22,23.65,24.25,23.03,23.03,14959996.0,983741600.0,283571904.0,0.05275556495187901,sh603229,奥翔药业
72,2022-04-25,23.69,24.07,22.29,23.09,15050060.0,990005532.0,283571904.0,0.05307317046472982,sh603229,奥翔药业
73,2022-04-26,22.49,22.56,20.78,20.78,9387011.0,554759811.0,283571904.0,0.033102754072561434,sh603229,奥翔药业
74,2022-04-27,19.02,22.81,19.0,22.18,16812303.0,1017405268.0,283571904.0,0.059287618987810584,sh603229,奥翔药业
75,2022-04-28,22.19,24.36,21.65,24.12,15599104.0,1017282123.0,283571904.0,0.055009342533454936,sh603229,奥翔药业
76,2022-04-29,24.55,26.19,23.98,25.62,17390088.0,1231764454.0,283571904.0,0.061325144539002,sh603229,奥翔药业
77,2022-05-05,25.11,26.13,23.16,23.93,12310766.0,852617626.0,283571904.0,0.04341320781906518,sh603229,奥翔药业
