,date,open,high,low,close,volume,amount,outstanding_share,turnover,股票代码,股票名称
0,2022-01-04,27.73,28.61,27.43,28.21,6628410.0,201249375.0,243106800.0,0.027265424085216868,sh603258,电魂网络
1,2022-01-05,28.07,29.02,27.94,28.59,7619200.0,234978816.0,243106800.0,0.031340957965799394,sh603258,电魂网络
2,2022-01-06,28.23,28.55,27.54,28.31,4363000.0,132754183.0,243106800.0,0.01794684476123251,sh603258,电魂网络
3,2022-01-07,28.25,29.03,27.66,27.67,4533800.0,138490036.0,243106800.0,0.018649416634993345,sh603258,电魂网络
4,2022-01-10,27.51,27.96,27.0,27.7,3074594.0,91405352.0,243106800.0,0.012647091730877129,sh603258,电魂网络
5,2022-01-11,27.7,28.8,27.57,27.74,4672067.0,142271769.0,243106800.0,0.019218166665843982,sh603258,电魂网络
6,2022-01-12,27.77,30.52,27.47,30.01,10839263.0,345780007.0,243106800.0,0.04458642456730951,sh603258,电魂网络
7,2022-01-13,30.44,30.44,28.12,28.31,9022538.0,282214764.0,243106800.0,0.037113474407132994,sh603258,电魂网络
8,2022-01-14,27.84,27.93,26.84,27.19,5433000.0,160395239.0,243106800.0,0.02234820251839932,sh603258,电魂网络
9,2022-01-17,27.0,28.22,26.94,27.7,5309631.0,159299700.0,243106800.0,0.021840734195834918,sh603258,电魂网络
10,2022-01-18,27.7,28.07,27.08,27.26,4430543.0,131233562.0,243106800.0,0.018224677384589816,sh603258,电魂网络
11,2022-01-19,28.22,29.99,28.21,29.42,13685736.0,433762863.0,243106800.0,0.05629515916461407,sh603258,电魂网络
12,2022-01-20,29.34,29.36,26.54,26.72,11453098.0,342631570.0,243106800.0,0.047111384790552956,sh603258,电魂网络
13,2022-01-21,27.08,27.6,26.63,26.66,4636315.0,135600009.0,243106800.0,0.019071103728896106,sh603258,电魂网络
14,2022-01-24,24.93,25.72,24.85,25.3,5674155.0,154726339.0,243106800.0,0.023340173948240034,sh603258,电魂网络
15,2022-01-25,25.24,25.64,24.14,24.15,3591450.0,96004151.0,243106800.0,0.01477313674483807,sh603258,电魂网络
16,2022-01-26,24.22,24.78,23.97,24.24,1993602.0,52312022.0,243106800.0,0.008200519277946976,sh603258,电魂网络
17,2022-01-27,24.23,24.31,22.99,22.99,2841100.0,72083594.0,243106800.0,0.011686633199894039,sh603258,电魂网络
18,2022-01-28,23.03,23.61,22.78,23.27,1360098.0,34197429.0,243106800.0,0.005594652226922488,sh603258,电魂网络
19,2022-02-07,23.62,23.65,23.09,23.37,1159748.0,29315725.0,243106800.0,0.004770528837531488,sh603258,电魂网络
20,2022-02-08,23.34,24.01,23.03,24.0,1619000.0,41402192.0,243106800.0,0.0066596244942551995,sh603258,电魂网络
21,2022-02-09,24.01,24.45,23.86,24.42,1780710.0,46733101.0,243106800.0,0.007324805394172438,sh603258,电魂网络
22,2022-02-10,24.43,24.63,24.05,24.53,1387526.0,36591157.0,243106800.0,0.005707475068570686,sh603258,电魂网络
23,2022-02-11,24.6,24.6,24.01,24.01,1185533.0,31074594.0,243106800.0,0.004876593332642279,sh603258,电魂网络
24,2022-02-14,23.95,24.27,23.52,23.92,1465962.0,37935188.0,243106800.0,0.006030115159263336,sh603258,电魂网络
25,2022-02-15,23.95,24.37,23.51,23.77,2124198.0,54595889.0,243106800.0,0.008737715275755347,sh603258,电魂网络
26,2022-02-16,24.05,25.48,23.86,25.08,4319303.0,115664334.0,243106800.0,0.017767100714583057,sh603258,电魂网络
27,2022-02-17,25.54,25.98,24.78,25.31,4857191.0,133334788.0,243106800.0,0.019979659145692347,sh603258,电魂网络
28,2022-02-18,24.97,25.25,24.83,25.1,2140370.0,57928148.0,243106800.0,0.008804237479165535,sh603258,电魂网络
29,2022-02-21,24.99,25.52,24.97,25.19,1939672.0,52921452.0,243106800.0,0.00797868262014884,sh603258,电魂网络
30,2022-02-22,24.97,25.42,24.52,24.7,2123672.0,56894035.0,243106800.0,0.008735551617642945,sh603258,电魂网络
31,2022-02-23,24.69,25.06,24.69,24.87,1316000.0,35398281.0,243106800.0,0.005413258699468711,sh603258,电魂网络
32,2022-02-24,24.58,24.83,23.4,23.7,2889196.0,75198508.0,243106800.0,0.011884472174369455,sh603258,电魂网络
33,2022-02-25,23.9,24.16,23.88,23.94,1020200.0,26496018.0,243106800.0,0.004196509517627643,sh603258,电魂网络
34,2022-02-28,23.99,24.11,23.37,23.65,1564356.0,39847615.0,243106800.0,0.006434850855673309,sh603258,电魂网络
35,2022-03-01,23.71,23.89,23.6,23.77,986402.0,25346920.0,243106800.0,0.004057484200359678,sh603258,电魂网络
36,2022-03-02,23.9,24.0,23.58,23.97,1006900.0,26001699.0,243106800.0,0.004141801052047906,sh603258,电魂网络
37,2022-03-03,23.97,24.13,23.69,23.73,1042202.0,26874164.0,243106800.0,0.004287012950686694,sh603258,电魂网络
38,2022-03-04,23.52,23.9,23.16,23.73,1942672.0,49295921.0,243106800.0,0.007991022875542765,sh603258,电魂网络
39,2022-03-07,23.58,23.58,22.87,23.07,1461403.0,36662264.0,243106800.0,0.0060113620844830335,sh603258,电魂网络
