,date,open,high,low,close,volume,amount,outstanding_share,turnover,股票代码,股票名称
0,2022-01-04,10.83,11.09,10.77,11.02,755300.0,14207995.0,410049000.0,0.0018419749834775844,sh603277,银都股份
1,2022-01-05,11.09,11.24,10.95,11.21,970600.0,18470873.0,410049000.0,0.0023670341837195067,sh603277,银都股份
2,2022-01-06,11.16,11.32,10.95,11.21,1030300.0,19689450.0,410049000.0,0.002512626539755005,sh603277,银都股份
3,2022-01-07,11.09,11.88,11.09,11.2,2042264.0,39950253.0,410049000.0,0.004980536472470363,sh603277,银都股份
4,2022-01-10,11.25,11.33,10.9,11.12,1048400.0,19800351.0,410049000.0,0.0025567676058227185,sh603277,银都股份
5,2022-01-11,11.1,11.37,11.01,11.11,1496000.0,28738164.0,410049000.0,0.0036483444661491674,sh603277,银都股份
6,2022-01-12,11.26,11.26,10.8,11.1,1098700.0,20733250.0,410049000.0,0.002679435872298189,sh603277,银都股份
7,2022-01-13,11.14,11.14,10.96,11.02,404100.0,7656571.0,410049000.0,0.0009854919777880205,sh603277,银都股份
8,2022-01-14,11.03,11.14,10.89,11.07,684000.0,12890710.0,410049000.0,0.0016680933254318386,sh603277,银都股份
9,2022-01-17,11.18,11.55,11.04,11.46,1577654.0,30799734.0,410049000.0,0.003847476764971991,sh603277,银都股份
10,2022-01-18,11.35,11.83,11.35,11.71,2088050.0,41644458.0,410049000.0,0.005092196298491156,sh603277,银都股份
11,2022-01-19,11.71,11.88,11.32,11.38,1159000.0,22860263.0,410049000.0,0.0028264914680928375,sh603277,银都股份
12,2022-01-20,11.67,11.67,10.95,11.0,1294300.0,24618420.0,410049000.0,0.0031564520337813286,sh603277,银都股份
13,2022-01-21,10.8,11.19,10.8,11.02,742700.0,14068522.0,410049000.0,0.001811246948535419,sh603277,银都股份
14,2022-01-24,10.84,11.07,10.79,10.83,806500.0,15045859.0,410049000.0,0.0019668381095917804,sh603277,银都股份
15,2022-01-25,10.86,11.06,10.52,10.54,996100.0,18254872.0,410049000.0,0.002429221873483413,sh603277,银都股份
16,2022-01-26,10.68,10.71,10.28,10.43,846460.0,15111354.0,410049000.0,0.0020642898775512196,sh603277,银都股份
17,2022-01-27,10.5,10.51,10.13,10.32,1270212.0,22435556.0,410049000.0,0.0030977078349172906,sh603277,银都股份
18,2022-01-28,10.47,10.48,10.18,10.48,453500.0,8022630.0,410049000.0,0.0011059653846247643,sh603277,银都股份
19,2022-02-07,10.56,10.71,10.34,10.51,1371560.0,24604331.0,410049000.0,0.003344868540101305,sh603277,银都股份
20,2022-02-08,10.48,10.68,10.34,10.58,558000.0,10092186.0,410049000.0,0.0013608129760101842,sh603277,银都股份
21,2022-02-09,10.62,10.8,10.52,10.62,986700.0,17979950.0,410049000.0,0.002406297783923385,sh603277,银都股份
22,2022-02-10,10.54,10.68,10.43,10.54,745500.0,13449956.0,410049000.0,0.001818075400744789,sh603277,银都股份
23,2022-02-11,10.51,10.61,10.27,10.55,451610.0,8099592.0,410049000.0,0.0011013561793834395,sh603277,银都股份
24,2022-02-14,10.55,10.65,10.27,10.47,648500.0,11665314.0,410049000.0,0.0015815183063487535,sh603277,银都股份
25,2022-02-15,10.38,10.89,10.38,10.77,1036860.0,18916892.0,410049000.0,0.002528624627788386,sh603277,银都股份
26,2022-02-16,10.77,10.92,10.67,10.83,825800.0,15332678.0,410049000.0,0.002013905655177796,sh603277,银都股份
27,2022-02-17,10.83,10.99,10.72,10.87,621600.0,11599964.0,410049000.0,0.001515916390480162,sh603277,银都股份
28,2022-02-18,10.91,11.0,10.71,10.77,683200.0,12630567.0,410049000.0,0.0016661423390863044,sh603277,银都股份
29,2022-02-21,10.93,11.73,10.73,11.62,3441071.0,67280247.0,410049000.0,0.008391853168767635,sh603277,银都股份
30,2022-02-22,11.73,11.84,11.33,11.77,3347100.0,66815105.0,410049000.0,0.00816268299642238,sh603277,银都股份
