,date,open,high,low,close,volume,amount,outstanding_share,turnover,股票代码,股票名称
0,2022-01-04,3.8,3.83,3.79,3.82,11712450.0,57361698.0,1517793985.0,0.007716758740482161,sh603323,苏农银行
1,2022-01-05,3.82,3.89,3.81,3.87,19630358.0,97253659.0,1517793985.0,0.012933479901753597,sh603323,苏农银行
2,2022-01-06,3.86,3.89,3.84,3.86,14473076.0,71781382.0,1517793985.0,0.009535599786950006,sh603323,苏农银行
3,2022-01-07,3.86,3.99,3.85,3.95,24017291.0,121521174.0,1517793985.0,0.01582381485060372,sh603323,苏农银行
4,2022-01-10,3.95,4.17,3.95,4.07,37732184.0,197273652.0,1517793985.0,0.024859885052186448,sh603323,苏农银行
5,2022-01-11,4.11,4.22,4.05,4.14,39038581.0,207503166.0,1517793985.0,0.025720605949034643,sh603323,苏农银行
6,2022-01-12,4.17,4.25,4.13,4.23,43989134.0,237551571.0,1517793985.0,0.02898228246701083,sh603323,苏农银行
7,2022-01-13,4.19,4.44,4.19,4.3,49971364.0,277604578.0,1517793985.0,0.03292368035046601,sh603323,苏农银行
8,2022-01-14,4.3,4.3,4.11,4.15,35257257.0,189249807.0,1517793985.0,0.023229277061603323,sh603323,苏农银行
9,2022-01-17,4.11,4.21,4.05,4.1,27075947.0,142737018.0,1517793985.0,0.017839013243948255,sh603323,苏农银行
10,2022-01-18,4.11,4.26,4.11,4.22,23901964.0,128543908.0,1517793985.0,0.015747831547770957,sh603323,苏农银行
11,2022-01-19,4.21,4.27,4.17,4.22,18600673.0,100787435.0,1517793985.0,0.012255070967355296,sh603323,苏农银行
12,2022-01-20,4.22,4.28,4.15,4.2,26420068.0,142858802.0,1517793985.0,0.017406886745568437,sh603323,苏农银行
13,2022-01-21,4.21,4.21,4.12,4.16,19683754.0,105046073.0,1517793985.0,0.012968659906765937,sh603323,苏农银行
14,2022-01-24,4.14,4.26,4.09,4.21,29350845.0,157946536.0,1517793985.0,0.01933783193902959,sh603323,苏农银行
15,2022-01-25,4.25,4.25,4.07,4.07,26929882.0,142879996.0,1517793985.0,0.01774277818079507,sh603323,苏农银行
16,2022-01-26,4.12,4.15,4.04,4.09,17270243.0,90696751.0,1517793985.0,0.011378515905767014,sh603323,苏农银行
17,2022-01-27,4.08,4.29,4.05,4.17,53153555.0,286832200.0,1517793985.0,0.03502026989519266,sh603323,苏农银行
18,2022-01-28,4.17,4.25,4.08,4.1,28486159.0,151440415.0,1517793985.0,0.018768132751560484,sh603323,苏农银行
19,2022-02-07,4.17,4.3,4.13,4.28,31735950.0,172401402.0,1517793985.0,0.020909260620109785,sh603323,苏农银行
20,2022-02-08,4.25,4.55,4.25,4.46,76202458.0,434508587.0,1517793985.0,0.05020606139771993,sh603323,苏农银行
21,2022-02-09,4.45,4.49,4.37,4.38,35798358.0,203121466.0,1517793985.0,0.023585781966318702,sh603323,苏农银行
22,2022-02-10,4.39,4.44,4.34,4.43,28147818.0,158843810.0,1517793985.0,0.018545216464275288,sh603323,苏农银行
23,2022-02-11,4.42,4.53,4.39,4.44,37560210.0,214551453.0,1517793985.0,0.024746579819922003,sh603323,苏农银行
24,2022-02-14,4.44,4.44,4.28,4.3,25913164.0,144308562.0,1517793985.0,0.017072912566589202,sh603323,苏农银行
25,2022-02-15,4.31,4.35,4.21,4.25,26599771.0,145555048.0,1517793985.0,0.01752528423678,sh603323,苏农银行
26,2022-02-16,4.27,4.38,4.26,4.3,16075674.0,89284448.0,1517793985.0,0.010591472992298095,sh603323,苏农银行
27,2022-02-17,4.28,4.39,4.25,4.28,24995342.0,138420248.0,1517793985.0,0.016468204675353225,sh603323,苏农银行
28,2022-02-18,4.25,4.43,4.21,4.4,30594672.0,171804832.0,1517793985.0,0.020157328532304074,sh603323,苏农银行
29,2022-02-21,4.4,4.42,4.32,4.38,20582600.0,115223925.0,1517793985.0,0.013560865442486254,sh603323,苏农银行
30,2022-02-22,4.33,4.39,4.3,4.39,19730561.0,110226292.0,1517793985.0,0.012999498742907458,sh603323,苏农银行
31,2022-02-23,4.39,4.39,4.27,4.29,23131598.0,127488556.0,1517793985.0,0.01524027518135144,sh603323,苏农银行
32,2022-02-24,4.28,4.28,4.14,4.18,24181446.0,130944625.0,1517793985.0,0.015931968527336072,sh603323,苏农银行
33,2022-02-25,4.2,4.25,4.12,4.15,17725148.0,94801368.0,1517793985.0,0.01167823049450285,sh603323,苏农银行
34,2022-02-28,4.14,4.18,4.06,4.18,15331175.0,81364053.0,1517793985.0,0.010100959123250182,sh603323,苏农银行
35,2022-03-01,4.18,4.28,4.17,4.26,20095927.0,109229797.0,1517793985.0,0.01324022047695755,sh603323,苏农银行
36,2022-03-02,4.24,4.31,4.22,4.25,15357990.0,84196010.0,1517793985.0,0.010118626211316815,sh603323,苏农银行
37,2022-03-03,4.29,4.33,4.25,4.32,18764057.0,103717766.0,1517793985.0,0.012362716670009731,sh603323,苏农银行
38,2022-03-04,4.31,4.32,4.21,4.25,13137038.0,71731346.0,1517793985.0,0.008655349889267087,sh603323,苏农银行
39,2022-03-07,4.23,4.28,4.2,4.21,12562163.0,68385215.0,1517793985.0,0.00827659295276493,sh603323,苏农银行
40,2022-03-08,4.19,4.24,4.08,4.1,19369285.0,103185196.0,1517793985.0,0.012761471709218824,sh603323,苏农银行
41,2022-03-09,4.1,4.16,3.86,4.01,29618354.0,152539025.0,1517793985.0,0.019514080496240732,sh603323,苏农银行
42,2022-03-10,4.07,4.13,4.02,4.08,18088119.0,94538819.0,1517793985.0,0.01191737428054177,sh603323,苏农银行
43,2022-03-11,4.05,4.07,3.92,4.04,21796024.0,111512109.0,1517793985.0,0.014360330990506594,sh603323,苏农银行
44,2022-03-14,4.0,4.02,3.88,3.89,15598981.0,79089912.0,1517793985.0,0.01027740335919173,sh603323,苏农银行
45,2022-03-15,3.89,3.9,3.66,3.69,26287263.0,127196471.0,1517793985.0,0.01731938804593431,sh603323,苏农银行
46,2022-03-16,3.74,3.9,3.62,3.79,28163194.0,136399145.0,1517793985.0,0.018555346956392108,sh603323,苏农银行
47,2022-03-17,3.82,3.84,3.74,3.8,27763240.0,135039897.0,1517793985.0,0.018291836885886724,sh603323,苏农银行
48,2022-03-18,3.78,3.92,3.77,3.87,20643241.0,102283454.0,1517793985.0,0.013600818822588758,sh603323,苏农银行
49,2022-03-21,3.87,3.89,3.77,3.79,20723193.0,101331685.0,1517793985.0,0.013653495273273204,sh603323,苏农银行
50,2022-03-22,3.79,3.89,3.77,3.86,17040965.0,83964934.0,1517793985.0,0.0112274558790006,sh603323,苏农银行
51,2022-03-23,3.87,3.89,3.8,3.87,17966950.0,88860708.0,1517793985.0,0.011837541970493446,sh603323,苏农银行
52,2022-03-24,3.86,3.93,3.85,3.89,17557126.0,87860894.0,1517793985.0,0.011567529041169576,sh603323,苏农银行
53,2022-03-25,3.89,3.94,3.86,3.89,12650394.0,63343419.0,1517793985.0,0.008334724030415762,sh603323,苏农银行
54,2022-03-28,3.87,3.99,3.82,3.93,20784916.0,104394891.0,1517793985.0,0.013694161530097249,sh603323,苏农银行
55,2022-03-29,3.93,3.97,3.89,3.96,12580832.0,63642404.0,1517793985.0,0.008288893041040744,sh603323,苏农银行
56,2022-03-30,3.96,4.01,3.89,4.0,17957869.0,91448413.0,1517793985.0,0.011831558945069874,sh603323,苏农银行
57,2022-03-31,3.96,4.17,3.95,4.11,30537822.0,160715378.0,1517794171.0,0.020119870390515552,sh603323,苏农银行
58,2022-04-01,4.1,4.31,4.09,4.31,42919599.0,234026944.0,1517794171.0,0.028277614857172884,sh603323,苏农银行
59,2022-04-06,4.31,4.63,4.27,4.56,82755293.0,480675991.0,1517794729.0,0.054523376197599116,sh603323,苏农银行
60,2022-04-07,4.56,4.65,4.42,4.46,62804011.0,364922575.0,1517794729.0,0.041378461658895374,sh603323,苏农银行
61,2022-04-08,4.39,4.5,4.29,4.44,51409116.0,290274446.0,1517794729.0,0.03387092801005504,sh603323,苏农银行
62,2022-04-11,4.39,4.41,4.25,4.28,31739283.0,176341934.0,1517794729.0,0.020911446319827085,sh603323,苏农银行
63,2022-04-12,4.27,4.35,4.21,4.3,29158329.0,159944001.0,1517794729.0,0.019210983173733237,sh603323,苏农银行
64,2022-04-13,4.29,4.39,4.25,4.31,24287385.0,135295843.0,1517794729.0,0.016001758693681693,sh603323,苏农银行
65,2022-04-14,4.35,4.42,4.29,4.32,17183460.0,95757443.0,1517794729.0,0.011321333294734351,sh603323,苏农银行
66,2022-04-15,4.3,4.54,4.28,4.52,55704280.0,319493690.0,1517794729.0,0.03670079947945319,sh603323,苏农银行
67,2022-04-18,4.39,4.49,4.25,4.37,43062288.0,241457640.0,1517794729.0,0.028371615197511996,sh603323,苏农银行
68,2022-04-19,4.4,4.44,4.26,4.43,28203869.0,157901734.0,1517794729.0,0.018582136609857736,sh603323,苏农银行
69,2022-04-20,4.41,4.46,4.25,4.27,22658913.0,125742849.0,1517794729.0,0.014928838904934688,sh603323,苏农银行
70,2022-04-21,4.25,4.41,4.21,4.25,29535379.0,163304183.0,1517794729.0,0.01945940280044285,sh603323,苏农银行
71,2022-04-22,4.22,4.44,4.21,4.4,35366594.0,198411994.0,1517794729.0,0.02330130242532948,sh603323,苏农银行
72,2022-04-25,4.33,4.44,4.21,4.26,45080355.0,248633021.0,1517794729.0,0.02970121989401111,sh603323,苏农银行
73,2022-04-26,4.23,4.29,3.97,4.04,42669350.0,225445342.0,1517794729.0,0.02811272775213334,sh603323,苏农银行
