,date,open,high,low,close,volume,amount,outstanding_share,turnover,股票代码,股票名称
0,2022-01-04,17.83,18.08,17.48,17.79,3558589.0,92351091.0,372566956.99999994,0.009551542167492863,sh603429,集友股份
1,2022-01-05,17.85,17.87,17.16,17.35,2601500.0,66378636.0,372566956.99999994,0.006982637486018387,sh603429,集友股份
2,2022-01-06,17.25,17.72,17.17,17.57,1688000.0,43226970.0,372566956.99999994,0.00453072922406267,sh603429,集友股份
3,2022-01-07,17.57,17.63,16.92,16.99,2413022.0,61024092.0,372566956.99999994,0.006476747211911228,sh603429,集友股份
4,2022-01-10,16.99,17.55,16.66,17.45,2449400.0,61630887.0,372566956.99999994,0.006574388721219849,sh603429,集友股份
5,2022-01-11,17.45,17.59,17.1,17.14,1937800.0,48898330.0,372566956.99999994,0.005201212731272892,sh603429,集友股份
6,2022-01-12,17.19,18.28,17.08,17.8,6076478.0,158605157.0,372566956.99999994,0.016309760932448986,sh603429,集友股份
7,2022-01-13,17.8,17.81,16.92,16.98,4524984.0,114327846.0,372566956.99999994,0.01214542490948815,sh603429,集友股份
8,2022-01-14,16.99,17.33,16.49,16.81,3228620.0,80063885.0,372566956.99999994,0.008665878547033897,sh603429,集友股份
9,2022-01-17,16.83,17.38,16.71,17.26,2888480.0,72430459.0,372566956.99999994,0.007752915135734918,sh603429,集友股份
10,2022-01-18,17.29,17.34,16.66,16.75,3112386.0,76724971.0,372566956.99999994,0.008353897041921516,sh603429,集友股份
11,2022-01-19,16.75,17.05,16.62,16.81,2079185.0,51359981.0,372566956.99999994,0.005580701565007549,sh603429,集友股份
12,2022-01-20,16.66,16.88,16.06,16.11,3203707.0,76537840.0,372566956.99999994,0.008599010029759565,sh603429,集友股份
13,2022-01-21,16.11,16.3,15.9,16.12,1674300.0,39480671.0,372566956.99999994,0.00449395731033657,sh603429,集友股份
14,2022-01-24,16.12,16.36,15.82,15.85,1320500.0,30903837.0,372566956.99999994,0.0035443293485632444,sh603429,集友股份
15,2022-01-25,15.85,16.02,15.3,15.3,2238581.0,51143766.0,372566956.99999994,0.006008533386926206,sh603429,集友股份
16,2022-01-26,15.37,15.76,15.33,15.5,1339990.0,30381399.0,372566956.99999994,0.003596642092980887,sh603429,集友股份
17,2022-01-27,15.49,15.65,15.03,15.05,1810740.0,40379338.0,372566956.99999994,0.004860173362073009,sh603429,集友股份
18,2022-01-28,15.3,15.63,14.98,15.48,1916340.0,43097163.0,374632475.0,0.005115253289240342,sh603429,集友股份
19,2022-02-07,15.73,15.85,15.34,15.82,1350613.0,30898447.0,374632475.0,0.0036051679716233892,sh603429,集友股份
20,2022-02-08,15.89,15.89,15.54,15.74,1642600.0,37714803.0,374632475.0,0.004384563831525817,sh603429,集友股份
21,2022-02-09,15.77,15.78,15.52,15.69,1208560.0,27708340.0,374632475.0,0.003225988350315866,sh603429,集友股份
