,date,open,high,low,close,volume,amount,outstanding_share,turnover,股票代码,股票名称
0,2022-01-04,51.42,51.42,46.48,46.75,17412748.0,912058846.0,830229130.0,0.020973424529201957,sh603456,九洲药业
1,2022-01-05,46.25,46.34,44.77,45.07,14796115.0,733772949.0,830229130.0,0.01782172470869578,sh603456,九洲药业
2,2022-01-06,44.94,46.19,44.51,45.87,11384798.0,563604448.0,830229130.0,0.013712838526877514,sh603456,九洲药业
3,2022-01-07,45.51,45.95,43.72,44.31,9723906.0,470860934.0,830229130.0,0.011712316092787542,sh603456,九洲药业
4,2022-01-10,44.31,46.17,43.5,45.51,9601549.0,473916905.0,830229130.0,0.011564938705535422,sh603456,九洲药业
5,2022-01-11,45.4,47.05,45.07,46.61,8664618.0,437942707.0,830229130.0,0.010436417715191468,sh603456,九洲药业
6,2022-01-12,46.61,47.69,46.08,47.42,5687526.0,292735130.0,830229130.0,0.006850549799427057,sh603456,九洲药业
7,2022-01-13,47.42,48.16,46.32,46.75,5782103.0,297384605.0,830229130.0,0.006964466544314098,sh603456,九洲药业
8,2022-01-14,46.45,46.76,45.56,45.7,5878965.0,295657247.0,830229130.0,0.00708113554146191,sh603456,九洲药业
9,2022-01-17,46.16,47.24,45.74,46.7,4738402.0,241571145.0,830229130.0,0.005707342501942807,sh603456,九洲药业
10,2022-01-18,46.62,48.27,46.23,47.05,5381976.0,277672582.0,830229130.0,0.006482518868014183,sh603456,九洲药业
11,2022-01-19,45.61,46.82,42.35,43.16,19778626.0,938149797.0,830229130.0,0.023823093270649274,sh603456,九洲药业
12,2022-01-20,43.3,43.66,41.21,41.56,12067315.0,552565663.0,830229130.0,0.014534921221085075,sh603456,九洲药业
13,2022-01-21,41.39,41.93,40.75,41.39,8337608.0,377680780.0,830229130.0,0.01004253849777591,sh603456,九洲药业
14,2022-01-24,42.06,42.39,41.11,42.06,5969191.0,272154831.0,830229130.0,0.007189811564429207,sh603456,九洲药业
15,2022-01-25,42.07,43.87,41.78,42.27,7252887.0,340728612.0,830229130.0,0.008736006408255031,sh603456,九洲药业
16,2022-01-26,42.45,43.01,40.29,40.66,7994735.0,357753720.0,830229130.0,0.009629552506788095,sh603456,九洲药业
17,2022-01-27,40.54,41.3,39.07,39.29,12125439.0,527991683.0,830229130.0,0.014604930809883773,sh603456,九洲药业
18,2022-01-28,39.99,40.36,38.15,39.84,9634546.0,415705975.0,830229130.0,0.011604683155359775,sh603456,九洲药业
19,2022-02-07,40.39,41.19,39.94,40.29,7310351.0,322126796.0,830229130.0,0.008805221035788036,sh603456,九洲药业
20,2022-02-08,38.76,39.77,38.28,39.34,7800252.0,331421137.0,830229130.0,0.009395300307036926,sh603456,九洲药业
21,2022-02-09,39.09,39.56,36.53,38.93,14137259.0,584541013.0,830229130.0,0.017028141375863313,sh603456,九洲药业
22,2022-02-10,39.24,39.37,36.63,36.81,14171611.0,579144012.0,830229130.0,0.017069517905255866,sh603456,九洲药业
23,2022-02-11,36.63,37.05,36.12,36.26,13032305.0,518977490.0,830229130.0,0.01569723890560188,sh603456,九洲药业
24,2022-02-14,36.63,38.01,36.54,36.75,7132062.0,289317871.0,830229130.0,0.008590474294728733,sh603456,九洲药业
25,2022-02-15,36.57,40.28,36.21,39.85,12860343.0,549739190.0,830229130.0,0.015490112952312333,sh603456,九洲药业
26,2022-02-16,39.73,39.98,38.55,38.85,9382564.0,400468360.0,830229130.0,0.011301174171038783,sh603456,九洲药业
27,2022-02-17,38.91,39.06,37.85,38.45,8140918.0,341039919.0,830229130.0,0.009805627995731732,sh603456,九洲药业
28,2022-02-18,38.42,38.76,37.92,38.3,4436201.0,185415624.0,830229130.0,0.005343345396709942,sh603456,九洲药业
29,2022-02-21,39.84,40.84,38.16,39.79,12962182.0,559242511.0,830229130.0,0.01561277668009553,sh603456,九洲药业
30,2022-02-22,39.52,40.52,38.38,38.83,6342408.0,270256098.0,830229130.0,0.00763934650185064,sh603456,九洲药业
31,2022-02-23,38.59,41.39,38.58,41.22,12085122.0,537548186.0,830229130.0,0.014556369516930826,sh603456,九洲药业
32,2022-02-24,41.22,41.85,39.53,40.29,10557550.0,468821210.0,830229130.0,0.01271642925851084,sh603456,九洲药业
33,2022-02-25,40.73,44.31,40.73,43.69,14967572.0,710861584.0,830229130.0,0.018028242396168393,sh603456,九洲药业
34,2022-02-28,43.66,46.02,42.47,43.83,12602930.0,606954949.0,830229130.0,0.015180062400364102,sh603456,九洲药业
35,2022-03-01,44.02,46.06,43.09,45.41,12738580.0,626901907.0,830229130.0,0.015343451030199337,sh603456,九洲药业
36,2022-03-02,44.87,44.93,42.95,43.41,8902224.0,423933533.0,830229130.0,0.010722610997761546,sh603456,九洲药业
37,2022-03-03,44.0,44.51,42.96,43.46,6244684.0,296781071.0,830229130.0,0.007521639237110363,sh603456,九洲药业
38,2022-03-04,42.83,47.16,42.75,44.88,12143903.0,601890171.0,830229130.0,0.014627170453534918,sh603456,九洲药业
39,2022-03-07,44.87,45.76,43.3,44.69,11451504.0,561066619.0,830229130.0,0.013793185021103752,sh603456,九洲药业
40,2022-03-08,44.0,47.05,43.95,44.32,16192239.0,805503816.0,830229130.0,0.019503337590672108,sh603456,九洲药业
41,2022-03-09,44.51,45.2,40.75,42.58,12830050.0,600582287.0,830229130.0,0.01545362543470379,sh603456,九洲药业
