,date,open,high,low,close,volume,amount,outstanding_share,turnover,股票代码,股票名称
0,2022-01-04,6.26,6.52,6.26,6.38,4749236.0,44407975.0,245548776.0,0.01934131408580102,sh603500,祥和实业
1,2022-01-05,6.38,6.44,6.28,6.35,2604272.0,24146992.0,245548776.0,0.01060592539870775,sh603500,祥和实业
2,2022-01-06,6.38,6.5,6.29,6.44,2812616.0,26443370.0,245548776.0,0.011454408553028176,sh603500,祥和实业
3,2022-01-07,6.51,6.54,6.41,6.41,2969462.0,28123817.0,245548776.0,0.012093165555017875,sh603500,祥和实业
4,2022-01-10,6.46,6.56,6.43,6.55,2954204.0,28095862.0,245548776.0,0.012031027187852893,sh603500,祥和实业
5,2022-01-11,6.58,6.59,6.5,6.52,2123876.0,20282136.0,245548776.0,0.00864950758296592,sh603500,祥和实业
6,2022-01-12,6.52,6.61,6.47,6.53,1916816.0,18298656.0,245548776.0,0.007806253532292093,sh603500,祥和实业
7,2022-01-13,6.56,6.57,6.43,6.43,1560348.0,14797256.0,245548776.0,0.006354533813681075,sh603500,祥和实业
8,2022-01-14,6.45,6.53,6.32,6.34,1969532.0,18428967.0,245548776.0,0.008020940002567962,sh603500,祥和实业
9,2022-01-17,6.35,6.48,6.35,6.43,1617420.0,15173024.0,245548776.0,0.006586960140253356,sh603500,祥和实业
10,2022-01-18,6.48,6.48,6.28,6.31,1864440.0,17336480.0,245548776.0,0.00759295171562981,sh603500,祥和实业
11,2022-01-19,6.35,6.46,6.3,6.45,2307296.0,21669766.0,245548776.0,0.009396487482389242,sh603500,祥和实业
12,2022-01-20,6.43,6.5,6.17,6.19,2991368.0,27468320.0,245548776.0,0.01218237797283909,sh603500,祥和实业
13,2022-01-21,6.18,6.26,6.13,6.22,1306528.0,11819696.0,245548776.0,0.005320849166032903,sh603500,祥和实业
14,2022-01-24,6.22,6.24,6.08,6.17,1235704.0,11153124.0,245548776.0,0.005032417673301699,sh603500,祥和实业
15,2022-01-25,6.15,6.21,6.02,6.07,2048137.0,18295254.0,245548776.0,0.008341059700497143,sh603500,祥和实业
16,2022-01-26,6.13,6.15,6.06,6.11,792980.0,7079327.0,245548776.0,0.0032294194779451885,sh603500,祥和实业
17,2022-01-27,6.13,6.13,5.57,5.61,4690247.0,39679601.0,245548776.0,0.019101080756354492,sh603500,祥和实业
18,2022-01-28,5.61,6.07,5.61,5.98,2689664.0,23146202.0,245548776.0,0.010953685226270483,sh603500,祥和实业
19,2022-02-07,6.05,6.15,5.89,6.12,1643568.0,14580077.0,245548776.0,0.0066934481481593705,sh603500,祥和实业
20,2022-02-08,6.11,6.21,6.07,6.17,1137812.0,10244970.0,245548776.0,0.004633751462886543,sh603500,祥和实业
21,2022-02-09,6.17,6.24,6.11,6.17,1429516.0,12885876.0,245548776.0,0.0058217191031732125,sh603500,祥和实业
22,2022-02-10,6.14,6.24,6.09,6.22,1589380.0,14343140.0,245548776.0,0.0064727669422388,sh603500,祥和实业
23,2022-02-11,6.19,6.22,6.02,6.05,1466840.0,13057294.0,245548776.0,0.005973721489859921,sh603500,祥和实业
24,2022-02-14,6.24,6.24,5.94,6.1,1132651.0,10098713.0,245548776.0,0.004612733235534434,sh603500,祥和实业
25,2022-02-15,6.11,6.13,6.0,6.05,1222160.0,10796738.0,245548776.0,0.0049772595893534406,sh603500,祥和实业
26,2022-02-16,6.06,6.24,6.06,6.22,1950096.0,17569904.0,245548776.0,0.007941786685998386,sh603500,祥和实业
27,2022-02-17,6.19,6.38,6.19,6.29,2206124.0,20253867.0,245548776.0,0.00898446343711361,sh603500,祥和实业
28,2022-02-18,6.31,6.53,6.21,6.47,4587120.0,42858158.0,245548776.0,0.018681094952800743,sh603500,祥和实业
29,2022-02-21,6.5,6.75,6.4,6.63,4518930.0,43524705.0,245548776.0,0.0184033904530642,sh603500,祥和实业
30,2022-02-22,6.64,6.65,6.45,6.52,2665924.0,25490767.0,245548776.0,0.01085700382395716,sh603500,祥和实业
31,2022-02-23,6.52,6.58,6.39,6.41,2395940.0,22564314.0,245548776.0,0.009757491114514861,sh603500,祥和实业
32,2022-02-24,6.41,6.47,6.22,6.32,2675212.0,24815334.0,245548776.0,0.010894829302671825,sh603500,祥和实业
33,2022-02-25,6.4,6.48,6.29,6.31,1671540.0,15624145.0,245548776.0,0.00680736441545121,sh603500,祥和实业
34,2022-02-28,6.36,6.46,6.22,6.44,2491048.0,23140592.0,245548776.0,0.010144819455341125,sh603500,祥和实业
35,2022-03-01,6.44,6.51,6.42,6.48,1698240.0,16047098.0,245548776.0,0.006916100449223987,sh603500,祥和实业
36,2022-03-02,6.5,6.51,6.43,6.51,1554388.0,14747981.0,245548776.0,0.00633026165033704,sh603500,祥和实业
37,2022-03-03,6.5,6.54,6.42,6.5,1417140.0,13418012.0,245548776.0,0.005771317711638684,sh603500,祥和实业
38,2022-03-04,6.5,6.5,6.33,6.41,1696288.0,15896455.0,245548776.0,0.006908150908477752,sh603500,祥和实业
39,2022-03-07,6.39,6.41,6.23,6.3,1985420.0,18320954.0,245548776.0,0.008085644051428706,sh603500,祥和实业
40,2022-03-08,6.28,6.35,6.14,6.2,1744360.0,15872491.0,245548776.0,0.007103924639396289,sh603500,祥和实业
41,2022-03-09,6.19,6.26,5.95,6.19,2131160.0,19125397.0,245548776.0,0.008679171750381683,sh603500,祥和实业
42,2022-03-10,6.26,6.43,6.22,6.23,1287700.0,11847080.0,245548776.0,0.0052441719359252684,sh603500,祥和实业
43,2022-03-11,6.19,6.29,6.04,6.28,1698360.0,15321391.0,245548776.0,0.00691658915049937,sh603500,祥和实业
44,2022-03-14,6.32,6.32,6.09,6.11,1429000.0,12871434.0,245548776.0,0.005819617687689065,sh603500,祥和实业
45,2022-03-15,6.05,6.11,5.83,5.85,2305184.0,20113144.0,245548776.0,0.009387886339942498,sh603500,祥和实业
46,2022-03-16,5.89,6.01,5.75,5.98,1479660.0,12769672.0,245548776.0,0.0060259310761133665,sh603500,祥和实业
47,2022-03-17,6.05,6.07,5.95,6.0,1344880.0,11840484.0,245548776.0,0.0054770380936453944,sh603500,祥和实业
48,2022-03-18,6.01,6.07,5.94,6.07,1077860.0,9508575.0,245548776.0,0.004389596305705063,sh603500,祥和实业
49,2022-03-21,6.12,6.25,6.09,6.24,1521860.0,13788644.0,245548776.0,0.006197791024623148,sh603500,祥和实业
50,2022-03-22,6.34,6.86,6.29,6.86,3799357.0,37568814.0,245548776.0,0.01547292176280284,sh603500,祥和实业
51,2022-03-23,7.54,7.54,6.89,7.06,22477515.0,237685682.0,245548776.0,0.09153991873288751,sh603500,祥和实业
52,2022-03-24,7.06,7.76,7.06,7.76,20620139.0,228645180.0,245548776.0,0.08397573523233527,sh603500,祥和实业
