,date,open,high,low,close,volume,amount,outstanding_share,turnover,股票代码,股票名称
0,2022-01-04,6.04,6.64,6.04,6.64,8856400.0,57398683.0,293360000.0,0.030189528224706844,sh603616,韩建河山
1,2022-01-05,7.27,7.27,6.66,6.76,26833248.0,183980792.0,293360000.0,0.09146866648486501,sh603616,韩建河山
2,2022-01-06,6.67,7.43,6.65,7.43,11347507.0,81696045.0,293360000.0,0.03868116648486501,sh603616,韩建河山
3,2022-01-07,8.01,8.18,7.75,8.18,36083263.0,293101622.0,293360000.0,0.12299994205072266,sh603616,韩建河山
4,2022-01-10,8.52,9.0,8.52,9.0,22962608.0,204179212.0,293360000.0,0.07827450231797109,sh603616,韩建河山
5,2022-01-11,9.64,9.9,8.27,8.37,68149570.0,615626916.0,293360000.0,0.23230696073084264,sh603616,韩建河山
6,2022-01-12,7.77,8.72,7.63,8.21,53401969.0,433825310.0,293360000.0,0.18203561835287702,sh603616,韩建河山
7,2022-01-13,8.05,9.03,7.93,8.85,68390047.0,602593671.0,293360000.0,0.2331266941641669,sh603616,韩建河山
8,2022-01-14,8.37,8.53,7.96,7.96,55214691.0,449968439.0,293360000.0,0.18821479070084537,sh603616,韩建河山
9,2022-01-17,7.57,7.78,7.32,7.66,38566337.0,292952832.0,293360000.0,0.13146419757294792,sh603616,韩建河山
10,2022-01-18,7.57,8.43,7.43,8.43,48004840.0,385640412.0,293360000.0,0.16363798745568583,sh603616,韩建河山
11,2022-01-19,8.67,9.28,8.58,9.28,52066736.0,469076791.0,293360000.0,0.17748410144532314,sh603616,韩建河山
12,2022-01-20,9.57,10.21,8.47,9.44,81015657.0,758131176.0,293360000.0,0.2761646338969185,sh603616,韩建河山
13,2022-01-21,9.04,9.11,8.49,8.49,33820000.0,293990966.0,293360000.0,0.11528497409326424,sh603616,韩建河山
14,2022-01-24,7.94,8.43,7.74,8.06,36262122.0,292904893.0,293360000.0,0.12360963321516226,sh603616,韩建河山
