,date,open,high,low,close,volume,amount,outstanding_share,turnover,股票代码,股票名称
0,2022-01-04,11.26,12.14,11.11,11.8,3719200.0,87588974.0,100000000.0,0.037192,sh603629,利通电子
1,2022-01-05,11.9,11.92,11.45,11.6,1932100.0,45370141.0,100000000.0,0.019321,sh603629,利通电子
2,2022-01-06,11.55,11.84,11.51,11.74,1330800.0,31314867.0,100000000.0,0.013308,sh603629,利通电子
3,2022-01-07,11.77,12.32,11.65,11.75,2277976.0,54495684.0,100000000.0,0.02277976,sh603629,利通电子
4,2022-01-10,11.77,12.11,11.53,11.94,1727200.0,41205342.0,100000000.0,0.017272,sh603629,利通电子
5,2022-01-11,11.94,12.06,11.66,11.82,1101900.0,26140302.0,100000000.0,0.011019,sh603629,利通电子
6,2022-01-12,11.82,12.17,11.7,12.09,1872600.0,45014180.0,100000000.0,0.018726,sh603629,利通电子
7,2022-01-13,12.07,12.38,11.87,12.0,1145776.0,27662848.0,100000000.0,0.01145776,sh603629,利通电子
8,2022-01-14,11.91,12.67,11.86,12.42,3087000.0,76582032.0,100000000.0,0.03087,sh603629,利通电子
9,2022-01-17,12.66,12.74,12.26,12.63,2140300.0,53999586.0,100000000.0,0.021403,sh603629,利通电子
10,2022-01-18,12.64,12.78,12.33,12.45,1737700.0,43529644.0,100000000.0,0.017377,sh603629,利通电子
11,2022-01-19,12.44,12.59,12.23,12.42,937372.0,23395705.0,100000000.0,0.00937372,sh603629,利通电子
12,2022-01-20,12.42,12.52,12.16,12.19,2086189.0,51662248.0,100000000.0,0.02086189,sh603629,利通电子
13,2022-01-21,12.33,12.44,11.96,12.25,1675800.0,41127297.0,100000000.0,0.016758,sh603629,利通电子
14,2022-01-24,12.18,12.18,11.76,11.8,1402700.0,33592933.0,100000000.0,0.014027,sh603629,利通电子
15,2022-01-25,11.8,11.94,11.09,11.28,1627700.0,37313877.0,100000000.0,0.016277,sh603629,利通电子
16,2022-01-26,11.11,11.72,11.11,11.62,1273200.0,29164428.0,100000000.0,0.012732,sh603629,利通电子
17,2022-01-27,11.7,11.7,11.01,11.07,1060900.0,23942041.0,100000000.0,0.010609,sh603629,利通电子
18,2022-01-28,11.03,11.4,11.03,11.17,623900.0,14111740.0,100000000.0,0.006239,sh603629,利通电子
19,2022-02-07,11.2,11.39,11.06,11.22,880010.0,19911655.0,100000000.0,0.0088001,sh603629,利通电子
20,2022-02-08,11.24,11.56,11.1,11.47,564600.0,12940164.0,100000000.0,0.005646,sh603629,利通电子
21,2022-02-09,11.47,11.89,11.45,11.57,804205.0,18704585.0,100000000.0,0.00804205,sh603629,利通电子
22,2022-02-10,11.5,11.64,11.34,11.46,617100.0,14220252.0,100000000.0,0.006171,sh603629,利通电子
23,2022-02-11,11.72,11.72,11.1,11.1,1003900.0,22678745.0,100000000.0,0.010039,sh603629,利通电子
24,2022-02-14,11.1,11.28,10.82,11.11,525200.0,11762237.0,100000000.0,0.005252,sh603629,利通电子
25,2022-02-15,11.1,11.34,10.82,10.95,932200.0,20608636.0,100000000.0,0.009322,sh603629,利通电子
26,2022-02-16,10.98,11.12,10.83,10.96,655300.0,14449589.0,100000000.0,0.006553,sh603629,利通电子
27,2022-02-17,10.91,11.14,10.77,10.81,820640.0,18089861.0,100000000.0,0.0082064,sh603629,利通电子
28,2022-02-18,10.75,10.86,10.46,10.71,735600.0,15744947.0,100000000.0,0.007356,sh603629,利通电子
29,2022-02-21,10.71,10.83,10.62,10.73,619500.0,13343282.0,100000000.0,0.006195,sh603629,利通电子
