,date,open,high,low,close,volume,amount,outstanding_share,turnover,股票代码,股票名称
0,2022-01-04,13.61,13.8,13.44,13.76,1596022.0,22102993.0,141571744.0,0.011273591430787206,sh603679,华体科技
1,2022-01-05,13.77,13.92,13.49,13.7,953490.0,13171620.0,141571744.0,0.006735030402676963,sh603679,华体科技
2,2022-01-06,13.68,15.07,13.68,14.38,6419480.0,93998836.0,141571744.0,0.04534435911166002,sh603679,华体科技
3,2022-01-07,14.32,15.61,14.03,15.24,8690006.0,131031414.0,141571744.0,0.061382347596141786,sh603679,华体科技
4,2022-01-10,14.87,14.99,14.6,14.77,5210768.0,77877436.0,141571744.0,0.036806553714560444,sh603679,华体科技
5,2022-01-11,14.68,14.74,14.32,14.43,2930940.0,43132262.0,141571744.0,0.02070286002834012,sh603679,华体科技
6,2022-01-12,14.44,14.57,14.21,14.53,2271060.0,33215299.0,141571744.0,0.016041760423605434,sh603679,华体科技
7,2022-01-13,14.47,14.87,14.26,14.59,2573900.0,37983110.0,141571744.0,0.018180887847224655,sh603679,华体科技
8,2022-01-14,14.48,14.66,14.08,14.11,2285940.0,33128048.0,141571744.0,0.016146866143006616,sh603679,华体科技
9,2022-01-17,14.1,14.49,14.05,14.49,1627535.0,23655104.0,141571744.0,0.0114961852839787,sh603679,华体科技
10,2022-01-18,14.43,14.49,13.86,13.96,2156028.0,30724021.0,141571744.0,0.015229225402492746,sh603679,华体科技
11,2022-01-19,13.76,14.4,13.76,14.34,1835880.0,26504979.0,141571744.0,0.012967841944505537,sh603679,华体科技
12,2022-01-20,14.39,14.44,13.78,13.88,1439500.0,20387034.0,141571744.0,0.010167989454166786,sh603679,华体科技
13,2022-01-21,13.81,14.01,13.22,13.22,2081640.0,28319525.0,141571744.0,0.014703781568163772,sh603679,华体科技
14,2022-01-24,13.35,13.6,13.07,13.34,1158240.0,15711907.0,141571744.0,0.008181293577904925,sh603679,华体科技
15,2022-01-25,13.39,13.41,12.7,12.72,1469420.0,19275992.0,141571744.0,0.01037933106199497,sh603679,华体科技
16,2022-01-26,12.72,13.04,12.72,12.93,808480.0,10575004.0,141571744.0,0.005710744087464233,sh603679,华体科技
17,2022-01-27,12.98,12.98,12.24,12.29,1214020.0,15352947.0,141571744.0,0.00857529875453113,sh603679,华体科技
18,2022-01-28,12.38,12.88,12.38,12.71,928600.0,11931645.0,141571744.0,0.00655921848359797,sh603679,华体科技
19,2022-02-07,12.84,13.42,12.75,12.97,1571520.0,20918910.0,141571744.0,0.011100520171595823,sh603679,华体科技
20,2022-02-08,12.9,13.36,12.87,13.28,1065620.0,14205202.0,141571744.0,0.007527066983083856,sh603679,华体科技
21,2022-02-09,13.39,13.42,13.13,13.18,823440.0,11026831.0,141571744.0,0.005816414891378325,sh603679,华体科技
22,2022-02-10,13.32,13.32,12.86,12.92,1085300.0,14290977.0,141571744.0,0.007666077773259613,sh603679,华体科技
23,2022-02-11,12.89,12.93,12.55,12.63,917880.0,11789988.0,141571744.0,0.006483497158868086,sh603679,华体科技
24,2022-02-14,12.64,12.91,12.5,12.73,591609.0,7630359.0,141571744.0,0.0041788635449740595,sh603679,华体科技
25,2022-02-15,12.71,13.45,12.4,13.32,1844449.0,24252762.0,141571744.0,0.013028369559394563,sh603679,华体科技
26,2022-02-16,13.3,13.41,13.03,13.21,1121520.0,14992710.0,141571744.0,0.007921919786479426,sh603679,华体科技
27,2022-02-17,13.21,14.53,13.08,14.53,5063880.0,72640402.0,141571744.0,0.03576900204040716,sh603679,华体科技
28,2022-02-18,14.53,15.98,14.3,15.98,13357855.0,211035304.0,141571744.0,0.09435396232739776,sh603679,华体科技
29,2022-02-21,17.46,17.58,16.47,17.58,21601208.0,380251213.0,141571744.0,0.152581351261732,sh603679,华体科技
30,2022-02-22,16.81,18.01,15.82,15.82,21345335.0,360339325.0,141571744.0,0.15077397789208558,sh603679,华体科技
31,2022-02-23,15.41,15.81,15.12,15.16,14001815.0,218681616.0,141571744.0,0.09890261011406344,sh603679,华体科技
32,2022-02-24,15.21,16.05,14.88,15.73,14701056.0,231834790.0,141571744.0,0.10384173836270605,sh603679,华体科技
33,2022-02-25,15.34,15.62,14.5,15.11,11069019.0,169099012.0,141571744.0,0.07818664012502381,sh603679,华体科技
34,2022-02-28,14.68,14.68,14.02,14.45,6986000.0,101584524.0,141571744.0,0.049346005089829226,sh603679,华体科技
35,2022-03-01,14.49,14.7,14.19,14.41,5482662.0,79885274.0,141571744.0,0.038727092321473415,sh603679,华体科技
36,2022-03-02,14.22,14.67,14.22,14.63,4961248.0,72850366.0,141571744.0,0.03504405511879546,sh603679,华体科技
37,2022-03-03,14.68,14.68,14.3,14.41,4135420.0,60532433.0,141571744.0,0.029210772454706782,sh603679,华体科技
38,2022-03-04,14.39,14.61,14.01,14.01,4117540.0,59727737.0,141571744.0,0.02908447606607149,sh603679,华体科技
39,2022-03-07,13.92,14.19,13.53,13.8,3365180.0,47374224.0,141571744.0,0.023770138764413327,sh603679,华体科技
40,2022-03-08,13.81,13.92,13.18,13.25,3718696.0,50779634.0,141571744.0,0.026267218972735124,sh603679,华体科技
41,2022-03-09,13.42,13.49,12.43,13.09,3026943.0,40026399.0,141571744.0,0.02138098263450085,sh603679,华体科技
42,2022-03-10,13.48,13.48,12.8,12.92,3667020.0,48648738.0,141571744.0,0.02590220263162118,sh603679,华体科技
43,2022-03-11,12.84,13.32,12.54,13.27,3410100.0,44792375.0,141571744.0,0.024087433718412057,sh603679,华体科技
44,2022-03-14,13.02,13.48,13.02,13.07,2279780.0,30662183.0,141571744.0,0.016103354635512577,sh603679,华体科技
45,2022-03-15,13.25,13.85,12.77,13.1,5322400.0,71737288.0,141571744.0,0.037595072643874475,sh603679,华体科技
46,2022-03-16,13.37,13.5,12.52,13.24,5360800.0,70833168.0,141571744.0,0.03786631321007107,sh603679,华体科技
47,2022-03-17,13.49,13.7,13.03,13.23,4240380.0,57258055.0,141571744.0,0.029952163335644152,sh603679,华体科技
48,2022-03-18,13.31,13.32,13.07,13.24,2465040.0,32994792.0,141571744.0,0.017411949096282943,sh603679,华体科技
49,2022-03-21,13.26,13.57,13.2,13.46,3661960.0,49707505.0,141571744.0,0.02586646103617965,sh603679,华体科技
50,2022-03-22,13.5,13.51,13.3,13.36,2234417.0,30299845.0,141571744.0,0.01578293052602361,sh603679,华体科技
51,2022-03-23,13.42,13.91,13.34,13.57,3749217.0,51742455.0,141571744.0,0.02648280577796654,sh603679,华体科技
52,2022-03-24,13.48,13.73,13.03,13.11,3072700.0,41607816.0,141571744.0,0.021704189785215898,sh603679,华体科技
53,2022-03-25,13.09,13.35,12.94,12.94,2272936.0,30244323.0,141571744.0,0.016055011655433164,sh603679,华体科技
54,2022-03-28,12.89,13.11,12.63,13.0,1433516.0,18814589.0,141571744.0,0.01012572113260115,sh603679,华体科技
55,2022-03-29,13.02,13.1,12.56,12.61,2158934.0,27883832.0,141571744.0,0.015249752097424187,sh603679,华体科技
56,2022-03-30,12.72,12.88,12.59,12.87,1502010.0,19385297.0,141571744.0,0.01060953236544151,sh603679,华体科技
57,2022-03-31,12.81,12.99,12.7,12.75,1587100.0,20645266.0,141571773.0,0.011210568084077043,sh603679,华体科技
58,2022-04-01,12.8,12.8,12.5,12.51,1649100.0,21050515.0,141571773.0,0.011648508491872883,sh603679,华体科技
59,2022-04-06,12.5,12.9,12.43,12.73,1448960.0,18682572.0,141571773.0,0.010234808601288056,sh603679,华体科技
60,2022-04-07,12.73,12.73,12.39,12.42,1540900.0,19516814.0,141571773.0,0.010884231844719499,sh603679,华体科技
61,2022-04-08,12.44,12.53,11.94,12.04,1958540.0,23977724.0,141571773.0,0.013834254940071988,sh603679,华体科技
62,2022-04-11,12.0,12.19,11.3,11.42,2214360.0,25980576.0,141571773.0,0.015641253571077336,sh603679,华体科技
63,2022-04-12,11.44,11.71,11.25,11.7,1417360.0,16546920.0,141571773.0,0.010011600264411466,sh603679,华体科技
64,2022-04-13,11.75,11.75,11.37,11.38,1032940.0,12082921.0,141571773.0,0.007296228464977973,sh603679,华体科技
65,2022-04-14,11.4,11.56,11.4,11.47,720900.0,8395134.0,141571773.0,0.0050921167738713,sh603679,华体科技
66,2022-04-15,11.39,11.39,10.93,11.29,2145580.0,24202769.0,141571773.0,0.015155422260622532,sh603679,华体科技
67,2022-04-18,11.22,11.22,10.74,11.02,1567100.0,17352515.0,141571773.0,0.011069296984788063,sh603679,华体科技
68,2022-04-19,11.08,11.21,11.03,11.19,885900.0,9993342.0,141571773.0,0.0062576033430053885,sh603679,华体科技
69,2022-04-20,11.19,11.37,11.04,11.13,1015097.0,11521413.0,141571802.0,0.007170191984982998,sh603679,华体科技
70,2022-04-21,11.2,11.2,10.52,10.56,1874369.0,20491081.0,141571802.0,0.01323970574309706,sh603679,华体科技
71,2022-04-22,10.57,10.81,10.42,10.61,1691720.0,18127630.0,141571802.0,0.011949554756673931,sh603679,华体科技
72,2022-04-25,10.46,10.58,9.88,10.27,2443187.0,25227134.0,141571802.0,0.017257582127830795,sh603679,华体科技
