,date,open,high,low,close,volume,amount,outstanding_share,turnover,股票代码,股票名称
0,2022-01-04,10.63,11.53,10.63,11.1,9077780.0,101988830.0,145371179.0,0.0624455278030042,sh603687,大胜达
1,2022-01-05,11.07,11.81,10.94,11.61,10323013.0,119404467.0,145371179.0,0.07101141416759095,sh603687,大胜达
2,2022-01-06,11.63,11.98,11.36,11.92,7210646.0,86820085.0,145371179.0,0.049601620139573886,sh603687,大胜达
3,2022-01-07,11.83,12.0,11.66,11.85,5983461.0,72424256.0,145371179.0,0.04115988493152415,sh603687,大胜达
4,2022-01-10,11.85,12.0,11.44,11.59,4413985.0,52561516.0,145371179.0,0.030363549572642593,sh603687,大胜达
5,2022-01-11,11.51,12.27,11.47,11.99,6221448.0,76454431.0,145371179.0,0.04279698385056092,sh603687,大胜达
6,2022-01-12,11.87,12.6,11.81,12.21,5030217.0,62860788.0,145371179.0,0.034602574145732146,sh603687,大胜达
7,2022-01-13,12.24,12.52,11.95,12.0,3255001.0,40217220.0,145371179.0,0.02239096513071549,sh603687,大胜达
8,2022-01-14,12.02,12.17,11.83,12.01,3599993.0,44107266.0,145371179.0,0.024764145305583577,sh603687,大胜达
9,2022-01-17,11.9,12.17,11.64,11.97,3969713.0,48236530.0,145371179.0,0.027307427973738866,sh603687,大胜达
10,2022-01-18,12.0,12.19,11.73,11.89,3557461.0,43263279.0,145371179.0,0.024471570117760414,sh603687,大胜达
11,2022-01-19,11.88,12.63,11.81,12.44,5836553.0,72960907.0,145371179.0,0.04014931322803676,sh603687,大胜达
12,2022-01-20,12.45,13.15,12.16,12.29,9225666.0,119143174.0,145371179.0,0.06346282711238106,sh603687,大胜达
13,2022-01-21,12.16,12.45,11.82,12.18,5668187.0,69741952.0,145371179.0,0.03899113317365335,sh603687,大胜达
14,2022-01-24,12.17,12.17,10.96,10.96,5703440.0,65139787.0,145371179.0,0.0392336365380926,sh603687,大胜达
15,2022-01-25,10.31,10.75,10.28,10.48,6473869.0,68879818.0,145371179.0,0.04453337342747973,sh603687,大胜达
16,2022-01-26,10.48,10.82,10.09,10.52,6303490.0,66742338.0,145371179.0,0.043361346061587626,sh603687,大胜达
17,2022-01-27,10.46,10.52,9.81,9.89,3032965.0,31206649.0,145371179.0,0.020863592225526355,sh603687,大胜达
18,2022-01-28,10.08,10.24,9.9,10.02,2563646.0,26296301.0,145371179.0,0.017635173750637327,sh603687,大胜达
19,2022-02-07,10.16,10.23,9.7,9.83,3960165.0,39970369.0,145371179.0,0.027241747829533664,sh603687,大胜达
20,2022-02-08,9.89,10.01,9.77,9.85,2270496.0,22921054.0,145371179.0,0.015618611719452313,sh603687,大胜达
21,2022-02-09,9.86,10.07,9.72,9.92,3362666.0,33833959.0,145371179.0,0.023131586488680814,sh603687,大胜达
22,2022-02-10,9.85,10.01,9.85,9.91,1370315.0,13867347.0,145371179.0,0.009426318266291285,sh603687,大胜达
23,2022-02-11,9.9,9.98,9.8,9.81,1683567.0,16901062.0,145371179.0,0.011581160802169733,sh603687,大胜达
24,2022-02-14,9.82,10.13,9.76,9.89,2284154.0,23231201.0,145371179.0,0.015712564317855605,sh603687,大胜达
25,2022-02-15,9.88,10.29,9.88,10.22,2909488.0,29984878.0,145371179.0,0.020014201026738593,sh603687,大胜达
26,2022-02-16,10.2,10.25,10.01,10.02,1937097.0,19964866.0,145371179.0,0.0133251791264622,sh603687,大胜达
27,2022-02-17,10.03,10.19,9.82,9.86,1812214.0,18390242.0,145371179.0,0.012466116134340495,sh603687,大胜达
28,2022-02-18,9.8,9.99,9.8,9.92,1509735.0,15272887.0,145371179.0,0.010385380447385654,sh603687,大胜达
29,2022-02-21,9.92,10.0,9.8,9.95,1234814.0,12520695.0,145371179.0,0.008494214661353198,sh603687,大胜达
30,2022-02-22,9.91,9.95,9.75,9.8,2284638.0,22888362.0,145371179.0,0.015715893726087206,sh603687,大胜达
31,2022-02-23,9.81,9.99,9.8,9.99,1428903.0,14472732.0,145371179.0,0.009829341756937941,sh603687,大胜达
32,2022-02-24,9.96,10.01,9.4,9.62,3146714.0,31047854.0,145371179.0,0.021646065070436003,sh603687,大胜达
33,2022-02-25,9.62,9.79,9.49,9.69,2985611.0,29390051.0,145371179.0,0.02053784677635448,sh603687,大胜达
34,2022-02-28,9.76,9.8,9.51,9.77,1718399.0,16935196.0,145371179.0,0.0118207681317629,sh603687,大胜达
35,2022-03-01,9.85,9.95,9.7,9.89,2567898.0,25796341.0,145371179.0,0.01766442301468849,sh603687,大胜达
36,2022-03-02,9.94,10.23,9.75,10.04,1752382.0,17927965.0,145371179.0,0.01205453523906551,sh603687,大胜达
37,2022-03-03,10.05,10.1,9.91,9.95,1068700.0,10891589.0,145371179.0,0.007351525985766408,sh603687,大胜达
38,2022-03-04,9.97,9.97,9.72,9.75,1124600.0,11262683.0,145371179.0,0.007736058878630956,sh603687,大胜达
39,2022-03-07,9.84,9.84,9.55,9.63,1073144.0,10568667.0,145371179.0,0.007382096006802009,sh603687,大胜达
40,2022-03-08,9.65,9.67,9.16,9.17,1749342.0,16698732.0,145371179.0,0.012033623253478601,sh603687,大胜达
41,2022-03-09,9.18,9.25,8.63,8.87,1772948.0,16158234.0,145371179.0,0.012196007573138,sh603687,大胜达
