,date,open,high,low,close,volume,amount,outstanding_share,turnover,股票代码,股票名称
0,2022-01-04,20.82,21.03,19.58,19.72,14339456.0,387943208.0,618000000.0,0.023203003236245953,sh603693,江苏新能
1,2022-01-05,19.62,19.64,17.75,17.98,15918536.0,394695112.0,618000000.0,0.025758148867313917,sh603693,江苏新能
2,2022-01-06,17.99,18.23,17.66,18.04,10687698.0,260236544.0,618000000.0,0.017294009708737863,sh603693,江苏新能
3,2022-01-07,18.05,18.14,17.07,17.15,11696149.0,275968862.0,618000000.0,0.018925807443365694,sh603693,江苏新能
4,2022-01-10,17.02,17.16,16.59,16.73,9123985.0,207505503.0,618000000.0,0.014763729773462783,sh603693,江苏新能
5,2022-01-11,16.79,16.97,16.05,16.22,12834900.0,285407397.0,618000000.0,0.020768446601941746,sh603693,江苏新能
6,2022-01-12,16.3,16.53,15.96,16.42,12022100.0,264219183.0,618000000.0,0.019453236245954693,sh603693,江苏新能
7,2022-01-13,16.33,16.34,15.78,15.83,10843881.0,234398577.0,618000000.0,0.01754673300970874,sh603693,江苏新能
8,2022-01-14,15.82,16.59,15.55,16.1,12824410.0,280589265.0,618000000.0,0.020751472491909385,sh603693,江苏新能
9,2022-01-17,16.1,16.64,15.96,16.17,8989385.0,197540676.0,618000000.0,0.014545930420711974,sh603693,江苏新能
10,2022-01-18,16.15,16.72,15.72,16.25,14285720.0,315257028.0,618000000.0,0.023116051779935275,sh603693,江苏新能
11,2022-01-19,16.28,16.6,15.63,15.89,13315457.0,289034025.0,618000000.0,0.02154604692556634,sh603693,江苏新能
12,2022-01-20,15.89,16.02,15.07,15.46,11944300.0,250316353.0,618000000.0,0.019327346278317153,sh603693,江苏新能
13,2022-01-21,15.58,16.45,15.19,16.11,16760599.0,363595715.0,618000000.0,0.027120710355987055,sh603693,江苏新能
14,2022-01-24,16.11,17.12,15.89,16.74,14241059.0,319657753.0,618000000.0,0.023043784789644015,sh603693,江苏新能
15,2022-01-25,16.55,16.77,15.7,15.72,8695300.0,190502275.0,618000000.0,0.014070064724919094,sh603693,江苏新能
16,2022-01-26,16.06,16.99,15.94,16.74,13215200.0,296367384.0,618000000.0,0.021383818770226538,sh603693,江苏新能
17,2022-01-27,16.72,16.99,16.32,16.7,8401600.0,189438350.0,618000000.0,0.013594822006472492,sh603693,江苏新能
18,2022-01-28,16.63,17.05,15.74,16.58,7693998.0,171098838.0,618000000.0,0.012449834951456311,sh603693,江苏新能
19,2022-02-07,16.81,18.23,16.79,18.23,14548600.0,349210935.0,618000000.0,0.023541423948220064,sh603693,江苏新能
20,2022-02-08,17.95,19.13,17.55,18.8,13177479.0,326334354.0,618000000.0,0.02132278155339806,sh603693,江苏新能
21,2022-02-09,18.69,19.7,18.24,18.55,12519395.0,319005188.0,618000000.0,0.02025792071197411,sh603693,江苏新能
22,2022-02-10,18.32,18.77,17.98,18.61,8014520.0,199052521.0,618000000.0,0.012968478964401295,sh603693,江苏新能
23,2022-02-11,18.33,18.37,17.58,17.58,7264566.0,176322345.0,618000000.0,0.011754961165048544,sh603693,江苏新能
24,2022-02-14,17.27,17.72,16.99,17.16,5548100.0,129719355.0,618000000.0,0.008977508090614887,sh603693,江苏新能
25,2022-02-15,17.36,18.07,17.1,18.03,7118420.0,170032424.0,618000000.0,0.011518478964401295,sh603693,江苏新能
26,2022-02-16,17.98,18.12,17.74,18.02,4605300.0,111881556.0,618000000.0,0.007451941747572815,sh603693,江苏新能
27,2022-02-17,18.03,18.17,17.67,17.7,5402720.0,130393351.0,618000000.0,0.008742265372168285,sh603693,江苏新能
28,2022-02-18,17.44,18.12,17.24,18.09,6173796.0,149743410.0,618000000.0,0.009989961165048543,sh603693,江苏新能
29,2022-02-21,17.91,18.08,17.59,17.89,4410558.0,105967363.0,618000000.0,0.007136825242718446,sh603693,江苏新能
30,2022-02-22,17.6,17.81,17.34,17.59,3678759.0,87395542.0,618000000.0,0.005952684466019417,sh603693,江苏新能
31,2022-02-23,17.73,18.04,17.7,17.97,4031900.0,97612493.0,618000000.0,0.0065241100323624596,sh603693,江苏新能
32,2022-02-24,17.81,18.84,17.36,17.7,9618412.0,236622541.0,618000000.0,0.01556377346278317,sh603693,江苏新能
33,2022-02-25,17.85,19.47,17.22,18.78,17734634.0,441494413.0,618000000.0,0.028696818770226538,sh603693,江苏新能
34,2022-02-28,18.78,19.04,18.24,18.74,9880440.0,248487249.0,618000000.0,0.015987766990291263,sh603693,江苏新能
35,2022-03-01,18.55,18.98,18.4,18.55,6058462.0,153034584.0,618000000.0,0.009803336569579288,sh603693,江苏新能
36,2022-03-02,18.36,18.47,18.11,18.29,3920954.0,96808538.0,618000000.0,0.0063445857605178,sh603693,江苏新能
37,2022-03-03,18.39,18.55,18.05,18.1,3992928.0,98740568.0,618000000.0,0.006461048543689321,sh603693,江苏新能
38,2022-03-04,17.92,18.32,17.42,18.1,6933661.0,167415285.0,618000000.0,0.011219516181229773,sh603693,江苏新能
39,2022-03-07,17.88,18.35,17.39,17.73,4762502.0,114879569.0,618000000.0,0.007706313915857605,sh603693,江苏新能
40,2022-03-08,17.47,17.58,16.25,16.31,6745495.0,153239757.0,618000000.0,0.010915040453074433,sh603693,江苏新能
41,2022-03-09,16.45,16.81,15.66,16.37,5709101.0,126369246.0,618000000.0,0.009238027508090614,sh603693,江苏新能
42,2022-03-10,16.51,17.33,16.45,16.96,9173451.0,209760301.0,618000000.0,0.014843771844660195,sh603693,江苏新能
43,2022-03-11,16.86,16.89,16.01,16.24,7693938.0,170035254.0,618000000.0,0.01244973786407767,sh603693,江苏新能
44,2022-03-14,16.18,16.18,15.37,15.41,7542016.0,159242751.0,618000000.0,0.012203909385113268,sh603693,江苏新能
45,2022-03-15,15.29,15.38,14.44,14.52,6939419.0,139677855.0,618000000.0,0.011228833333333334,sh603693,江苏新能
46,2022-03-16,14.61,15.02,14.37,15.01,6298101.0,126022701.0,618000000.0,0.010191101941747573,sh603693,江苏新能
47,2022-03-17,15.04,15.44,15.02,15.02,6870400.0,141609651.0,618000000.0,0.01111715210355987,sh603693,江苏新能
48,2022-03-18,15.0,15.55,14.82,15.32,6178385.0,128246425.0,618000000.0,0.009997386731391585,sh603693,江苏新能
49,2022-03-21,15.33,15.54,14.91,15.09,6773561.0,138948669.0,618000000.0,0.010960454692556635,sh603693,江苏新能
50,2022-03-22,15.15,15.21,14.7,14.8,6954381.0,139745346.0,618000000.0,0.011253043689320388,sh603693,江苏新能
51,2022-03-23,15.15,15.93,14.92,15.46,12997471.0,272271448.0,618000000.0,0.02103150647249191,sh603693,江苏新能
52,2022-03-24,15.46,15.48,14.72,14.84,9923606.0,200560260.0,618000000.0,0.01605761488673139,sh603693,江苏新能
53,2022-03-25,14.75,14.77,13.96,13.99,12577304.0,242916735.0,618000000.0,0.020351624595469256,sh603693,江苏新能
54,2022-03-28,14.04,14.92,13.95,14.16,14066751.0,273238273.0,618000000.0,0.022761733009708737,sh603693,江苏新能
55,2022-03-29,14.03,14.64,14.03,14.25,8433646.0,162580119.0,618000000.0,0.01364667637540453,sh603693,江苏新能
56,2022-03-30,14.43,14.72,14.33,14.41,9196297.0,180021346.0,618000000.0,0.014880739482200648,sh603693,江苏新能
57,2022-03-31,14.22,14.36,14.02,14.15,6869846.0,131378141.0,618000000.0,0.01111625566343042,sh603693,江苏新能
58,2022-04-01,13.96,14.26,13.85,14.16,5223455.0,99454047.0,618000000.0,0.008452192556634304,sh603693,江苏新能
59,2022-04-06,14.04,14.1,13.82,13.96,5570931.0,105105212.0,618000000.0,0.00901445145631068,sh603693,江苏新能
60,2022-04-07,13.94,13.96,13.28,13.37,7352248.0,134242461.0,618000000.0,0.01189684142394822,sh603693,江苏新能
61,2022-04-08,13.31,13.55,12.99,13.11,5606826.0,100041797.0,618000000.0,0.009072533980582524,sh603693,江苏新能
62,2022-04-11,13.14,13.23,12.46,12.52,6347311.0,109120293.0,618000000.0,0.010270729773462783,sh603693,江苏新能
63,2022-04-12,12.29,12.63,12.13,12.46,5505068.0,92058203.0,618000000.0,0.008907877022653722,sh603693,江苏新能
64,2022-04-13,12.48,12.54,11.95,11.96,5276126.0,86669899.0,618000000.0,0.00853742071197411,sh603693,江苏新能
65,2022-04-14,12.06,12.1,11.75,11.81,5151638.0,82930162.0,618000000.0,0.008335983818770227,sh603693,江苏新能
66,2022-04-15,11.66,12.18,11.56,12.0,8329265.0,134857687.0,618000000.0,0.013477775080906149,sh603693,江苏新能
67,2022-04-18,11.94,12.28,11.62,12.18,6107928.0,99106015.0,618000000.0,0.009883378640776699,sh603693,江苏新能
68,2022-04-19,12.26,12.46,12.09,12.19,5284861.0,87600800.0,618000000.0,0.00855155501618123,sh603693,江苏新能
69,2022-04-20,12.2,12.29,11.85,11.93,4092049.0,66827633.0,618000000.0,0.0066214385113268605,sh603693,江苏新能
70,2022-04-21,11.84,11.97,11.38,11.59,4442110.0,69950244.0,618000000.0,0.007187880258899677,sh603693,江苏新能
71,2022-04-22,11.39,12.21,11.3,11.95,7317404.0,116690066.0,618000000.0,0.011840459546925567,sh603693,江苏新能
72,2022-04-25,11.84,11.84,10.84,11.02,7511939.0,114496542.0,618000000.0,0.012155241100323625,sh603693,江苏新能
73,2022-04-26,11.53,11.67,10.95,11.01,9085540.0,139141177.0,618000000.0,0.014701521035598705,sh603693,江苏新能
74,2022-04-27,10.54,11.4,10.37,11.39,8032037.0,119266383.0,618000000.0,0.012996823624595468,sh603693,江苏新能
75,2022-04-28,11.0,11.0,10.27,10.43,13548382.0,193023539.0,618000000.0,0.021922948220064725,sh603693,江苏新能
76,2022-04-29,10.45,11.15,10.45,11.02,11930504.0,175508244.0,618000000.0,0.019305022653721682,sh603693,江苏新能
77,2022-05-05,10.94,11.31,10.87,11.08,6419408.0,96530512.0,618000000.0,0.010387391585760518,sh603693,江苏新能
78,2022-05-06,10.82,10.88,10.59,10.65,5242522.0,76019050.0,618000000.0,0.008483045307443366,sh603693,江苏新能
79,2022-05-09,10.64,10.85,10.41,10.57,7061500.0,101348456.0,618000000.0,0.011426375404530745,sh603693,江苏新能
80,2022-05-10,10.4,11.22,10.38,11.16,9673238.0,143294113.0,618000000.0,0.015652488673139158,sh603693,江苏新能
81,2022-05-11,11.23,12.28,11.17,11.85,18323359.0,295386716.0,618000000.0,0.029649448220064725,sh603693,江苏新能
82,2022-05-12,12.04,12.04,11.41,11.62,12852024.0,202972461.0,618000000.0,0.020796155339805826,sh603693,江苏新能
83,2022-05-13,11.64,11.79,11.43,11.62,6711173.0,105044442.0,618000000.0,0.010859503236245955,sh603693,江苏新能
84,2022-05-16,11.62,11.79,11.41,11.5,6134067.0,95939772.0,618000000.0,0.009925674757281554,sh603693,江苏新能
85,2022-05-17,11.54,12.18,11.46,11.9,11727272.0,187106141.0,618000000.0,0.018976168284789645,sh603693,江苏新能
86,2022-05-18,11.81,11.95,11.7,11.82,7441777.0,118947895.0,618000000.0,0.012041710355987055,sh603693,江苏新能
87,2022-05-19,11.63,12.83,11.55,12.68,18051919.0,302099837.0,618000000.0,0.02921022491909385,sh603693,江苏新能
88,2022-05-20,12.69,12.99,12.56,12.69,12395297.0,213615213.0,618000000.0,0.02005711488673139,sh603693,江苏新能
89,2022-05-23,12.83,12.92,12.41,12.64,6991465.0,118830491.0,618000000.0,0.011313050161812298,sh603693,江苏新能
90,2022-05-24,12.71,13.09,12.25,12.31,13108652.0,225396808.0,618000000.0,0.021211411003236248,sh603693,江苏新能
91,2022-05-25,12.52,12.93,12.12,12.89,10714188.0,182053013.0,618000000.0,0.017336873786407768,sh603693,江苏新能
92,2022-05-26,12.86,13.03,12.5,12.72,8729426.0,150437769.0,618000000.0,0.014125284789644013,sh603693,江苏新能
93,2022-05-27,12.64,12.77,12.32,12.6,7237579.0,122578321.0,618000000.0,0.0117112928802589,sh603693,江苏新能
94,2022-05-30,12.54,12.63,12.32,12.62,4933988.0,83462140.0,618000000.0,0.00798379935275081,sh603693,江苏新能
95,2022-05-31,12.72,13.09,12.57,12.84,9790243.0,169934751.0,618000000.0,0.01584181715210356,sh603693,江苏新能
96,2022-06-01,12.72,12.78,12.35,12.66,8583082.0,146280835.0,618000000.0,0.01388848220064725,sh603693,江苏新能
97,2022-06-02,12.68,12.95,12.56,12.91,8157016.0,141755345.0,618000000.0,0.01319905501618123,sh603693,江苏新能
98,2022-06-06,12.79,13.66,12.79,13.43,10402266.0,187042389.0,618000000.0,0.01683214563106796,sh603693,江苏新能
99,2022-06-07,13.43,13.63,12.98,13.14,8871845.0,158618004.0,618000000.0,0.014355736245954693,sh603693,江苏新能
100,2022-06-08,13.11,13.28,12.67,13.04,8179667.0,143666161.0,618000000.0,0.0132357071197411,sh603693,江苏新能
101,2022-06-09,13.14,13.42,12.75,12.77,7370680.0,130059113.0,618000000.0,0.011926666666666667,sh603693,江苏新能
