,date,open,high,low,close,volume,amount,outstanding_share,turnover,股票代码,股票名称
0,2022-01-04,14.45,14.83,14.13,14.48,4817250.0,69460067.0,201323345.0,0.023927925497164774,sh603716,塞力医疗
1,2022-01-05,14.42,14.49,13.75,13.93,4350525.0,61209473.0,201323345.0,0.021609639955068302,sh603716,塞力医疗
2,2022-01-06,14.0,15.32,13.73,14.59,6599100.0,95940587.0,201323345.0,0.03277861293234523,sh603716,塞力医疗
3,2022-01-07,14.74,16.05,14.37,16.05,25167679.0,397380241.0,201323345.0,0.12501123006872353,sh603716,塞力医疗
4,2022-01-10,17.66,17.66,16.59,17.66,32404742.0,562675822.0,201323345.0,0.16095869060788753,sh603716,塞力医疗
5,2022-01-11,18.1,19.43,16.88,18.7,48324291.0,886807893.0,201323345.0,0.2400332211845576,sh603716,塞力医疗
6,2022-01-12,17.0,19.43,17.0,17.7,38832775.0,696854979.0,201323345.0,0.19288759085539733,sh603716,塞力医疗
7,2022-01-13,17.68,17.69,16.46,16.58,28077492.0,475306755.0,201323345.0,0.13946466069297628,sh603716,塞力医疗
8,2022-01-14,16.13,17.99,16.12,17.28,26647349.0,455854780.0,201323345.0,0.13236094899972975,sh603716,塞力医疗
9,2022-01-17,16.94,19.01,16.5,19.01,27981065.0,489673105.0,201323345.0,0.13898569487805798,sh603716,塞力医疗
10,2022-01-18,20.91,20.91,20.02,20.91,22533321.0,469482315.0,201323345.0,0.11192602129673536,sh603716,塞力医疗
11,2022-01-19,19.79,23.0,19.26,21.96,45520752.0,972738047.0,201323345.0,0.22610766774215876,sh603716,塞力医疗
12,2022-01-20,20.43,22.86,20.43,20.65,34111868.0,732618345.0,201323345.0,0.16943821393390815,sh603716,塞力医疗
13,2022-01-21,22.7,22.72,20.6,21.31,29333596.0,639441067.0,201323345.0,0.1457038973796109,sh603716,塞力医疗
14,2022-01-24,19.18,19.69,19.18,19.18,4073200.0,78226798.0,201323345.0,0.02023212956252043,sh603716,塞力医疗
15,2022-01-25,17.26,18.48,17.26,17.26,19330758.0,337406305.0,201323345.0,0.09601846224043217,sh603716,塞力医疗
16,2022-01-26,17.26,17.39,15.53,15.53,13228373.0,209959359.0,201323345.0,0.06570709919408502,sh603716,塞力医疗
17,2022-01-27,15.04,16.16,14.03,15.09,21952350.0,327175727.0,201323345.0,0.10904026058180187,sh603716,塞力医疗
18,2022-01-28,14.83,16.5,14.56,15.81,19648646.0,302314262.0,201323345.0,0.09759745448298607,sh603716,塞力医疗
19,2022-02-07,15.22,15.22,14.23,14.24,13172500.0,190001391.0,201323345.0,0.06542957052496819,sh603716,塞力医疗
20,2022-02-08,14.22,14.95,14.02,14.78,11990093.0,174411058.0,201323345.0,0.05955639670103832,sh603716,塞力医疗
21,2022-02-09,14.92,15.1,14.15,14.87,14027323.0,205570906.0,201323345.0,0.06967559077661858,sh603716,塞力医疗
22,2022-02-10,14.78,15.44,14.69,14.93,12299323.0,185017858.0,201323345.0,0.061092383498793944,sh603716,塞力医疗
23,2022-02-11,14.6,14.66,13.86,13.94,14567143.0,206870546.0,201323345.0,0.07235694896684734,sh603716,塞力医疗
24,2022-02-14,13.56,14.16,13.56,13.78,8868400.0,123110411.0,201323345.0,0.044050529758483795,sh603716,塞力医疗
25,2022-02-15,13.79,14.18,13.79,14.04,7743350.0,108544717.0,201323345.0,0.038462255830291316,sh603716,塞力医疗
26,2022-02-16,14.05,14.86,13.91,14.57,9282194.0,133410606.0,201323345.0,0.046105899939224634,sh603716,塞力医疗
27,2022-02-17,14.57,14.59,14.11,14.14,7001800.0,100467395.0,201323345.0,0.03477887773025031,sh603716,塞力医疗
28,2022-02-18,14.1,14.6,14.0,14.45,7378550.0,106002517.0,201323345.0,0.03665024540497278,sh603716,塞力医疗
29,2022-02-21,14.7,14.78,14.03,14.48,10074300.0,144892658.0,201323345.0,0.050040396457748104,sh603716,塞力医疗
30,2022-02-22,14.3,14.3,13.81,13.84,8404550.0,117149109.0,201323345.0,0.04174652472618116,sh603716,塞力医疗
31,2022-02-23,14.07,14.67,14.0,14.22,8938580.0,127518831.0,201323345.0,0.0443991232114686,sh603716,塞力医疗
32,2022-02-24,14.22,14.35,13.03,13.43,11013100.0,150289456.0,201323345.0,0.05470354170799219,sh603716,塞力医疗
33,2022-02-25,13.4,13.79,13.39,13.64,6638600.0,90551991.0,201323345.0,0.032974814719077906,sh603716,塞力医疗
34,2022-02-28,13.62,13.62,13.15,13.53,4982900.0,66958529.0,201323345.0,0.0247507312179817,sh603716,塞力医疗
35,2022-03-01,13.51,13.86,13.46,13.78,5718500.0,78406752.0,201323345.0,0.028404554871666772,sh603716,塞力医疗
36,2022-03-02,13.67,13.97,13.55,13.92,4853950.0,66977170.0,201323345.0,0.024110219309141718,sh603716,塞力医疗
37,2022-03-03,13.88,14.21,13.71,13.77,6317500.0,87792423.0,201323345.0,0.03137986804262566,sh603716,塞力医疗
38,2022-03-04,13.8,15.11,13.7,14.32,12797350.0,184198814.0,201323345.0,0.06356615026439184,sh603716,塞力医疗
39,2022-03-07,13.93,14.44,13.81,13.92,8036660.0,113191328.0,201323345.0,0.0399191658572929,sh603716,塞力医疗
40,2022-03-08,13.85,13.9,12.85,13.01,9199396.0,121490927.0,201323345.0,0.045694631191429885,sh603716,塞力医疗
