,date,open,high,low,close,volume,amount,outstanding_share,turnover,股票代码,股票名称
0,2022-01-04,4.65,4.79,4.6,4.75,7289450.0,34462754.0,642857142.0,0.011339144459563303,sh603778,国晟科技
1,2022-01-05,4.84,4.84,4.57,4.59,8726312.0,40619384.0,642857142.0,0.013574263129210128,sh603778,国晟科技
2,2022-01-06,4.62,4.88,4.57,4.85,11731598.0,55865735.0,642857142.0,0.018249152468776647,sh603778,国晟科技
3,2022-01-07,4.82,4.95,4.76,4.79,8557150.0,41171349.0,642857142.0,0.013311122239970385,sh603778,国晟科技
4,2022-01-10,4.78,5.27,4.76,5.21,30649923.0,154252902.0,642857142.0,0.04767765806357021,sh603778,国晟科技
5,2022-01-11,5.21,5.32,5.04,5.26,24732250.0,128108167.0,642857142.0,0.038472388940185405,sh603778,国晟科技
6,2022-01-12,5.16,5.17,4.98,5.09,14401119.0,73014022.0,642857142.0,0.022401740696535655,sh603778,国晟科技
7,2022-01-13,5.09,5.1,4.93,4.96,8098500.0,40581102.0,642857142.0,0.012597666683463555,sh603778,国晟科技
8,2022-01-14,4.93,5.12,4.9,4.91,8615250.0,43024945.0,642857142.0,0.013401500017868667,sh603778,国晟科技
9,2022-01-17,4.9,5.03,4.86,5.02,8078250.0,39988707.0,642857142.0,0.012566166683421556,sh603778,国晟科技
10,2022-01-18,5.17,5.21,4.96,5.09,12547600.0,63826393.0,642857142.0,0.01951848891491354,sh603778,国晟科技
11,2022-01-19,5.04,5.07,4.81,4.87,11227300.0,55246453.0,642857142.0,0.01746468891217514,sh603778,国晟科技
12,2022-01-20,4.9,4.92,4.63,4.78,9073700.0,43016927.0,642857142.0,0.01411464446326397,sh603778,国晟科技
13,2022-01-21,4.8,4.94,4.63,4.86,13946320.0,66480092.0,642857142.0,0.021694275584481258,sh603778,国晟科技
14,2022-01-24,4.78,4.81,4.37,4.5,17477520.0,79049211.0,642857142.0,0.027187253369583005,sh603778,国晟科技
15,2022-01-25,4.53,4.55,4.26,4.28,8037250.0,35303416.0,642857142.0,0.01250238890555874,sh603778,国晟科技
16,2022-01-26,4.29,4.42,4.24,4.32,6490007.0,27974267.0,642857142.0,0.0100955664579052,sh603778,国晟科技
17,2022-01-27,4.33,4.33,4.13,4.17,6460650.0,27233291.0,642857142.0,0.010049900013399867,sh603778,国晟科技
18,2022-01-28,4.21,4.29,4.13,4.22,5610100.0,23677741.0,642857142.0,0.008726822233857985,sh603778,国晟科技
19,2022-02-07,4.23,4.35,4.1,4.18,7683950.0,32407652.0,642857142.0,0.011952811127048192,sh603778,国晟科技
20,2022-02-08,4.18,4.29,4.12,4.22,9549650.0,40294657.0,642857142.0,0.014855011130917792,sh603778,国晟科技
21,2022-02-09,4.24,4.24,3.94,4.16,35366835.0,143675171.0,642857142.0,0.055015076740020104,sh603778,国晟科技
22,2022-02-10,4.13,4.13,4.02,4.06,13994900.0,56803696.0,642857142.0,0.021769844473470905,sh603778,国晟科技
23,2022-02-11,4.04,4.1,3.91,4.06,14204981.0,56894263.0,642857142.0,0.022096637140573295,sh603778,国晟科技
24,2022-02-14,4.07,4.16,4.0,4.06,9085400.0,37168988.0,642857142.0,0.014132844463288236,sh603778,国晟科技
25,2022-02-15,4.08,4.16,3.97,4.09,9554500.0,38839528.0,642857142.0,0.014862555575372296,sh603778,国晟科技
26,2022-02-16,4.1,4.37,4.08,4.3,20376437.0,86979951.0,642857142.0,0.03169667982004002,sh603778,国晟科技
27,2022-02-17,4.28,4.41,4.21,4.24,16260760.0,69996000.0,642857142.0,0.025294515589281575,sh603778,国晟科技
28,2022-02-18,4.17,4.59,4.16,4.36,24208656.0,104233154.0,642857142.0,0.03765790938354388,sh603778,国晟科技
29,2022-02-21,4.3,4.33,4.24,4.3,11710855.0,50074686.0,642857142.0,0.018216885579844737,sh603778,国晟科技
30,2022-02-22,4.25,4.29,4.16,4.19,9365053.0,39495749.0,642857142.0,0.014567860241646037,sh603778,国晟科技
31,2022-02-23,4.22,4.49,4.16,4.38,24020573.0,103764041.0,642857142.0,0.037365335827598226,sh603778,国晟科技
32,2022-02-24,4.32,4.39,4.04,4.11,20151750.0,84642226.0,642857142.0,0.03134716670846289,sh603778,国晟科技
33,2022-02-25,4.15,4.2,4.09,4.12,8491200.0,35219250.0,642857142.0,0.01320853335094471,sh603778,国晟科技
34,2022-02-28,4.13,4.17,4.01,4.1,6444000.0,26283723.0,642857142.0,0.010024000013365333,sh603778,国晟科技
35,2022-03-01,4.08,4.38,4.08,4.25,11622750.0,48977705.0,642857142.0,0.01807983335743978,sh603778,国晟科技
36,2022-03-02,4.2,4.42,4.19,4.4,16407650.0,71202622.0,642857142.0,0.025523011145141793,sh603778,国晟科技
37,2022-03-03,4.38,4.44,4.37,4.41,10159100.0,44719651.0,642857142.0,0.01580304446551517,sh603778,国晟科技
38,2022-03-04,4.44,4.54,4.34,4.44,13158625.0,58258085.0,642857142.0,0.020468972249514186,sh603778,国晟科技
39,2022-03-07,4.4,4.51,4.38,4.4,10011300.0,44486839.0,642857142.0,0.015573133354097511,sh603778,国晟科技
40,2022-03-08,4.39,4.57,4.3,4.5,17381403.0,77858214.0,642857142.0,0.027037738036050318,sh603778,国晟科技
41,2022-03-09,4.48,4.68,4.37,4.58,19903200.0,90627179.0,642857142.0,0.030960533374614043,sh603778,国晟科技
42,2022-03-14,5.04,5.04,5.04,5.04,3094050.0,15594012.0,642857142.0,0.004812966673083956,sh603778,国晟科技
43,2022-03-15,5.15,5.48,4.7,4.71,79868197.0,400259359.0,642857142.0,0.12423941772120811,sh603778,国晟科技
44,2022-03-16,4.44,4.9,4.24,4.64,54433410.0,244298147.0,642857142.0,0.08467419344623225,sh603778,国晟科技
45,2022-03-17,4.59,5.1,4.56,4.95,92789576.0,462479575.0,642857142.0,0.1443393406368969,sh603778,国晟科技
46,2022-03-18,4.62,4.89,4.48,4.71,64335210.0,303697575.0,642857142.0,0.10007699346676932,sh603778,国晟科技
47,2022-03-21,4.78,5.08,4.71,4.82,44198300.0,214050260.0,642857142.0,0.06875291120278165,sh603778,国晟科技
48,2022-03-22,4.88,4.91,4.57,4.66,38999350.0,182822491.0,642857142.0,0.0606656556364431,sh603778,国晟科技
49,2022-03-23,4.61,4.64,4.4,4.44,32013200.0,143871696.0,642857142.0,0.04979831117750886,sh603778,国晟科技
50,2022-03-24,4.4,4.46,4.25,4.25,22704650.0,98861642.0,642857142.0,0.03531834449153557,sh603778,国晟科技
51,2022-03-25,4.26,4.32,4.21,4.28,17785900.0,75989633.0,642857142.0,0.02766695559244483,sh603778,国晟科技
52,2022-03-28,4.27,4.36,4.11,4.33,19143400.0,81707230.0,642857142.0,0.02977862226192705,sh603778,国晟科技
53,2022-03-29,4.33,4.35,4.1,4.17,18595025.0,78174931.0,642857142.0,0.028925594483011904,sh603778,国晟科技
54,2022-03-30,4.16,4.3,4.15,4.3,15447800.0,65302033.0,642857142.0,0.024029911143150992,sh603778,国晟科技
55,2022-03-31,4.27,4.48,4.26,4.43,23730050.0,103511819.0,642857142.0,0.03691341116032899,sh603778,国晟科技
56,2022-04-01,4.39,4.87,4.28,4.87,54665761.0,254732407.0,642857142.0,0.08503562833560306,sh603778,国晟科技
57,2022-04-06,5.0,5.35,4.9,4.98,110424993.0,561909809.0,642857142.0,0.17177221156236294,sh603778,国晟科技
58,2022-04-07,4.93,5.19,4.76,4.78,70355696.0,347886639.0,642857142.0,0.1094421939237007,sh603778,国晟科技
59,2022-04-08,4.69,5.12,4.66,5.05,77945586.0,382661484.0,642857142.0,0.12124868949499826,sh603778,国晟科技
60,2022-04-11,4.99,5.56,4.92,5.56,79035789.0,412682377.0,642857142.0,0.12294456083059274,sh603778,国晟科技
61,2022-04-12,5.96,6.12,5.75,6.12,128132160.0,775980465.0,642857142.0,0.19931669359908893,sh603778,国晟科技
62,2022-04-13,6.73,6.73,5.51,5.51,106609000.0,638576787.0,642857142.0,0.16583622244333718,sh603778,国晟科技
63,2022-04-14,5.21,5.45,4.96,4.96,143479561.0,738482238.0,642857142.0,0.22319042851980947,sh603778,国晟科技
64,2022-04-15,4.83,5.04,4.54,4.57,99113960.0,468736477.0,642857142.0,0.1541772713166808,sh603778,国晟科技
65,2022-04-18,4.68,5.03,4.61,5.03,57062373.0,277234683.0,642857142.0,0.08876369145168492,sh603778,国晟科技
66,2022-04-19,5.1,5.18,4.74,4.83,105531198.0,515438668.0,642857142.0,0.16415964155221285,sh603778,国晟科技
67,2022-04-20,4.88,5.31,4.87,5.31,124224027.0,650499416.0,642857142.0,0.19323737559098317,sh603778,国晟科技
68,2022-04-21,5.26,5.84,5.05,5.6,166216033.0,899826001.0,642857142.0,0.2585582739002999,sh603778,国晟科技
69,2022-04-22,5.32,5.55,5.11,5.31,101225214.0,543392744.0,642857142.0,0.1574614442099486,sh603778,国晟科技
70,2022-04-25,4.9,5.65,4.9,5.09,86998728.0,456104103.0,642857142.0,0.13533135484710848,sh603778,国晟科技
71,2022-04-26,5.18,5.34,4.58,4.65,108425712.0,535102643.0,642857142.0,0.16866221889154961,sh603778,国晟科技
72,2022-04-27,4.46,4.69,4.31,4.67,86509321.0,388441276.0,642857142.0,0.13457005506831562,sh603778,国晟科技
73,2022-04-28,4.6,5.0,4.5,4.68,86997775.0,414145939.0,642857142.0,0.13532987240266206,sh603778,国晟科技
74,2022-04-29,4.68,4.9,4.61,4.78,66506700.0,316963806.0,642857142.0,0.10345486680460649,sh603778,国晟科技
75,2022-05-05,4.76,4.83,4.56,4.75,62618893.0,294948829.0,642857142.0,0.09740716701876512,sh603778,国晟科技
76,2022-05-06,4.62,4.68,4.4,4.4,58200100.0,262352998.0,642857142.0,0.0905334890096002,sh603778,国晟科技
77,2022-05-09,4.51,4.84,4.5,4.84,26300400.0,124004565.0,642857142.0,0.04091173338788231,sh603778,国晟科技
