,date,open,high,low,close,volume,amount,outstanding_share,turnover,股票代码,股票名称
0,2022-01-04,6.6,6.82,6.5,6.76,7027954.0,49305136.0,543789109.0,0.012924043316946975,sh603797,联泰环保
1,2022-01-05,6.75,6.81,6.63,6.67,4220722.0,29746803.0,543789109.0,0.0077616890999558435,sh603797,联泰环保
2,2022-01-06,6.62,6.76,6.62,6.67,3661597.0,25882470.0,543789109.0,0.006733487190895542,sh603797,联泰环保
3,2022-01-07,6.71,6.72,6.54,6.55,3905791.0,27331225.0,543789109.0,0.007182547306220507,sh603797,联泰环保
4,2022-01-10,6.55,6.59,6.52,6.53,5927580.0,40920607.0,543789109.0,0.010900512536745196,sh603797,联泰环保
5,2022-01-11,6.54,6.64,6.44,6.45,6029700.0,41438036.0,543789109.0,0.011088305926332923,sh603797,联泰环保
6,2022-01-12,6.48,6.55,6.47,6.55,3757960.0,25808462.0,543789109.0,0.006910693755729484,sh603797,联泰环保
7,2022-01-13,6.55,6.58,6.5,6.54,3213436.0,22150060.0,543789109.0,0.00590934232925213,sh603797,联泰环保
8,2022-01-14,6.54,6.54,6.38,6.38,4484209.0,30452371.0,543789109.0,0.008246228042790758,sh603797,联泰环保
9,2022-01-17,6.4,6.44,6.4,6.42,2534256.0,17141741.0,543789109.0,0.004660365494741823,sh603797,联泰环保
10,2022-01-18,6.43,6.46,6.36,6.39,3160180.0,21277713.0,543789109.0,0.005811407304223888,sh603797,联泰环保
11,2022-01-19,6.39,6.42,6.36,6.42,1877044.0,12657863.0,543789109.0,0.0034517866741608466,sh603797,联泰环保
12,2022-01-20,6.43,6.43,6.29,6.31,2897408.0,19335120.0,543789109.0,0.005328183209347799,sh603797,联泰环保
13,2022-01-21,6.29,6.31,6.23,6.28,2829028.0,18665036.0,543789109.0,0.0052024359318310655,sh603797,联泰环保
14,2022-01-24,6.27,6.32,6.21,6.22,2158020.0,14195720.0,543789109.0,0.003968486981963443,sh603797,联泰环保
15,2022-01-25,6.2,6.23,6.07,6.07,4271028.0,27617905.0,543789109.0,0.007854199227811309,sh603797,联泰环保
16,2022-01-26,6.1,6.11,5.97,6.05,2326424.0,14809928.0,543789109.0,0.004278173213652942,sh603797,联泰环保
17,2022-01-27,6.04,6.04,5.7,5.85,3252000.0,20380109.0,543789109.0,0.0059802595274117566,sh603797,联泰环保
18,2022-01-28,5.85,5.95,5.83,5.88,2152949.0,13375212.0,543789109.0,0.003959161675670853,sh603797,联泰环保
19,2022-02-07,5.94,5.99,5.92,5.97,2059339.0,12931390.0,543789109.0,0.0037870177352154364,sh603797,联泰环保
20,2022-02-08,5.97,6.1,5.96,6.08,2809785.0,17871339.0,543789109.0,0.005167049051730824,sh603797,联泰环保
21,2022-02-09,6.07,6.11,6.06,6.09,2818065.0,18075791.0,543789109.0,0.0051822755427784785,sh603797,联泰环保
22,2022-02-10,6.17,6.23,6.11,6.16,4082185.0,26467330.0,543789109.0,0.007506926733981353,sh603797,联泰环保
23,2022-02-11,6.14,6.19,6.07,6.12,3734879.0,24123285.0,543789109.0,0.006868248992460053,sh603797,联泰环保
24,2022-02-14,6.08,6.15,6.07,6.12,2063101.0,13262859.0,543789109.0,0.00379393585832187,sh603797,联泰环保
25,2022-02-15,6.11,6.11,6.04,6.07,1967728.0,12586046.0,543789109.0,0.0036185498522001477,sh603797,联泰环保
26,2022-02-16,6.07,6.13,6.06,6.12,1836948.0,11806164.0,543789109.0,0.0033780522073677648,sh603797,联泰环保
27,2022-02-17,6.14,6.28,6.1,6.23,5863915.0,38477920.0,543789109.0,0.010783435899963932,sh603797,联泰环保
28,2022-02-18,6.22,6.26,6.18,6.25,3159582.0,20687008.0,543789109.0,0.00581030761320378,sh603797,联泰环保
29,2022-02-21,6.25,6.3,6.23,6.29,2988620.0,19732675.0,543789109.0,0.005495917352033617,sh603797,联泰环保
30,2022-02-22,6.28,6.28,6.2,6.24,2253977.0,14806900.0,543789109.0,0.004144946933830556,sh603797,联泰环保
31,2022-02-23,6.22,6.26,6.17,6.22,2624129.0,17153675.0,543789109.0,0.0048256372857956595,sh603797,联泰环保
32,2022-02-24,6.21,6.24,6.0,6.04,3753926.0,24270901.0,543789109.0,0.006903275438714239,sh603797,联泰环保
33,2022-02-25,6.09,6.14,6.07,6.1,2020372.0,12999901.0,543789109.0,0.0037153594409335623,sh603797,联泰环保
34,2022-02-28,6.11,6.16,6.02,6.16,1801080.0,11579348.0,543789109.0,0.003312092813539596,sh603797,联泰环保
35,2022-03-01,6.17,6.21,6.14,6.17,1832560.0,11924450.0,543789109.0,0.003369982902691786,sh603797,联泰环保
36,2022-03-02,6.15,6.23,6.09,6.23,2000944.0,13057679.0,543789109.0,0.003679632355417401,sh603797,联泰环保
37,2022-03-03,6.38,6.46,6.29,6.29,7557760.0,50613388.0,543789109.0,0.013898329103902667,sh603797,联泰环保
38,2022-03-04,6.25,6.35,6.19,6.23,4836100.0,31935868.0,543789109.0,0.008893337361782286,sh603797,联泰环保
39,2022-03-07,6.21,6.24,6.1,6.15,2806716.0,18282513.0,543789109.0,0.005161405319722944,sh603797,联泰环保
40,2022-03-08,6.11,6.15,5.99,6.04,2842120.0,18132689.0,543789109.0,0.005226511441589022,sh603797,联泰环保
41,2022-03-09,6.06,6.07,5.72,5.93,4196339.0,26039026.0,543789109.0,0.007716850026137615,sh603797,联泰环保
42,2022-03-10,6.0,6.52,6.0,6.27,13856026.0,92220414.0,543789109.0,0.02548051399094865,sh603797,联泰环保
43,2022-03-11,6.1,6.23,6.0,6.21,5944660.0,38230489.0,543789109.0,0.010931921771901467,sh603797,联泰环保
44,2022-03-14,6.15,6.18,5.94,5.96,3937360.0,25153249.0,543789109.0,0.007240601061761978,sh603797,联泰环保
45,2022-03-15,5.88,5.95,5.71,5.75,4633460.0,28312824.0,543789109.0,0.00852069289971749,sh603797,联泰环保
46,2022-03-16,5.79,5.85,5.58,5.8,3709650.0,22441205.0,543789109.0,0.006821854168469563,sh603797,联泰环保
47,2022-03-17,5.84,5.94,5.79,5.86,3970375.0,24624665.0,543789109.0,0.007301313936392205,sh603797,联泰环保
48,2022-03-18,5.86,5.97,5.81,5.93,2354201.0,14690811.0,543789109.0,0.004329253677642154,sh603797,联泰环保
49,2022-03-21,5.96,5.98,5.89,5.96,2609341.0,16347916.0,543789109.0,0.004798442919900406,sh603797,联泰环保
50,2022-03-22,5.95,5.98,5.89,5.97,2419979.0,15158114.0,543789109.0,0.0044502160119576795,sh603797,联泰环保
51,2022-03-23,5.99,6.04,5.96,6.01,2249600.0,14227845.0,543789109.0,0.004136897857584713,sh603797,联泰环保
52,2022-03-24,5.98,6.0,5.9,5.93,2025000.0,12669987.0,543789109.0,0.0037238700931761398,sh603797,联泰环保
53,2022-03-25,5.97,6.04,5.9,5.95,3012054.0,19039412.0,543789109.0,0.005539011264015587,sh603797,联泰环保
54,2022-03-28,5.99,5.99,5.88,5.99,1518940.0,9514015.0,543789109.0,0.0027932519700389954,sh603797,联泰环保
55,2022-03-29,6.02,6.03,5.91,5.93,1651200.0,10414870.0,543789109.0,0.003036471258198737,sh603797,联泰环保
56,2022-03-30,5.91,6.02,5.91,6.0,1757848.0,11076041.0,543789109.0,0.003232591405209625,sh603797,联泰环保
57,2022-03-31,5.97,6.09,5.96,6.04,2565960.0,16348572.0,543794678.0,0.00471861918442681,sh603797,联泰环保
58,2022-04-01,6.0,6.05,5.98,6.02,943624.0,5984116.0,543794678.0,0.0017352578798132336,sh603797,联泰环保
59,2022-04-06,6.01,6.06,5.96,6.06,1558488.0,9904337.0,543794678.0,0.0028659493427407173,sh603797,联泰环保
60,2022-04-07,6.06,6.07,5.99,6.03,3474076.0,22068998.0,543794678.0,0.006388580360472009,sh603797,联泰环保
61,2022-04-08,6.02,6.08,5.95,5.98,2794240.0,17701104.0,543794678.0,0.005138409979069343,sh603797,联泰环保
62,2022-04-11,5.98,5.98,5.75,5.77,1884900.0,11583694.0,543794678.0,0.003466197953485672,sh603797,联泰环保
63,2022-04-12,5.81,5.88,5.74,5.87,1301936.0,7970805.0,543794678.0,0.002394168337189942,sh603797,联泰环保
64,2022-04-13,5.84,5.94,5.78,5.85,1439600.0,8892249.0,543794678.0,0.0026473227088110634,sh603797,联泰环保
65,2022-04-14,5.85,5.95,5.84,5.9,1382044.0,8578202.0,543794678.0,0.0025414812904807427,sh603797,联泰环保
66,2022-04-15,5.9,5.91,5.79,5.84,1310944.0,8066612.0,543794678.0,0.002410733412878307,sh603797,联泰环保
67,2022-04-18,5.8,5.9,5.71,5.89,1219888.0,7499571.0,543794678.0,0.002243287860937837,sh603797,联泰环保
68,2022-04-19,5.92,5.92,5.81,5.85,1019204.0,6287927.0,543794678.0,0.0018742441609551758,sh603797,联泰环保
69,2022-04-20,5.85,5.87,5.78,5.84,1122399.0,6889870.0,543794678.0,0.0020640124764148573,sh603797,联泰环保
70,2022-04-21,5.86,5.87,5.59,5.64,2317900.0,13979202.0,543794678.0,0.004262454367013868,sh603797,联泰环保
71,2022-04-22,5.59,5.72,5.51,5.62,1452844.0,8567613.0,543794678.0,0.0026716774892747296,sh603797,联泰环保
72,2022-04-25,5.63,5.63,5.2,5.25,2230853.0,12599017.0,543794678.0,0.00410238108288364,sh603797,联泰环保
73,2022-04-26,5.31,5.31,4.95,4.95,2324728.0,12535728.0,543794678.0,0.004275010576694169,sh603797,联泰环保
74,2022-04-27,4.98,5.05,4.81,5.04,2147317.0,11148562.0,543794678.0,0.003948764279741627,sh603797,联泰环保
75,2022-04-28,5.01,5.07,4.85,4.98,1641507.0,8573509.0,543794678.0,0.003018615419402836,sh603797,联泰环保
76,2022-04-29,5.02,5.16,4.98,5.14,1559203.0,8351453.0,543794678.0,0.002867264177234188,sh603797,联泰环保
77,2022-05-05,5.22,5.41,5.22,5.32,2601780.0,14577069.0,543794678.0,0.004784489634155633,sh603797,联泰环保
78,2022-05-06,5.3,5.4,5.17,5.34,2039360.0,11465467.0,543794678.0,0.003750238982662497,sh603797,联泰环保
79,2022-05-09,5.3,5.63,5.3,5.55,3200060.0,18702144.0,543794678.0,0.0058846842925520506,sh603797,联泰环保
80,2022-05-10,5.46,5.61,5.46,5.6,2251636.0,13157692.0,543794678.0,0.0041405995518036314,sh603797,联泰环保
81,2022-05-11,5.69,6.16,5.69,5.75,7880449.0,49267108.0,543794678.0,0.014491589047879574,sh603797,联泰环保
82,2022-05-12,5.72,5.98,5.68,5.84,6052363.0,37223503.0,543794678.0,0.011129868027137993,sh603797,联泰环保
83,2022-05-13,5.9,5.9,5.79,5.83,3441500.0,21206536.0,543794678.0,0.006328675397591883,sh603797,联泰环保
84,2022-05-16,5.84,5.85,5.71,5.73,2618292.0,15923931.0,543794678.0,0.004814854035772671,sh603797,联泰环保
85,2022-05-17,5.84,5.84,5.63,5.71,2071652.0,12409454.0,543794678.0,0.0038096216896039573,sh603797,联泰环保
86,2022-05-18,5.67,5.78,5.63,5.69,1284260.0,7717354.0,543794678.0,0.0023616634217961214,sh603797,联泰环保
87,2022-05-19,5.67,5.77,5.64,5.76,1671532.0,10054007.0,543794678.0,0.003073829273481783,sh603797,联泰环保
88,2022-05-20,5.79,5.84,5.69,5.79,2103380.0,12811851.0,543794678.0,0.003867967240385534,sh603797,联泰环保
89,2022-05-23,5.79,5.83,5.74,5.79,1166932.0,7099569.0,543794678.0,0.0021459055176704027,sh603797,联泰环保
90,2022-05-24,5.82,5.83,5.59,5.6,2066712.0,12411765.0,543794678.0,0.0038005373785581623,sh603797,联泰环保
91,2022-05-25,5.62,5.77,5.6,5.76,2204812.0,13280972.0,543794678.0,0.004054493523380896,sh603797,联泰环保
92,2022-05-26,5.93,5.93,5.74,5.8,2306428.0,14115757.0,543794678.0,0.004241358169378775,sh603797,联泰环保
93,2022-05-27,5.84,5.84,5.73,5.79,1692125.0,10320879.0,543794678.0,0.00311169834582309,sh603797,联泰环保
