,date,open,high,low,close,volume,amount,outstanding_share,turnover,股票代码,股票名称
0,1998-12-10,0.45,0.45,0.41,0.42,21308700.0,262082994.0,40000000.0,0.5327175,sz000895,双汇发展
1,1998-12-11,0.4,0.41,0.4,0.41,6272600.0,71928735.0,40000000.0,0.156815,sz000895,双汇发展
2,1998-12-14,0.41,0.42,0.41,0.41,2474800.0,28837717.0,40000000.0,0.06187,sz000895,双汇发展
3,1998-12-15,0.41,0.41,0.39,0.41,2862500.0,32326776.0,40000000.0,0.0715625,sz000895,双汇发展
4,1998-12-16,0.41,0.41,0.39,0.39,1630700.0,18373764.0,40000000.0,0.0407675,sz000895,双汇发展
5,1998-12-17,0.39,0.39,0.38,0.38,2304600.0,25241091.0,40000000.0,0.057615,sz000895,双汇发展
6,1998-12-18,0.37,0.39,0.37,0.38,1690400.0,18109167.0,40000000.0,0.04226,sz000895,双汇发展
7,1998-12-21,0.37,0.38,0.37,0.37,782900.0,8317930.0,40000000.0,0.0195725,sz000895,双汇发展
8,1998-12-22,0.38,0.4,0.38,0.4,2737300.0,30216788.0,40000000.0,0.0684325,sz000895,双汇发展
9,1998-12-23,0.39,0.4,0.38,0.38,1365500.0,15017012.0,40000000.0,0.0341375,sz000895,双汇发展
10,1998-12-24,0.38,0.4,0.38,0.4,1533200.0,16901555.0,40000000.0,0.03833,sz000895,双汇发展
11,1998-12-25,0.4,0.4,0.4,0.4,1567800.0,17695334.0,40000000.0,0.039195,sz000895,双汇发展
12,1998-12-28,0.4,0.4,0.39,0.39,1033500.0,11447576.0,40000000.0,0.0258375,sz000895,双汇发展
13,1998-12-29,0.38,0.39,0.38,0.38,1055600.0,11463080.0,40000000.0,0.02639,sz000895,双汇发展
14,1998-12-30,0.38,0.4,0.38,0.39,1189100.0,13037277.0,40000000.0,0.0297275,sz000895,双汇发展
15,1998-12-31,0.39,0.4,0.39,0.39,1070100.0,11917260.0,40000000.0,0.0267525,sz000895,双汇发展
16,1999-01-04,0.39,0.39,0.39,0.39,668300.0,7404173.0,40000000.0,0.0167075,sz000895,双汇发展
17,1999-01-05,0.39,0.4,0.39,0.4,1270600.0,14154467.0,40000000.0,0.031765,sz000895,双汇发展
18,1999-01-06,0.4,0.4,0.39,0.4,1161000.0,13131594.0,40000000.0,0.029025,sz000895,双汇发展
19,1999-01-07,0.4,0.41,0.4,0.41,1791000.0,20373832.0,40000000.0,0.044775,sz000895,双汇发展
20,1999-01-08,0.41,0.42,0.4,0.41,2903100.0,33777051.0,40000000.0,0.0725775,sz000895,双汇发展
21,1999-01-11,0.41,0.42,0.41,0.42,3369300.0,39966794.0,40000000.0,0.0842325,sz000895,双汇发展
22,1999-01-12,0.43,0.43,0.42,0.42,2781700.0,33283081.0,40000000.0,0.0695425,sz000895,双汇发展
23,1999-01-13,0.41,0.42,0.41,0.42,1158800.0,13666456.0,40000000.0,0.02897,sz000895,双汇发展
24,1999-01-14,0.41,0.42,0.41,0.42,1154900.0,13709769.0,40000000.0,0.0288725,sz000895,双汇发展
25,1999-01-15,0.42,0.43,0.42,0.42,1558800.0,18592103.0,40000000.0,0.03897,sz000895,双汇发展
