,date,open,high,low,close,volume,amount,outstanding_share,turnover,股票代码,股票名称
0,2017-12-25,8.57,10.24,8.26,8.91,60349457.0,744676109.0,554813631.0,0.10877428676585633,sz001965,招商公路
1,2017-12-26,8.3,9.8,8.02,9.8,63465985.0,730996483.0,554813631.0,0.1143915388048568,sz001965,招商公路
2,2017-12-27,10.78,10.78,10.78,10.78,33856906.0,468579579.0,554813631.0,0.06102392606860807,sz001965,招商公路
3,2017-12-28,11.25,11.86,11.07,11.86,118409009.0,1779132771.0,554813631.0,0.2134212326156781,sz001965,招商公路
4,2017-12-29,11.96,11.98,10.67,10.79,106328857.0,1511730657.0,554813631.0,0.1916478814847287,sz001965,招商公路
5,2018-01-02,10.6,11.19,10.39,10.66,71839030.0,995518439.0,554813631.0,0.1294831741435711,sz001965,招商公路
6,2018-01-03,10.41,11.2,9.88,10.72,83948873.0,1141984810.0,554813631.0,0.15131004054224473,sz001965,招商公路
7,2018-01-04,10.25,10.6,10.17,10.28,57790152.0,766787026.0,554813631.0,0.10416137739052773,sz001965,招商公路
8,2018-01-05,10.14,10.44,10.14,10.18,36627080.0,481320053.0,554813631.0,0.06601690721618193,sz001965,招商公路
9,2018-01-08,10.05,10.35,9.92,10.12,33101357.0,430647485.0,554813631.0,0.059662119224320215,sz001965,招商公路
10,2018-01-09,10.09,10.19,9.94,10.0,30573160.0,394014931.0,554813631.0,0.05510527912750579,sz001965,招商公路
11,2018-01-10,9.88,10.0,9.28,9.5,47731339.0,590912113.0,554813631.0,0.08603130192379863,sz001965,招商公路
12,2018-01-11,9.46,9.47,9.21,9.43,27968676.0,336279796.0,554813631.0,0.050410938804061216,sz001965,招商公路
13,2018-01-12,9.46,9.57,9.23,9.28,26500586.0,319330859.0,554813631.0,0.04776484303789573,sz001965,招商公路
14,2018-01-15,9.16,9.2,8.69,8.78,29854816.0,340729075.0,554813631.0,0.053810530837516496,sz001965,招商公路
15,2018-01-16,8.69,9.66,8.61,9.66,58049770.0,699097940.0,554813631.0,0.1046293147040578,sz001965,招商公路
16,2018-01-17,9.66,10.11,9.43,9.49,59102556.0,739798071.0,554813631.0,0.10652686361269303,sz001965,招商公路
17,2018-01-18,9.33,9.88,8.97,9.68,43226601.0,520899982.0,554813631.0,0.07791193039379381,sz001965,招商公路
18,2018-01-19,9.51,9.82,9.44,9.47,29237643.0,360249756.0,554813631.0,0.05269813387119179,sz001965,招商公路
19,2018-01-22,9.26,9.38,9.09,9.21,21070470.0,249495356.0,554813631.0,0.03797756367669344,sz001965,招商公路
20,2018-01-23,9.2,9.36,9.12,9.15,16512877.0,195221556.0,554813631.0,0.02976292592205616,sz001965,招商公路
21,2018-01-24,9.16,9.74,9.16,9.37,28009214.0,340186256.0,554813631.0,0.05048400478105773,sz001965,招商公路
22,2018-01-25,9.19,9.8,9.13,9.45,33100300.0,403016232.0,554813631.0,0.05966021408006827,sz001965,招商公路
23,2018-01-26,9.33,9.68,9.23,9.43,22547008.0,274199640.0,554813631.0,0.040638886177618086,sz001965,招商公路
24,2018-01-29,9.47,9.57,9.2,9.24,19006860.0,227174677.0,554813631.0,0.03425809846405883,sz001965,招商公路
25,2018-01-30,9.19,9.3,9.12,9.22,13487861.0,159212212.0,554813631.0,0.024310615757023462,sz001965,招商公路
26,2018-01-31,9.19,9.19,8.8,8.82,18146861.0,208472295.0,554813631.0,0.032708030203389145,sz001965,招商公路
27,2018-02-01,8.85,9.08,8.54,8.65,16810517.0,189948842.0,554813631.0,0.030299394356444714,sz001965,招商公路
28,2018-02-02,8.61,8.76,8.4,8.72,13789491.0,152803722.0,554813631.0,0.024854275795541874,sz001965,招商公路
29,2018-02-05,8.57,8.77,8.48,8.73,11014624.0,121726298.0,554813631.0,0.019852835951681944,sz001965,招商公路
30,2018-02-06,8.54,8.71,8.12,8.15,14945865.0,162214411.0,554813631.0,0.026938532445681746,sz001965,招商公路
31,2018-02-07,8.34,8.41,7.9,8.16,15722322.0,165352846.0,554813631.0,0.028338024016572875,sz001965,招商公路
32,2018-02-08,8.16,8.27,8.09,8.16,11984761.0,125657797.0,554813631.0,0.021601417720034353,sz001965,招商公路
33,2018-02-09,7.87,7.92,7.35,7.54,18608232.0,183909384.0,554813631.0,0.03353960854649586,sz001965,招商公路
34,2018-02-12,7.62,7.76,7.49,7.67,12039236.0,117900939.0,554813631.0,0.02169960384408796,sz001965,招商公路
35,2018-02-13,7.7,7.74,7.46,7.49,12752313.0,125095196.0,554813631.0,0.022984858856144433,sz001965,招商公路
36,2018-02-14,7.48,7.55,7.39,7.43,7946781.0,75977579.0,554813631.0,0.014323334099915076,sz001965,招商公路
37,2018-02-22,7.48,7.65,7.46,7.6,9701248.0,94240609.0,554813631.0,0.01748559778986396,sz001965,招商公路
38,2018-02-23,7.61,8.36,7.55,8.21,31304327.0,329437226.0,554813631.0,0.05642313968309838,sz001965,招商公路
39,2018-02-26,8.02,8.33,7.97,8.26,27486798.0,288354313.0,554813631.0,0.04954239849957832,sz001965,招商公路
40,2018-02-27,8.24,8.24,8.06,8.14,16139361.0,168654868.0,554813631.0,0.029089698050335032,sz001965,招商公路
41,2018-02-28,8.03,8.08,7.95,8.01,12197185.0,125562161.0,554813631.0,0.021984292235242505,sz001965,招商公路
42,2018-03-01,7.92,8.13,7.91,8.02,11093694.0,114076192.0,554813631.0,0.0199953522771325,sz001965,招商公路
43,2018-03-02,7.92,8.06,7.91,7.94,10165839.0,103976083.0,554813631.0,0.018322979883671965,sz001965,招商公路
44,2018-03-05,7.95,8.07,7.95,8.01,7710425.0,79108551.0,554813631.0,0.013897324379184188,sz001965,招商公路
45,2018-03-06,8.02,8.51,7.95,8.27,20627713.0,216399354.0,554813631.0,0.03717953533841709,sz001965,招商公路
46,2018-03-07,8.2,8.25,8.1,8.13,12362695.0,129618115.0,554813631.0,0.022282608626102773,sz001965,招商公路
47,2018-03-08,8.1,8.41,8.09,8.25,17516290.0,185523560.0,554813631.0,0.031571484587407335,sz001965,招商公路
48,2018-03-09,8.23,8.33,8.18,8.27,15225959.0,161343217.0,554813631.0,0.027443375845969436,sz001965,招商公路
49,2018-03-12,8.31,8.44,8.27,8.36,16375572.0,175489301.0,554813631.0,0.029515446422043658,sz001965,招商公路
50,2018-03-13,8.34,8.34,8.06,8.09,15788567.0,166294078.0,554813631.0,0.028457424471606034,sz001965,招商公路
51,2018-03-14,8.04,8.13,7.95,7.96,10524404.0,108716453.0,554813631.0,0.018969259967587207,sz001965,招商公路
52,2018-03-15,7.93,7.95,7.6,7.78,15205075.0,152019529.0,554813631.0,0.027405734377135373,sz001965,招商公路
53,2018-03-16,7.79,7.86,7.66,7.69,9710773.0,96697829.0,554813631.0,0.01750276571701606,sz001965,招商公路
54,2018-03-19,7.68,7.84,7.65,7.8,7715774.0,76884878.0,554813631.0,0.013906965454495115,sz001965,招商公路
55,2018-03-20,7.71,7.97,7.68,7.88,9804230.0,98468683.0,554813631.0,0.01767121327269625,sz001965,招商公路
56,2018-03-21,7.88,8.33,7.83,8.01,20178501.0,208579312.0,554813631.0,0.03636987246263241,sz001965,招商公路
57,2018-03-22,7.93,7.99,7.85,7.85,10763223.0,109253561.0,554813631.0,0.019399709016882465,sz001965,招商公路
58,2018-03-23,7.61,7.63,7.18,7.21,16913443.0,160552748.0,554813631.0,0.030484908904482196,sz001965,招商公路
59,2018-03-26,7.14,7.2,6.79,7.18,12448870.0,112215559.0,554813631.0,0.022437931053644212,sz001965,招商公路
60,2018-03-27,7.25,7.38,7.25,7.28,9785116.0,91722634.0,554813631.0,0.017636762064340845,sz001965,招商公路
61,2018-03-28,7.11,7.44,7.11,7.21,10613250.0,98966269.0,554813631.0,0.019129396624359432,sz001965,招商公路
62,2018-03-29,7.32,7.36,7.21,7.32,9372115.0,87597363.0,554813631.0,0.016892366150246946,sz001965,招商公路
63,2018-03-30,7.32,7.36,7.28,7.3,8515622.0,79845704.0,554813631.0,0.01534861712869488,sz001965,招商公路
64,2018-04-02,7.29,7.35,7.19,7.21,9563628.0,89217670.0,554813631.0,0.017237550531630685,sz001965,招商公路
65,2018-04-03,7.04,7.11,6.98,7.02,9376873.0,84735986.0,554813631.0,0.016900942002991273,sz001965,招商公路
66,2018-04-04,7.1,7.11,7.01,7.03,7836959.0,70975404.0,554813631.0,0.014125390152860177,sz001965,招商公路
67,2018-04-09,7.01,7.18,6.87,7.15,10292486.0,93090869.0,554813631.0,0.018551249329344613,sz001965,招商公路
68,2018-04-10,7.17,7.31,7.09,7.21,11516286.0,106436256.0,554813631.0,0.0207570350772438,sz001965,招商公路
69,2018-04-11,7.21,7.28,7.14,7.15,10168928.0,94101966.0,554813631.0,0.01832854751904969,sz001965,招商公路
70,2018-04-12,7.15,7.32,7.11,7.25,12038260.0,111930464.0,554813631.0,0.021697844694807074,sz001965,招商公路
71,2018-04-13,7.25,7.3,7.12,7.13,8152651.0,75298799.0,554813631.0,0.014694395639316944,sz001965,招商公路
72,2018-04-16,7.11,7.16,6.98,7.03,7834508.0,70786197.0,554813631.0,0.014120972453180409,sz001965,招商公路
73,2018-04-17,7.08,7.08,6.89,6.89,7264547.0,64800093.0,554813631.0,0.013093670728504505,sz001965,招商公路
74,2018-04-18,6.93,6.97,6.77,6.9,7093307.0,62513650.0,554813631.0,0.012785026545247227,sz001965,招商公路
75,2018-04-19,6.87,7.04,6.84,6.95,7655329.0,68137576.0,554813631.0,0.013798018960352472,sz001965,招商公路
76,2018-04-20,6.93,6.93,6.78,6.79,8031618.0,70441110.0,554813631.0,0.014476244906823496,sz001965,招商公路
77,2018-04-23,6.86,6.93,6.77,6.84,6467486.0,56918446.0,554813631.0,0.01165704236275334,sz001965,招商公路
78,2018-04-24,6.82,6.99,6.79,6.96,9112711.0,81005421.0,554813631.0,0.016424814551825602,sz001965,招商公路
79,2018-04-25,6.93,7.01,6.89,6.95,6213397.0,55467690.0,554813631.0,0.01119907055780322,sz001965,招商公路
80,2018-04-26,7.0,7.0,6.69,6.71,7053371.0,61995781.0,554813631.0,0.012713045617294864,sz001965,招商公路
81,2018-04-27,6.75,6.8,6.7,6.79,5099211.0,44238230.0,554813631.0,0.009190853856292511,sz001965,招商公路
82,2018-05-02,6.79,6.86,6.72,6.75,4222648.0,36637984.0,554813631.0,0.007610930525245152,sz001965,招商公路
83,2018-05-03,6.74,6.75,6.57,6.73,7111041.0,60964668.0,554813631.0,0.01281699043187351,sz001965,招商公路
84,2018-05-04,6.74,6.74,6.65,6.65,4635287.0,39785836.0,554813631.0,0.008354673967986918,sz001965,招商公路
85,2018-05-07,6.66,6.75,6.65,6.72,5793794.0,49804459.0,554813631.0,0.010442775152364633,sz001965,招商公路
86,2018-05-08,6.75,6.82,6.7,6.79,7104982.0,61742225.0,554813631.0,0.012806069647557018,sz001965,招商公路
87,2018-05-09,6.79,6.79,6.71,6.72,5432487.0,46940988.0,554813631.0,0.009791552868318046,sz001965,招商公路
88,2018-05-10,6.72,6.77,6.68,6.69,6645772.0,57249701.0,554813631.0,0.011978386306085548,sz001965,招商公路
89,2018-05-11,6.72,6.74,6.58,6.6,8120312.0,69201647.0,554813631.0,0.014636107597724109,sz001965,招商公路
90,2018-05-14,6.56,6.64,6.56,6.59,5518648.0,46756117.0,554813631.0,0.009946850062160784,sz001965,招商公路
91,2018-05-15,6.58,7.08,6.53,6.82,14219484.0,123430766.0,554813631.0,0.025629298210230887,sz001965,招商公路
92,2018-05-16,6.67,6.82,6.67,6.74,8732835.0,75565790.0,554813631.0,0.01574012337126591,sz001965,招商公路
93,2018-05-17,6.7,6.75,6.67,6.67,4939467.0,42538847.0,554813631.0,0.008902930144483057,sz001965,招商公路
94,2018-05-18,6.65,6.73,6.64,6.7,5183124.0,44473934.0,554813631.0,0.009342099239086648,sz001965,招商公路
95,2018-05-21,6.72,6.98,6.72,6.96,16188653.0,143201956.0,554813631.0,0.02917854229864803,sz001965,招商公路
96,2018-05-22,6.96,6.96,6.88,6.95,8654330.0,76847345.0,554813631.0,0.015598625405798655,sz001965,招商公路
97,2018-05-23,6.93,7.04,6.89,6.94,9655711.0,86155627.0,554813631.0,0.01740352158002405,sz001965,招商公路
98,2018-05-24,6.94,7.21,6.91,7.12,20254793.0,185006858.0,554813631.0,0.03650738170129782,sz001965,招商公路
99,2018-05-25,7.17,7.17,7.04,7.07,9884491.0,89824388.0,554813631.0,0.01781587626494346,sz001965,招商公路
100,2018-05-28,7.06,7.09,6.9,6.93,7979822.0,71208852.0,554813631.0,0.014382887431257074,sz001965,招商公路
101,2018-05-29,6.92,6.97,6.83,6.87,5925764.0,52526769.0,554813631.0,0.010680638810764908,sz001965,招商公路
102,2018-05-30,6.79,6.8,6.4,6.48,10956330.0,93108973.0,554813631.0,0.019747766435104043,sz001965,招商公路
103,2018-05-31,6.54,6.59,6.48,6.56,6773605.0,56882064.0,554813631.0,0.012208793406519603,sz001965,招商公路
104,2018-06-01,6.51,6.57,6.46,6.48,5293644.0,44220754.0,554813631.0,0.009541301266262509,sz001965,招商公路
