,date,open,high,low,close,volume,amount,outstanding_share,turnover,股票代码,股票名称
0,2004-08-04,0.92,0.95,0.89,0.93,15775520.0,227864123.0,29000000.0,0.5439834482758621,sz002027,分众传媒
1,2004-08-05,0.91,0.94,0.9,0.94,7802637.0,113804013.0,29000000.0,0.26905644827586206,sz002027,分众传媒
2,2004-08-06,0.94,0.95,0.9,0.93,6083697.0,88672431.0,29000000.0,0.2097826551724138,sz002027,分众传媒
3,2004-08-09,0.92,0.92,0.86,0.87,4360377.0,60979028.0,29000000.0,0.1503578275862069,sz002027,分众传媒
4,2004-08-10,0.86,0.88,0.85,0.87,2243114.0,30558836.0,29000000.0,0.07734875862068966,sz002027,分众传媒
5,2004-08-11,0.87,0.87,0.81,0.83,3462021.0,45429579.0,29000000.0,0.11938003448275862,sz002027,分众传媒
6,2004-08-12,0.82,0.82,0.8,0.81,1822355.0,23361793.0,29000000.0,0.0628398275862069,sz002027,分众传媒
7,2004-08-13,0.81,0.83,0.79,0.79,1879090.0,23820870.0,29000000.0,0.06479620689655173,sz002027,分众传媒
8,2004-08-16,0.78,0.79,0.72,0.72,3136954.0,36557208.0,29000000.0,0.1081708275862069,sz002027,分众传媒
9,2004-08-17,0.71,0.73,0.71,0.71,1469240.0,16686263.0,29000000.0,0.05066344827586207,sz002027,分众传媒
10,2004-08-18,0.71,0.72,0.69,0.69,2258758.0,24711913.0,29000000.0,0.07788820689655172,sz002027,分众传媒
11,2004-08-19,0.68,0.7,0.67,0.69,1551785.0,16759884.0,29000000.0,0.0535098275862069,sz002027,分众传媒
12,2004-08-20,0.69,0.7,0.68,0.69,1132892.0,12367272.0,29000000.0,0.03906524137931035,sz002027,分众传媒
13,2004-08-23,0.68,0.68,0.65,0.65,1523263.0,15843928.0,29000000.0,0.05252631034482758,sz002027,分众传媒
14,2004-08-24,0.65,0.67,0.64,0.66,1367954.0,14232217.0,29000000.0,0.047170827586206894,sz002027,分众传媒
15,2004-08-25,0.66,0.67,0.64,0.67,999015.0,10311169.0,29000000.0,0.034448793103448276,sz002027,分众传媒
16,2004-08-26,0.67,0.67,0.64,0.64,1501854.0,15404435.0,29000000.0,0.05178806896551724,sz002027,分众传媒
17,2004-08-27,0.65,0.68,0.65,0.66,2549254.0,26714861.0,29000000.0,0.08790531034482758,sz002027,分众传媒
18,2004-08-30,0.66,0.72,0.65,0.69,3015096.0,33013872.0,29000000.0,0.1039688275862069,sz002027,分众传媒
19,2004-08-31,0.72,0.73,0.69,0.7,3152117.0,35119815.0,29000000.0,0.10869368965517241,sz002027,分众传媒
20,2004-09-01,0.68,0.69,0.68,0.68,1196354.0,12875840.0,29000000.0,0.04125358620689655,sz002027,分众传媒
21,2004-09-02,0.68,0.69,0.67,0.69,1318589.0,14122182.0,29000000.0,0.045468586206896554,sz002027,分众传媒
22,2004-09-03,0.69,0.69,0.67,0.68,828137.0,8901070.0,29000000.0,0.028556448275862067,sz002027,分众传媒
23,2004-09-06,0.68,0.68,0.67,0.68,440016.0,4692892.0,29000000.0,0.01517296551724138,sz002027,分众传媒
24,2004-09-07,0.68,0.69,0.67,0.68,373991.0,4003830.0,29000000.0,0.012896241379310345,sz002027,分众传媒
25,2004-09-08,0.68,0.68,0.67,0.68,414525.0,4430504.0,29000000.0,0.014293965517241379,sz002027,分众传媒
26,2004-09-09,0.67,0.67,0.66,0.66,714451.0,7475331.0,29000000.0,0.024636241379310343,sz002027,分众传媒
27,2004-09-10,0.66,0.67,0.65,0.66,469270.0,4895862.0,29000000.0,0.016181724137931036,sz002027,分众传媒
28,2004-09-13,0.66,0.67,0.64,0.64,680318.0,6930965.0,29000000.0,0.023459241379310346,sz002027,分众传媒
29,2004-09-14,0.65,0.68,0.65,0.67,1109500.0,11619295.0,29000000.0,0.03825862068965517,sz002027,分众传媒
30,2004-09-15,0.67,0.72,0.66,0.71,3472837.0,38297276.0,29000000.0,0.119753,sz002027,分众传媒
31,2004-09-16,0.71,0.74,0.7,0.73,4714240.0,53876445.0,29000000.0,0.16256,sz002027,分众传媒
32,2004-09-17,0.73,0.76,0.71,0.75,3442061.0,39812399.0,29000000.0,0.11869175862068966,sz002027,分众传媒
33,2004-09-20,0.76,0.78,0.75,0.77,3673137.0,44164870.0,29000000.0,0.12665989655172413,sz002027,分众传媒
34,2004-09-21,0.78,0.8,0.75,0.78,3513005.0,42979261.0,29000000.0,0.12113810344827586,sz002027,分众传媒
35,2004-09-22,0.78,0.79,0.77,0.78,3153655.0,38825986.0,29000000.0,0.10874672413793103,sz002027,分众传媒
36,2004-09-23,0.78,0.79,0.75,0.77,2438726.0,29298786.0,29000000.0,0.084094,sz002027,分众传媒
