,date,open,high,low,close,volume,amount,outstanding_share,turnover,股票代码,股票名称
0,2010-08-10,11.42,13.72,11.42,13.45,30548100.0,1011384512.0,34400000.0,0.8880261627906977,sz002459,晶澳科技
1,2010-08-11,12.38,13.43,12.19,12.56,20902678.0,720627456.0,34400000.0,0.607635988372093,sz002459,晶澳科技
2,2010-08-12,12.34,12.44,11.35,11.49,13380560.0,433853856.0,34400000.0,0.38896976744186046,sz002459,晶澳科技
3,2010-08-13,11.42,11.59,11.05,11.35,7262866.0,222476800.0,34400000.0,0.21112982558139534,sz002459,晶澳科技
4,2010-08-16,11.27,11.73,11.13,11.61,6467613.0,201414816.0,34400000.0,0.1880120058139535,sz002459,晶澳科技
5,2010-08-17,11.61,11.97,11.4,11.85,7478497.0,236819872.0,34400000.0,0.21739816860465117,sz002459,晶澳科技
6,2010-08-18,11.75,11.94,11.61,11.61,5070438.0,161537312.0,34400000.0,0.1473964534883721,sz002459,晶澳科技
7,2010-08-19,11.61,11.78,11.43,11.49,3934192.0,123651688.0,34400000.0,0.1143660465116279,sz002459,晶澳科技
8,2010-08-20,11.46,11.64,11.24,11.35,3925946.0,121855808.0,34400000.0,0.11412633720930232,sz002459,晶澳科技
9,2010-08-23,11.27,11.4,11.16,11.24,2949129.0,90207512.0,34400000.0,0.08573049418604652,sz002459,晶澳科技
10,2010-08-24,11.24,11.58,11.21,11.42,2906769.0,90384120.0,34400000.0,0.0844990988372093,sz002459,晶澳科技
11,2010-08-25,11.42,11.54,11.27,11.28,2606143.0,80591456.0,34400000.0,0.07575997093023255,sz002459,晶澳科技
12,2010-08-26,11.28,11.37,11.06,11.1,2430599.0,73725080.0,34400000.0,0.0706569476744186,sz002459,晶澳科技
13,2010-08-27,11.14,11.41,11.08,11.35,1996540.0,60952192.0,34400000.0,0.05803895348837209,sz002459,晶澳科技
14,2010-08-30,11.43,11.59,11.42,11.52,3886578.0,121173496.0,34400000.0,0.11298191860465116,sz002459,晶澳科技
15,2010-08-31,11.43,11.68,11.27,11.62,4602804.0,143114880.0,34400000.0,0.1338024418604651,sz002459,晶澳科技
16,2010-09-02,11.55,12.27,11.42,12.06,8314039.0,269722304.0,34400000.0,0.24168718023255814,sz002459,晶澳科技
17,2010-09-03,12.01,12.38,11.89,12.01,5032972.0,164883328.0,34400000.0,0.14630732558139534,sz002459,晶澳科技
18,2010-09-06,12.12,12.15,11.5,11.54,4253240.0,134775904.0,34400000.0,0.1236406976744186,sz002459,晶澳科技
19,2010-09-07,11.51,11.75,11.35,11.7,3784921.0,118888624.0,34400000.0,0.11002677325581395,sz002459,晶澳科技
20,2010-09-08,11.57,11.7,11.46,11.61,2825707.0,88682568.0,34400000.0,0.08214264534883721,sz002459,晶澳科技
21,2010-09-09,11.55,11.61,11.35,11.39,2654668.0,82398912.0,34400000.0,0.07717058139534884,sz002459,晶澳科技
22,2010-09-10,11.37,11.51,11.12,11.43,2799719.0,86178768.0,34400000.0,0.08138718023255814,sz002459,晶澳科技
23,2010-09-13,11.36,11.53,11.21,11.41,2476618.0,76577080.0,34400000.0,0.07199470930232559,sz002459,晶澳科技
24,2010-09-14,11.41,11.62,11.31,11.61,3109218.0,97211456.0,34400000.0,0.09038424418604651,sz002459,晶澳科技
25,2010-09-15,11.6,11.6,11.12,11.16,2314969.0,71185584.0,34400000.0,0.06729561046511628,sz002459,晶澳科技
26,2010-09-16,11.14,11.26,10.32,10.4,2756293.0,80000272.0,34400000.0,0.0801247965116279,sz002459,晶澳科技
27,2010-09-17,10.4,10.5,10.01,10.01,2422198.0,66673284.0,34400000.0,0.07041273255813954,sz002459,晶澳科技
28,2010-09-20,10.01,10.12,9.78,9.83,1335178.0,36106864.0,34400000.0,0.038813313953488374,sz002459,晶澳科技
29,2010-09-21,9.84,9.94,9.81,9.93,730280.0,19610918.0,34400000.0,0.02122906976744186,sz002459,晶澳科技
30,2010-09-27,9.94,10.11,9.94,10.01,1073508.0,29233252.0,34400000.0,0.031206627906976744,sz002459,晶澳科技
31,2010-09-28,10.01,10.01,9.36,9.47,2345141.0,61388012.0,34400000.0,0.0681727034883721,sz002459,晶澳科技
32,2010-09-29,9.53,9.67,9.21,9.62,1936343.0,49586916.0,34400000.0,0.05628904069767442,sz002459,晶澳科技
33,2010-09-30,9.48,9.73,9.44,9.67,993566.0,25981290.0,34400000.0,0.028882732558139536,sz002459,晶澳科技
34,2010-10-08,9.69,9.88,9.68,9.84,1181604.0,31522854.0,34400000.0,0.034348953488372094,sz002459,晶澳科技
35,2010-10-11,9.84,10.01,9.69,9.89,1662701.0,44438324.0,34400000.0,0.04833433139534884,sz002459,晶澳科技
36,2010-10-12,9.88,10.39,9.76,10.35,3038050.0,83470880.0,34400000.0,0.08831540697674418,sz002459,晶澳科技
37,2010-10-13,10.45,10.54,10.18,10.32,2651277.0,74754056.0,34400000.0,0.07707200581395349,sz002459,晶澳科技
38,2010-10-14,10.31,10.31,9.93,9.95,2007155.0,54869860.0,34400000.0,0.058347529069767444,sz002459,晶澳科技
39,2010-10-15,9.86,9.94,9.65,9.69,1900640.0,50360420.0,34400000.0,0.055251162790697673,sz002459,晶澳科技
40,2010-10-18,9.69,9.89,9.48,9.86,1744734.0,45824168.0,34400000.0,0.05071901162790698,sz002459,晶澳科技
41,2010-10-19,9.86,10.24,9.77,10.11,2022816.0,55214056.0,34400000.0,0.05880279069767442,sz002459,晶澳科技
42,2010-10-20,9.93,10.27,9.87,10.09,1679992.0,46039296.0,34400000.0,0.04883697674418604,sz002459,晶澳科技
43,2010-10-21,10.09,10.1,9.91,9.98,1317227.0,35619180.0,34400000.0,0.038291482558139536,sz002459,晶澳科技
44,2010-10-22,9.98,10.23,9.86,10.1,1557204.0,42460336.0,34400000.0,0.04526755813953488,sz002459,晶澳科技
45,2010-10-25,10.04,10.4,10.04,10.32,2171122.0,60625600.0,34400000.0,0.06311401162790697,sz002459,晶澳科技
46,2010-10-26,10.28,10.44,10.16,10.35,1725515.0,48073864.0,34400000.0,0.05016031976744186,sz002459,晶澳科技
47,2010-10-27,10.39,10.39,10.11,10.11,1450956.0,40393064.0,34400000.0,0.04217895348837209,sz002459,晶澳科技
48,2010-10-28,10.03,10.15,10.02,10.08,1061574.0,29019106.0,34400000.0,0.03085970930232558,sz002459,晶澳科技
49,2010-10-29,10.06,10.21,9.95,10.16,1633491.0,44675400.0,34400000.0,0.047485203488372096,sz002459,晶澳科技
50,2010-11-01,10.21,10.86,10.16,10.67,3269519.0,93656448.0,34400000.0,0.09504415697674419,sz002459,晶澳科技
51,2010-11-02,10.65,10.65,10.37,10.38,2282092.0,65145004.0,34400000.0,0.06633988372093023,sz002459,晶澳科技
52,2010-11-03,10.39,10.46,10.19,10.19,1241212.0,34657204.0,34400000.0,0.03608174418604651,sz002459,晶澳科技
53,2010-11-04,10.14,10.74,10.13,10.68,2608627.0,74652728.0,34400000.0,0.07583218023255814,sz002459,晶澳科技
54,2010-11-05,10.76,10.78,10.5,10.59,2035180.0,58790936.0,34400000.0,0.05916220930232558,sz002459,晶澳科技
55,2010-11-08,10.51,11.04,10.51,10.97,2883392.0,85235104.0,34400000.0,0.08381953488372093,sz002459,晶澳科技
56,2010-11-09,10.96,11.42,10.86,11.28,3752836.0,114521536.0,34400000.0,0.10909406976744186,sz002459,晶澳科技
57,2010-11-10,11.22,11.22,10.96,11.16,4755896.0,142854080.0,43000000.0,0.11060223255813953,sz002459,晶澳科技
58,2010-11-11,11.06,11.24,10.76,10.81,4038658.0,121620264.0,43000000.0,0.09392227906976744,sz002459,晶澳科技
59,2010-11-15,10.28,10.57,10.16,10.5,3421783.0,96648776.0,43000000.0,0.07957634883720931,sz002459,晶澳科技
60,2010-11-16,10.52,10.68,9.87,9.97,2988842.0,84086560.0,43000000.0,0.06950795348837209,sz002459,晶澳科技
61,2010-11-17,9.77,10.09,9.77,9.79,1319654.0,35526656.0,43000000.0,0.030689627906976744,sz002459,晶澳科技
62,2010-11-18,9.9,10.31,9.87,10.13,1461513.0,40075536.0,43000000.0,0.033988674418604654,sz002459,晶澳科技
63,2010-11-19,10.13,10.32,9.98,10.31,1245219.0,34408236.0,43000000.0,0.028958581395348838,sz002459,晶澳科技
64,2010-11-22,10.19,10.57,10.19,10.41,2054270.0,58237576.0,43000000.0,0.047773720930232556,sz002459,晶澳科技
65,2010-11-23,10.41,10.41,10.02,10.21,1224578.0,33824172.0,43000000.0,0.028478558139534885,sz002459,晶澳科技
66,2010-11-24,10.21,10.64,10.17,10.63,1592770.0,45215528.0,43000000.0,0.037041162790697676,sz002459,晶澳科技
