,date,open,high,low,close,volume,amount,outstanding_share,turnover,股票代码,股票名称
0,2010-08-18,6.27,6.89,6.27,6.34,48632816.0,1003223424.0,64000000.0,0.75988775,sz002463,沪电股份
1,2010-08-19,6.36,6.54,6.05,6.4,26044920.0,529920800.0,64000000.0,0.406951875,sz002463,沪电股份
2,2010-08-20,6.19,6.66,6.14,6.33,23141328.0,476203520.0,64000000.0,0.36158325,sz002463,沪电股份
3,2010-08-23,6.27,6.35,6.11,6.13,13297335.0,261740240.0,64000000.0,0.207770859375,sz002463,沪电股份
4,2010-08-24,6.11,6.11,5.85,5.96,11403995.0,216979792.0,64000000.0,0.178187421875,sz002463,沪电股份
5,2010-08-25,5.89,6.03,5.88,5.93,6146275.0,116901064.0,64000000.0,0.096035546875,sz002463,沪电股份
6,2010-08-26,5.93,5.98,5.86,5.88,4964297.0,93394000.0,64000000.0,0.077567140625,sz002463,沪电股份
7,2010-08-27,5.89,6.01,5.87,5.98,4379576.0,83267616.0,64000000.0,0.068430875,sz002463,沪电股份
8,2010-08-30,5.99,6.26,5.98,6.2,10119826.0,198862640.0,64000000.0,0.15812228125,sz002463,沪电股份
9,2010-08-31,6.11,6.22,6.05,6.14,8029644.0,156803120.0,64000000.0,0.1254631875,sz002463,沪电股份
10,2010-09-01,6.13,6.3,6.03,6.09,8956302.0,176002000.0,64000000.0,0.13994221875,sz002463,沪电股份
11,2010-09-02,6.16,6.69,6.06,6.46,17531732.0,357641984.0,64000000.0,0.2739333125,sz002463,沪电股份
12,2010-09-03,6.45,6.83,6.39,6.55,15338316.0,323101632.0,64000000.0,0.2396611875,sz002463,沪电股份
13,2010-09-06,6.49,6.64,6.11,6.17,10228913.0,205674640.0,64000000.0,0.159826765625,sz002463,沪电股份
14,2010-09-07,6.19,6.36,6.13,6.26,5316897.0,106142776.0,64000000.0,0.083076515625,sz002463,沪电股份
15,2010-09-08,6.27,6.27,6.11,6.18,5477656.0,107465328.0,64000000.0,0.085588375,sz002463,沪电股份
16,2010-09-09,6.18,6.2,5.99,6.0,6234009.0,120792736.0,64000000.0,0.097406390625,sz002463,沪电股份
17,2010-09-10,6.02,6.19,5.99,6.16,4597191.0,89125024.0,64000000.0,0.071831109375,sz002463,沪电股份
18,2010-09-13,6.15,6.17,6.07,6.09,5276620.0,102730312.0,64000000.0,0.0824471875,sz002463,沪电股份
19,2010-09-14,6.14,6.16,6.04,6.12,3428067.0,66669712.0,64000000.0,0.053563546875,sz002463,沪电股份
20,2010-09-15,6.14,6.14,5.89,5.9,5347157.0,101869680.0,64000000.0,0.083549328125,sz002463,沪电股份
21,2010-09-16,5.9,5.98,5.69,5.73,4656989.0,85972240.0,64000000.0,0.072765453125,sz002463,沪电股份
22,2010-09-17,5.74,5.76,5.65,5.69,2199153.0,40082684.0,64000000.0,0.034361765625,sz002463,沪电股份
23,2010-09-20,5.7,5.73,5.4,5.44,3635690.0,64125476.0,64000000.0,0.05680765625,sz002463,沪电股份
24,2010-09-21,5.44,5.51,5.41,5.51,1765421.0,30752354.0,64000000.0,0.027584703125,sz002463,沪电股份
25,2010-09-27,5.56,5.57,5.48,5.56,1792822.0,31664842.0,64000000.0,0.02801284375,sz002463,沪电股份
26,2010-09-28,5.58,5.58,5.33,5.36,2936324.0,50787924.0,64000000.0,0.0458800625,sz002463,沪电股份
27,2010-09-29,5.34,5.35,5.18,5.23,2794659.0,46638628.0,64000000.0,0.043666546875,sz002463,沪电股份
28,2010-10-11,5.76,5.76,5.76,5.76,1010932.0,18570820.0,64000000.0,0.0157958125,sz002463,沪电股份
29,2010-10-12,5.96,5.96,5.65,5.65,6661003.0,123051544.0,64000000.0,0.104078171875,sz002463,沪电股份
30,2010-10-13,5.64,5.64,5.38,5.51,4498088.0,78355600.0,64000000.0,0.070282625,sz002463,沪电股份
31,2010-10-14,5.48,5.49,5.36,5.37,2858087.0,49310276.0,64000000.0,0.044657609375,sz002463,沪电股份
32,2010-10-15,5.33,5.48,5.3,5.35,2921047.0,50169188.0,64000000.0,0.045641359375,sz002463,沪电股份
33,2010-10-18,5.31,5.31,5.11,5.27,3250276.0,54004572.0,64000000.0,0.0507855625,sz002463,沪电股份
34,2010-10-19,5.26,5.47,5.23,5.46,3345829.0,57765320.0,64000000.0,0.052278578125,sz002463,沪电股份
35,2010-10-20,5.36,5.43,5.33,5.4,2825386.0,48618480.0,64000000.0,0.04414665625,sz002463,沪电股份
36,2010-10-21,5.45,5.62,5.36,5.61,4636530.0,81574568.0,64000000.0,0.07244578125,sz002463,沪电股份
37,2010-10-22,5.58,5.64,5.53,5.55,3064400.0,54429240.0,64000000.0,0.04788125,sz002463,沪电股份
38,2010-10-25,5.58,5.62,5.5,5.58,3160984.0,56096664.0,64000000.0,0.049390375,sz002463,沪电股份
39,2010-10-26,5.58,5.59,5.49,5.51,3217445.0,56670396.0,64000000.0,0.050272578125,sz002463,沪电股份
40,2010-10-27,5.51,5.63,5.47,5.56,3628874.0,64518704.0,64000000.0,0.05670115625,sz002463,沪电股份
41,2010-10-28,5.55,5.58,5.49,5.56,2345784.0,41401408.0,64000000.0,0.036652875,sz002463,沪电股份
42,2010-10-29,5.58,5.66,5.54,5.64,4454764.0,79856264.0,64000000.0,0.0696056875,sz002463,沪电股份
43,2010-11-01,5.66,5.68,5.59,5.67,4543210.0,81836584.0,64000000.0,0.07098765625,sz002463,沪电股份
44,2010-11-02,5.67,5.73,5.53,5.55,4503981.0,81026888.0,64000000.0,0.070374703125,sz002463,沪电股份
45,2010-11-03,5.54,5.54,5.41,5.41,3166904.0,55231960.0,64000000.0,0.049482875,sz002463,沪电股份
46,2010-11-04,5.41,5.48,5.41,5.46,1854515.0,32255604.0,64000000.0,0.028976796875,sz002463,沪电股份
47,2010-11-08,5.52,5.67,5.51,5.67,4529955.0,81124648.0,64000000.0,0.070780546875,sz002463,沪电股份
48,2010-11-09,5.69,5.7,5.61,5.64,3618075.0,65215368.0,64000000.0,0.056532421875,sz002463,沪电股份
49,2010-11-10,5.64,5.79,5.6,5.75,4803713.0,87780496.0,64000000.0,0.075058015625,sz002463,沪电股份
50,2010-11-11,5.72,6.11,5.69,5.89,9758655.0,183573424.0,64000000.0,0.152478984375,sz002463,沪电股份
