,date,open,high,low,close,volume,amount,outstanding_share,turnover,股票代码,股票名称
0,2010-09-15,1.02,1.17,1.02,1.17,31043424.0,1182485888.0,35040000.0,0.8859424657534246,sz002475,立讯精密
1,2010-09-16,1.17,1.24,1.14,1.18,17125240.0,699813184.0,35040000.0,0.4887340182648402,sz002475,立讯精密
2,2010-09-17,1.19,1.21,1.1,1.13,11802672.0,467264608.0,35040000.0,0.33683424657534244,sz002475,立讯精密
3,2010-09-20,1.12,1.19,1.09,1.1,8596809.0,338151072.0,35040000.0,0.24534272260273973,sz002475,立讯精密
4,2010-09-21,1.06,1.07,0.99,1.02,9231356.0,322270112.0,35040000.0,0.2634519406392694,sz002475,立讯精密
5,2010-09-27,1.03,1.06,1.01,1.05,5708605.0,203904080.0,35040000.0,0.16291680936073058,sz002475,立讯精密
6,2010-09-28,1.04,1.06,1.01,1.01,4692703.0,166702000.0,35040000.0,0.13392417237442922,sz002475,立讯精密
7,2010-09-29,1.0,1.07,0.98,1.06,5172356.0,183316544.0,35040000.0,0.147612899543379,sz002475,立讯精密
8,2010-09-30,1.05,1.14,1.04,1.1,5189412.0,194295024.0,35040000.0,0.1480996575342466,sz002475,立讯精密
9,2010-10-08,1.1,1.15,1.08,1.11,4922162.0,188668960.0,35040000.0,0.1404726598173516,sz002475,立讯精密
10,2010-10-11,1.1,1.11,1.04,1.05,5620211.0,206872928.0,35040000.0,0.160394149543379,sz002475,立讯精密
11,2010-10-12,1.03,1.06,1.01,1.02,5244866.0,184311424.0,35040000.0,0.1496822488584475,sz002475,立讯精密
12,2010-10-13,1.01,1.03,1.01,1.02,3089697.0,107798472.0,35040000.0,0.08817628424657534,sz002475,立讯精密
13,2010-10-14,1.05,1.11,1.04,1.08,10791278.0,399084224.0,35040000.0,0.3079702625570776,sz002475,立讯精密
14,2010-10-15,1.05,1.06,1.02,1.02,5898197.0,209804384.0,35040000.0,0.1683275399543379,sz002475,立讯精密
15,2010-10-18,1.01,1.01,0.94,0.99,3929061.0,132182560.0,35040000.0,0.11213073630136987,sz002475,立讯精密
16,2010-10-19,0.97,1.06,0.97,1.04,4180691.0,148045248.0,35040000.0,0.11931195776255708,sz002475,立讯精密
17,2010-10-20,1.02,1.08,1.01,1.07,4084616.0,148729424.0,35040000.0,0.11657009132420092,sz002475,立讯精密
18,2010-10-21,1.07,1.08,1.04,1.05,2386292.0,85871504.0,35040000.0,0.0681019406392694,sz002475,立讯精密
19,2010-10-22,1.04,1.07,1.04,1.05,2176566.0,78710280.0,35040000.0,0.0621166095890411,sz002475,立讯精密
20,2010-10-25,1.06,1.1,1.06,1.09,3919360.0,146259296.0,35040000.0,0.11185388127853882,sz002475,立讯精密
21,2010-10-26,1.09,1.09,1.05,1.06,3633322.0,132939440.0,35040000.0,0.10369069634703196,sz002475,立讯精密
22,2010-10-27,1.06,1.1,1.05,1.08,4478958.0,166815616.0,35040000.0,0.12782414383561644,sz002475,立讯精密
23,2010-10-28,1.07,1.19,1.07,1.19,8631854.0,339443008.0,35040000.0,0.24634286529680366,sz002475,立讯精密
24,2010-10-29,1.22,1.3,1.19,1.27,7304875.0,313697504.0,35040000.0,0.2084724600456621,sz002475,立讯精密
25,2010-11-01,1.25,1.35,1.25,1.28,6653710.0,296087488.0,35040000.0,0.18988898401826484,sz002475,立讯精密
26,2010-11-02,1.29,1.31,1.23,1.24,4174482.0,181979392.0,35040000.0,0.1191347602739726,sz002475,立讯精密
27,2010-11-03,1.23,1.25,1.21,1.24,2609172.0,110159520.0,35040000.0,0.07446267123287671,sz002475,立讯精密
28,2010-11-04,1.23,1.32,1.23,1.3,3025554.0,133457232.0,35040000.0,0.08634571917808219,sz002475,立讯精密
29,2010-11-05,1.29,1.42,1.29,1.38,3936883.0,183882064.0,35040000.0,0.11235396689497718,sz002475,立讯精密
30,2010-11-08,1.39,1.46,1.34,1.44,3872939.0,187602576.0,35040000.0,0.11052908105022831,sz002475,立讯精密
31,2010-11-09,1.42,1.43,1.38,1.4,3193279.0,153616272.0,35040000.0,0.09113239155251142,sz002475,立讯精密
32,2010-11-10,1.4,1.46,1.39,1.45,2650874.0,129937696.0,35040000.0,0.07565279680365297,sz002475,立讯精密
33,2010-11-11,1.43,1.49,1.37,1.37,3253324.0,158474816.0,35040000.0,0.09284600456621005,sz002475,立讯精密
34,2010-11-12,1.36,1.39,1.26,1.26,3514216.0,158570160.0,35040000.0,0.10029155251141553,sz002475,立讯精密
35,2010-11-15,1.26,1.37,1.26,1.36,2810695.0,126775984.0,35040000.0,0.08021389840182648,sz002475,立讯精密
36,2010-11-16,1.35,1.42,1.3,1.34,3467777.0,162441664.0,35040000.0,0.09896623858447488,sz002475,立讯精密
37,2010-11-17,1.32,1.36,1.28,1.3,1592721.0,72188640.0,35040000.0,0.04545436643835617,sz002475,立讯精密
38,2010-11-18,1.28,1.33,1.28,1.3,1802429.0,80155328.0,35040000.0,0.05143918378995434,sz002475,立讯精密
39,2010-11-19,1.3,1.4,1.27,1.39,3448929.0,157472560.0,35040000.0,0.0984283390410959,sz002475,立讯精密
40,2010-11-22,1.38,1.47,1.37,1.42,5647286.0,276894880.0,35040000.0,0.1611668378995434,sz002475,立讯精密
41,2010-11-23,1.42,1.47,1.38,1.45,3609346.0,176616176.0,35040000.0,0.1030064497716895,sz002475,立讯精密
42,2010-11-24,1.44,1.48,1.42,1.47,2636081.0,131233704.0,35040000.0,0.07523062214611873,sz002475,立讯精密
