,date,open,high,low,close,volume,amount,outstanding_share,turnover,股票代码,股票名称
0,2017-12-26,23.55,28.26,23.55,28.26,59715.0,1752288.0,100000000.0,0.00059715,sz002920,德赛西威
1,2017-12-27,31.08,31.08,31.08,31.08,25300.0,818202.0,100000000.0,0.000253,sz002920,德赛西威
2,2017-12-28,34.18,34.18,34.18,34.18,33670.0,1197642.0,100000000.0,0.0003367,sz002920,德赛西威
3,2017-12-29,37.61,37.61,37.61,37.61,150458.0,5887422.0,100000000.0,0.00150458,sz002920,德赛西威
4,2018-01-02,41.36,41.36,41.36,41.36,2711787.0,116715312.0,100000000.0,0.02711787,sz002920,德赛西威
5,2018-01-03,43.25,45.17,40.38,42.82,52637692.0,2333228465.0,100000000.0,0.52637692,sz002920,德赛西威
6,2018-01-04,41.7,46.13,41.47,44.36,42305881.0,1933484554.0,100000000.0,0.42305881,sz002920,德赛西威
7,2018-01-05,44.32,45.65,41.81,41.93,33276478.0,1497286565.0,100000000.0,0.33276478,sz002920,德赛西威
8,2018-01-08,46.02,46.12,44.57,46.12,39215531.0,1866861551.0,100000000.0,0.39215531,sz002920,德赛西威
9,2018-01-09,46.13,46.85,42.6,43.38,39137766.0,1804919012.0,100000000.0,0.39137766,sz002920,德赛西威
10,2018-01-10,41.98,42.89,40.63,41.53,25985386.0,1127222493.0,100000000.0,0.25985386,sz002920,德赛西威
11,2018-01-11,41.05,43.06,39.89,42.06,20958194.0,914654991.0,100000000.0,0.20958194,sz002920,德赛西威
12,2018-01-12,41.28,42.05,40.02,40.09,17627767.0,747991387.0,100000000.0,0.17627767,sz002920,德赛西威
13,2018-01-15,39.4,39.4,37.01,37.65,17985334.0,713946684.0,100000000.0,0.17985334,sz002920,德赛西威
14,2018-01-16,37.39,38.63,37.39,37.92,11337990.0,450260814.0,100000000.0,0.1133799,sz002920,德赛西威
15,2018-01-17,37.64,38.89,37.17,38.4,11872504.0,470895023.0,100000000.0,0.11872504,sz002920,德赛西威
16,2018-01-18,38.05,38.41,37.48,37.48,9097112.0,358078843.0,100000000.0,0.09097112,sz002920,德赛西威
17,2018-01-19,37.49,38.41,37.39,37.73,8838998.0,348178131.0,100000000.0,0.08838998,sz002920,德赛西威
18,2018-01-22,38.11,38.11,36.04,36.77,9444600.0,363716202.0,100000000.0,0.094446,sz002920,德赛西威
19,2018-01-23,36.81,38.33,36.81,37.95,10352884.0,407670591.0,100000000.0,0.10352884,sz002920,德赛西威
20,2018-01-24,37.77,39.29,37.48,38.51,11719914.0,470900443.0,100000000.0,0.11719914,sz002920,德赛西威
21,2018-01-25,38.63,39.21,38.06,38.27,10252473.0,412524895.0,100000000.0,0.10252473,sz002920,德赛西威
22,2018-01-26,37.97,38.19,36.83,37.39,10778773.0,418542080.0,100000000.0,0.10778773,sz002920,德赛西威
23,2018-01-29,37.17,37.47,36.15,36.56,6969365.0,266362007.0,100000000.0,0.06969365,sz002920,德赛西威
24,2018-01-30,36.19,36.99,36.12,36.84,5478635.0,208903738.0,100000000.0,0.05478635,sz002920,德赛西威
25,2018-01-31,36.52,36.52,34.1,34.17,9795628.0,358256831.0,100000000.0,0.09795628,sz002920,德赛西威
26,2018-02-01,34.41,34.74,31.98,32.28,10228518.0,351409183.0,100000000.0,0.10228518,sz002920,德赛西威
27,2018-02-02,32.12,32.85,30.75,32.61,7591048.0,254146094.0,100000000.0,0.07591048,sz002920,德赛西威
28,2018-02-05,31.79,33.36,31.74,32.03,4965952.0,168700320.0,100000000.0,0.04965952,sz002920,德赛西威
29,2018-02-06,30.86,32.6,30.77,31.34,7713446.0,254781764.0,100000000.0,0.07713446,sz002920,德赛西威
30,2018-02-07,32.2,34.46,31.25,33.34,10235023.0,348568811.0,100000000.0,0.10235023,sz002920,德赛西威
31,2018-02-08,33.22,35.46,32.95,34.11,8558343.0,305538238.0,100000000.0,0.08558343,sz002920,德赛西威
32,2018-02-09,32.93,34.16,32.03,33.09,7275111.0,251357571.0,100000000.0,0.07275111,sz002920,德赛西威
