,date,open,high,low,close,volume,amount,outstanding_share,turnover,股票代码,股票名称
0,2009-12-25,7.93,8.45,7.53,7.54,9661747.0,717010560.0,13440000.0,0.7188799851190476,sz300033,同花顺
1,2009-12-28,7.49,7.87,7.45,7.59,2823223.0,201759504.0,13440000.0,0.21006123511904762,sz300033,同花顺
2,2009-12-29,7.54,7.77,7.5,7.73,2134155.0,151742480.0,13440000.0,0.15879129464285716,sz300033,同花顺
3,2009-12-30,7.69,7.76,7.55,7.57,1771074.0,126105360.0,13440000.0,0.13177633928571428,sz300033,同花顺
4,2009-12-31,7.57,7.68,7.51,7.59,1019272.0,72095040.0,13440000.0,0.07583869047619048,sz300033,同花顺
5,2010-01-04,7.72,8.15,7.67,7.99,3627417.0,270247680.0,13440000.0,0.2698970982142857,sz300033,同花顺
6,2010-01-05,7.99,8.0,7.79,7.89,1775468.0,130424584.0,13440000.0,0.1321032738095238,sz300033,同花顺
7,2010-01-06,7.83,8.14,7.83,7.84,1714526.0,127669479.0,13440000.0,0.12756889880952382,sz300033,同花顺
8,2010-01-07,7.82,7.82,7.6,7.63,1387438.0,99786648.0,13440000.0,0.10323199404761904,sz300033,同花顺
9,2010-01-08,7.56,7.63,7.17,7.31,2182159.0,150317232.0,13440000.0,0.16236302083333334,sz300033,同花顺
10,2010-01-11,7.67,8.02,7.58,7.7,2430874.0,176287696.0,13440000.0,0.18086860119047618,sz300033,同花顺
11,2010-01-12,7.63,7.93,7.63,7.79,1740600.0,127207585.0,13440000.0,0.12950892857142857,sz300033,同花顺
12,2010-01-13,7.63,8.53,7.61,8.25,2481989.0,186611728.0,13440000.0,0.1846718005952381,sz300033,同花顺
13,2010-01-14,8.24,8.66,8.24,8.35,1968590.0,155240784.0,13440000.0,0.14647247023809523,sz300033,同花顺
14,2010-01-15,8.32,8.87,8.26,8.79,2222696.0,178811760.0,13440000.0,0.16537916666666666,sz300033,同花顺
15,2010-01-18,8.86,9.1,8.63,8.8,1790863.0,147635296.0,13440000.0,0.1332487351190476,sz300033,同花顺
16,2010-01-19,8.75,9.22,8.63,9.2,1963947.0,163762112.0,13440000.0,0.14612700892857142,sz300033,同花顺
17,2010-01-20,9.11,9.17,8.3,8.38,2320990.0,187881600.0,13440000.0,0.17269270833333333,sz300033,同花顺
