,date,open,high,low,close,volume,amount,outstanding_share,turnover,股票代码,股票名称
0,2015-01-21,6.77,7.45,6.77,7.45,94200.0,1229065.0,70000000.0,0.0013457142857142858,sz300413,芒果超媒
1,2015-01-22,8.2,8.2,8.2,8.2,22200.0,318792.0,70000000.0,0.00031714285714285715,sz300413,芒果超媒
2,2015-01-23,9.02,9.02,9.02,9.02,27400.0,432920.0,70000000.0,0.00039142857142857143,sz300413,芒果超媒
3,2015-01-26,9.93,9.93,9.93,9.93,57100.0,992398.0,70000000.0,0.0008157142857142857,sz300413,芒果超媒
4,2015-01-27,10.92,10.92,10.92,10.92,122950.0,2350804.0,70000000.0,0.0017564285714285713,sz300413,芒果超媒
5,2015-01-28,12.01,12.01,12.01,12.01,238799.0,5021943.0,70000000.0,0.0034114142857142858,sz300413,芒果超媒
6,2015-01-29,13.21,13.21,13.21,13.21,307756.0,7118397.0,70000000.0,0.004396514285714285,sz300413,芒果超媒
7,2015-01-30,14.53,14.53,14.53,14.53,391760.0,9966374.0,70000000.0,0.005596571428571428,sz300413,芒果超媒
8,2015-02-02,15.98,15.98,15.98,15.98,1150399.0,32188164.0,70000000.0,0.01643427142857143,sz300413,芒果超媒
9,2015-02-03,17.58,17.58,17.58,17.58,1062500.0,32703750.0,70000000.0,0.015178571428571428,sz300413,芒果超媒
10,2015-02-04,19.34,19.34,19.34,19.34,534450.0,18096476.0,70000000.0,0.007635,sz300413,芒果超媒
11,2015-02-05,21.27,21.27,21.27,21.27,610130.0,22727342.0,70000000.0,0.008716142857142856,sz300413,芒果超媒
12,2015-02-06,23.4,23.4,19.18,20.02,49110408.0,1767529472.0,70000000.0,0.7015772571428571,sz300413,芒果超媒
13,2015-02-09,18.66,19.58,18.02,18.05,26334820.0,854685504.0,70000000.0,0.37621171428571426,sz300413,芒果超媒
14,2015-02-10,17.99,18.65,17.14,18.41,21326374.0,675677120.0,70000000.0,0.3046624857142857,sz300413,芒果超媒
15,2015-02-11,18.65,20.25,18.03,19.64,29504350.0,996433088.0,70000000.0,0.4214907142857143,sz300413,芒果超媒
16,2015-02-12,19.45,19.79,18.86,19.42,21332316.0,722544960.0,70000000.0,0.30474737142857145,sz300413,芒果超媒
17,2015-02-13,19.13,21.07,18.99,20.14,24965300.0,869931648.0,70000000.0,0.3566471428571429,sz300413,芒果超媒
18,2015-02-16,20.39,22.16,19.82,22.16,18223906.0,675879488.0,70000000.0,0.2603415142857143,sz300413,芒果超媒
19,2015-02-17,22.71,23.36,21.23,21.3,25953244.0,1014753472.0,70000000.0,0.37076062857142855,sz300413,芒果超媒
20,2015-02-25,20.64,20.93,19.17,19.17,19743020.0,679258752.0,70000000.0,0.2820431428571429,sz300413,芒果超媒
21,2015-02-26,18.74,19.35,18.61,19.02,10829740.0,359403360.0,70000000.0,0.15471057142857142,sz300413,芒果超媒
22,2015-02-27,18.91,19.64,18.59,19.16,11240547.0,378453952.0,70000000.0,0.16057924285714287,sz300413,芒果超媒
23,2015-03-02,18.96,19.74,18.73,19.45,12461535.0,419307456.0,70000000.0,0.17802192857142857,sz300413,芒果超媒
24,2015-03-03,19.09,19.3,18.7,18.79,9774857.0,324787296.0,70000000.0,0.1396408142857143,sz300413,芒果超媒
25,2015-03-04,18.79,19.53,18.79,19.44,10785082.0,362275680.0,70000000.0,0.1540726,sz300413,芒果超媒
26,2015-03-05,19.42,20.13,19.19,19.31,12119721.0,416657056.0,70000000.0,0.17313887142857143,sz300413,芒果超媒
27,2015-03-06,19.16,19.16,18.05,18.25,12534635.0,407336256.0,70000000.0,0.1790662142857143,sz300413,芒果超媒
28,2015-03-09,17.93,18.49,17.71,18.33,5894289.0,187889792.0,70000000.0,0.08420412857142857,sz300413,芒果超媒
29,2015-03-10,18.27,19.07,18.19,18.85,11523726.0,379414400.0,70000000.0,0.16462465714285715,sz300413,芒果超媒
30,2015-03-11,18.78,20.11,18.62,19.64,15624992.0,530411200.0,70000000.0,0.22321417142857142,sz300413,芒果超媒
31,2015-03-12,19.63,19.99,18.23,19.1,9302207.0,310504832.0,70000000.0,0.13288867142857144,sz300413,芒果超媒
32,2015-03-13,18.92,20.75,18.63,20.54,14967315.0,520329120.0,70000000.0,0.21381878571428573,sz300413,芒果超媒
33,2015-03-16,20.84,22.56,20.5,21.05,21489228.0,805329600.0,70000000.0,0.30698897142857146,sz300413,芒果超媒
34,2015-03-17,20.84,21.51,20.58,21.07,10754975.0,395470944.0,70000000.0,0.1536425,sz300413,芒果超媒
35,2015-03-18,20.9,21.88,20.74,21.6,9954336.0,372005664.0,70000000.0,0.1422048,sz300413,芒果超媒
36,2015-03-19,21.42,21.61,20.91,21.21,7766691.0,288963488.0,70000000.0,0.11095272857142857,sz300413,芒果超媒
37,2015-03-20,21.08,21.8,20.87,21.07,9218525.0,343684992.0,70000000.0,0.1316932142857143,sz300413,芒果超媒
