,date,open,high,low,close,volume,amount,outstanding_share,turnover,股票代码,股票名称
0,2017-03-17,5.52,6.62,5.52,6.62,5300.0,669256.0,18670000.0,0.00028387787895018746,sz300628,亿联网络
1,2017-03-20,7.29,7.29,7.29,7.29,2000.0,280900.0,18670000.0,0.00010712372790573112,sz300628,亿联网络
2,2017-03-21,8.02,8.02,8.02,8.02,1300.0,200850.0,18670000.0,6.963042313872523e-05,sz300628,亿联网络
3,2017-03-22,8.82,8.82,8.82,8.82,700.0,118965.0,18670000.0,3.749330476700589e-05,sz300628,亿联网络
4,2017-03-23,9.7,9.7,9.7,9.7,1900.0,355205.0,18670000.0,0.00010176754151044456,sz300628,亿联网络
5,2017-03-24,10.67,10.67,10.67,10.67,6900.0,1418985.0,18670000.0,0.00036957686127477235,sz300628,亿联网络
6,2017-03-27,11.74,11.74,11.74,11.74,6900.0,1560918.0,18670000.0,0.00036957686127477235,sz300628,亿联网络
7,2017-03-28,12.91,12.91,12.91,12.91,5500.0,1368620.0,18670000.0,0.00029459025174076057,sz300628,亿联网络
8,2017-03-29,14.2,14.2,14.2,14.2,8900.0,2436108.0,18670000.0,0.00047670058918050347,sz300628,亿联网络
9,2017-03-30,15.62,15.62,15.62,15.62,143050.0,43070925.0,18670000.0,0.007662024638457418,sz300628,亿联网络
10,2017-03-31,17.18,17.18,17.18,17.18,300910.0,99661392.0,18670000.0,0.016117300482056774,sz300628,亿联网络
11,2017-04-05,18.9,18.9,17.34,17.98,9932831.0,3488990739.0,18670000.0,0.5320209426888056,sz300628,亿联网络
12,2017-04-06,18.31,19.61,18.06,18.63,5199925.0,1883940899.0,18670000.0,0.27851767541510447,sz300628,亿联网络
13,2017-04-07,18.34,18.99,17.95,18.0,3589324.0,1268593229.0,18670000.0,0.19225088377075522,sz300628,亿联网络
14,2017-04-10,17.59,17.59,16.6,16.62,3585652.0,1183636243.0,18670000.0,0.1920542046063203,sz300628,亿联网络
15,2017-04-11,16.4,16.85,15.91,16.36,3734659.0,1177319100.0,18670000.0,0.20003529726834493,sz300628,亿联网络
16,2017-04-12,16.03,16.29,15.48,15.62,3396381.0,1035687472.0,18670000.0,0.1819164970540975,sz300628,亿联网络
17,2017-04-13,15.69,16.42,15.69,15.86,2320626.0,719618479.0,18670000.0,0.1242970540974826,sz300628,亿联网络
18,2017-04-14,15.63,16.5,15.39,16.13,1954212.0,606406195.0,18670000.0,0.1046712372790573,sz300628,亿联网络
19,2017-04-17,15.56,16.34,15.3,15.67,1863000.0,568682703.0,18670000.0,0.09978575254418853,sz300628,亿联网络
20,2017-04-18,15.56,16.19,15.56,15.82,1296684.0,398386535.0,18670000.0,0.06945281199785752,sz300628,亿联网络
21,2017-04-19,15.81,17.38,15.81,16.8,2315785.0,742286556.0,18670000.0,0.12403776111408676,sz300628,亿联网络
22,2017-04-20,16.8,17.29,16.46,17.03,1985420.0,645382448.0,18670000.0,0.10634279592929834,sz300628,亿联网络
23,2017-04-21,16.86,16.98,16.55,16.59,1028402.0,330725761.0,18670000.0,0.055083128012854844,sz300628,亿联网络
24,2017-04-24,16.51,16.59,15.67,16.19,1372785.0,427281202.0,18670000.0,0.07352892340653455,sz300628,亿联网络
25,2017-04-25,16.24,17.45,15.98,17.13,1982732.0,646374819.0,18670000.0,0.10619882163899304,sz300628,亿联网络
26,2017-04-26,17.02,17.33,16.55,16.81,1708663.0,557698989.0,18670000.0,0.09151917514729513,sz300628,亿联网络
27,2017-04-27,17.02,18.49,16.88,18.49,3340151.0,1135545396.0,18670000.0,0.17890471344402786,sz300628,亿联网络
28,2017-04-28,18.26,18.67,18.13,18.39,1648974.0,584785284.0,18670000.0,0.08832212104981253,sz300628,亿联网络
29,2017-05-02,18.4,18.61,17.74,17.86,1439931.0,500594225.0,18670000.0,0.07712538832351366,sz300628,亿联网络
