,date,open,high,low,close,volume,amount,outstanding_share,turnover,股票代码,股票名称
0,2022-01-04,13.76,14.37,13.76,14.28,9237123.0,131798818.0,128030000.0,0.07214811372334609,sz300805,电声股份
1,2022-01-05,14.16,14.99,14.05,14.96,18697616.0,275578732.0,128030000.0,0.14604089666484418,sz300805,电声股份
2,2022-01-06,14.78,14.78,13.91,14.24,11238689.0,161872118.0,128030000.0,0.08778168398031712,sz300805,电声股份
3,2022-01-07,14.16,14.52,13.19,13.21,11135343.0,154997657.0,128030000.0,0.08697448254315394,sz300805,电声股份
4,2022-01-10,13.1,13.53,12.75,13.49,6855100.0,91489292.0,128030000.0,0.053542919628212136,sz300805,电声股份
5,2022-01-11,13.47,14.45,13.01,13.93,13422875.0,186130375.0,128030000.0,0.10484163867843474,sz300805,电声股份
6,2022-01-12,13.88,14.24,13.63,13.89,7853151.0,110100083.0,128030000.0,0.06133836600796688,sz300805,电声股份
7,2022-01-13,13.79,14.11,13.5,13.5,5860400.0,81113894.0,128030000.0,0.04577364680153089,sz300805,电声股份
8,2022-01-14,13.5,13.98,13.43,13.52,6235600.0,85848935.0,128030000.0,0.04870420995079278,sz300805,电声股份
9,2022-01-17,13.64,14.44,13.5,14.39,12035182.0,171786414.0,128030000.0,0.09400282746231352,sz300805,电声股份
10,2022-01-18,14.47,14.65,13.79,13.94,9605681.0,137262841.0,128030000.0,0.07502679840662345,sz300805,电声股份
11,2022-01-19,13.74,14.43,13.69,14.38,9247942.0,132572561.0,128030000.0,0.07223261735530735,sz300805,电声股份
12,2022-01-20,14.21,14.28,13.33,13.38,10325000.0,142549474.0,128030000.0,0.08064516129032258,sz300805,电声股份
13,2022-01-21,13.3,13.98,13.05,13.34,5617100.0,76003103.0,128030000.0,0.043873310942747795,sz300805,电声股份
14,2022-01-24,13.18,13.39,12.79,13.39,4832300.0,63771826.0,128030000.0,0.03774349761774584,sz300805,电声股份
15,2022-01-25,13.29,13.31,11.46,11.5,10233400.0,124648041.0,128030000.0,0.0799297039756307,sz300805,电声股份
16,2022-01-26,11.61,11.98,11.5,11.58,3876718.0,45747294.0,128030000.0,0.03027976255565102,sz300805,电声股份
17,2022-01-27,11.7,11.7,10.99,11.09,4258500.0,48643412.0,128030000.0,0.033261735530734984,sz300805,电声股份
18,2022-01-28,11.33,11.69,11.23,11.43,3760100.0,43498139.0,128030000.0,0.029368897914551276,sz300805,电声股份
19,2022-02-07,11.46,11.66,11.11,11.42,3287800.0,37741571.0,128030000.0,0.025679918769038506,sz300805,电声股份
20,2022-02-08,11.5,11.7,11.28,11.63,2710800.0,31588658.0,128030000.0,0.02117316254002968,sz300805,电声股份
21,2022-02-09,11.72,11.79,9.3,11.38,5839972.0,67341204.0,128030000.0,0.04561409044755135,sz300805,电声股份
22,2022-02-10,11.43,11.68,10.87,10.98,7649944.0,85999312.0,128030000.0,0.05975118331641022,sz300805,电声股份
23,2022-02-11,11.07,11.18,10.29,10.36,6832155.0,73060493.0,128030000.0,0.053363703819417324,sz300805,电声股份
24,2022-02-14,10.3,10.67,10.27,10.51,3748100.0,39791542.0,128030000.0,0.02927516988205889,sz300805,电声股份
25,2022-02-15,10.57,10.71,10.33,10.44,2799000.0,29589213.0,128030000.0,0.021862063578848706,sz300805,电声股份
26,2022-02-16,10.55,10.66,10.45,10.54,2835529.0,30115688.0,128030000.0,0.0221473795204249,sz300805,电声股份
27,2022-02-17,10.54,10.62,10.26,10.32,4180335.0,43845732.0,128030000.0,0.03265121455908771,sz300805,电声股份
28,2022-02-18,10.37,10.41,10.12,10.32,2682600.0,27745561.0,128030000.0,0.020952901663672578,sz300805,电声股份
29,2022-02-21,10.31,10.66,10.29,10.66,3150274.0,33489776.0,128030000.0,0.024605748652659534,sz300805,电声股份
