,date,open,high,low,close,volume,amount,outstanding_share,turnover,股票代码,股票名称
0,2022-01-04,17.61,17.7,17.1,17.36,10583955.0,191121596.0,417000000.0,0.025381187050359712,sz300821,东岳硅材
1,2022-01-05,17.44,17.44,16.67,16.9,10885616.0,192611924.0,417000000.0,0.026104594724220623,sz300821,东岳硅材
2,2022-01-06,16.79,17.22,16.76,17.07,8285100.0,146847381.0,417000000.0,0.01986834532374101,sz300821,东岳硅材
3,2022-01-07,17.07,17.14,16.52,16.53,10159601.0,177639230.0,417000000.0,0.024363551558752996,sz300821,东岳硅材
4,2022-01-10,16.53,17.11,16.37,17.02,12487618.0,218839945.0,417000000.0,0.02994632613908873,sz300821,东岳硅材
5,2022-01-11,17.28,18.1,17.28,17.46,27183523.0,500798062.0,417000000.0,0.06518830455635492,sz300821,东岳硅材
6,2022-01-12,17.37,17.92,17.37,17.81,18783931.0,347310363.0,417000000.0,0.04504539808153477,sz300821,东岳硅材
7,2022-01-13,17.71,17.72,17.35,17.38,12772717.0,233191353.0,417000000.0,0.030630016786570742,sz300821,东岳硅材
8,2022-01-14,17.28,17.64,17.08,17.49,11297632.0,205179742.0,417000000.0,0.02709264268585132,sz300821,东岳硅材
9,2022-01-17,17.34,17.67,17.03,17.63,12735515.0,231246298.0,417000000.0,0.03054080335731415,sz300821,东岳硅材
10,2022-01-18,17.64,17.64,17.24,17.4,10687076.0,194230218.0,417000000.0,0.025628479616306956,sz300821,东岳硅材
11,2022-01-19,17.36,17.36,16.8,16.97,9782500.0,173532107.0,417000000.0,0.02345923261390887,sz300821,东岳硅材
12,2022-01-20,16.92,17.09,16.21,16.24,11787958.0,203038163.0,417000000.0,0.028268484412470023,sz300821,东岳硅材
13,2022-01-21,16.23,16.24,15.79,15.83,8444733.0,140511974.0,417000000.0,0.020251158273381295,sz300821,东岳硅材
14,2022-01-24,15.74,16.44,15.68,16.36,8863972.0,149325921.0,417000000.0,0.02125652757793765,sz300821,东岳硅材
15,2022-01-25,16.15,16.45,15.48,15.53,10196888.0,169057949.0,417000000.0,0.02445296882494005,sz300821,东岳硅材
16,2022-01-26,16.62,18.61,16.62,17.14,40922152.0,746079894.0,417000000.0,0.09813465707434053,sz300821,东岳硅材
17,2022-01-27,16.62,16.97,16.02,16.16,29352798.0,503034418.0,417000000.0,0.07039040287769784,sz300821,东岳硅材
18,2022-01-28,16.2,16.37,15.58,16.09,14983500.0,249988135.0,417000000.0,0.035931654676258994,sz300821,东岳硅材
19,2022-02-07,16.66,16.84,16.25,16.8,20403182.0,351869661.0,417000000.0,0.048928494004796166,sz300821,东岳硅材
20,2022-02-08,16.6,16.9,16.4,16.9,16049363.0,278792052.0,417000000.0,0.038487681055155876,sz300821,东岳硅材
21,2022-02-09,17.43,17.55,16.94,17.15,21279810.0,381500195.0,417000000.0,0.051030719424460434,sz300821,东岳硅材
22,2022-02-10,16.89,16.99,16.66,16.81,14732031.0,258291878.0,417000000.0,0.03532861151079137,sz300821,东岳硅材
23,2022-02-11,16.7,17.06,16.37,16.67,15811055.0,275955892.0,417000000.0,0.03791619904076739,sz300821,东岳硅材
24,2022-02-14,16.42,16.64,16.27,16.34,9620465.0,164479070.0,417000000.0,0.023070659472422064,sz300821,东岳硅材
25,2022-02-15,16.44,17.06,16.39,17.0,18993987.0,333252641.0,417000000.0,0.04554912949640288,sz300821,东岳硅材
26,2022-02-16,16.89,17.21,16.84,17.17,17484740.0,310667280.0,417000000.0,0.04192983213429256,sz300821,东岳硅材
27,2022-02-17,17.16,17.64,16.97,17.54,28286248.0,513595939.0,417000000.0,0.06783272901678657,sz300821,东岳硅材
28,2022-02-18,17.33,17.48,17.19,17.43,15097014.0,273061011.0,417000000.0,0.03620387050359712,sz300821,东岳硅材
29,2022-02-21,17.34,17.52,17.14,17.52,15101468.0,272910920.0,417000000.0,0.036214551558753,sz300821,东岳硅材
30,2022-02-22,17.53,17.86,17.08,17.86,22895603.0,417595947.0,417000000.0,0.05490552278177458,sz300821,东岳硅材
31,2022-02-23,17.82,19.95,17.7,19.27,51106666.0,1004550415.0,417000000.0,0.1225579520383693,sz300821,东岳硅材
32,2022-02-24,18.99,20.26,18.51,18.94,61265043.0,1238139868.0,417000000.0,0.14691856834532374,sz300821,东岳硅材
33,2022-02-25,19.3,19.47,18.52,18.59,31936700.0,626774853.0,417000000.0,0.07658681055155875,sz300821,东岳硅材
34,2022-02-28,18.39,18.82,18.13,18.59,21200830.0,408870218.0,417000000.0,0.05084131894484412,sz300821,东岳硅材
35,2022-03-01,18.72,19.95,18.71,19.76,46844738.0,947578483.0,417000000.0,0.11233750119904076,sz300821,东岳硅材
36,2022-03-02,19.31,21.09,19.3,20.77,59500823.0,1254227163.0,417000000.0,0.14268782494004797,sz300821,东岳硅材
37,2022-03-03,20.75,21.45,20.04,20.08,48927691.0,1053810447.0,417000000.0,0.11733259232613909,sz300821,东岳硅材
38,2022-03-04,19.99,20.17,19.19,19.5,34530930.0,707817298.0,417000000.0,0.08280798561151079,sz300821,东岳硅材
39,2022-03-07,19.5,20.22,19.45,19.82,34242244.0,710181415.0,417000000.0,0.08211569304556354,sz300821,东岳硅材
40,2022-03-08,19.54,19.78,18.54,18.71,29455758.0,587581371.0,417000000.0,0.07063730935251798,sz300821,东岳硅材
41,2022-03-09,18.99,19.12,16.86,17.85,33528360.0,627194302.0,417000000.0,0.08040374100719425,sz300821,东岳硅材
42,2022-03-10,18.39,18.59,17.97,18.12,28825999.0,547583558.0,417000000.0,0.0691270959232614,sz300821,东岳硅材
43,2022-03-11,17.68,18.45,17.53,18.3,22862366.0,426847316.0,417000000.0,0.054825817745803355,sz300821,东岳硅材
44,2022-03-14,18.03,18.13,17.31,17.36,19059700.0,352696906.0,417000000.0,0.04570671462829736,sz300821,东岳硅材
45,2022-03-15,17.16,17.53,16.5,16.5,18682689.0,332001296.0,417000000.0,0.04480261151079137,sz300821,东岳硅材
46,2022-03-16,16.84,17.16,16.31,17.12,19086238.0,334317042.0,417000000.0,0.045770354916067145,sz300821,东岳硅材
47,2022-03-17,17.25,18.02,17.23,17.31,21368200.0,390750919.0,417000000.0,0.05124268585131894,sz300821,东岳硅材
48,2022-03-18,17.15,17.7,17.09,17.52,15995979.0,291353611.0,417000000.0,0.038359661870503596,sz300821,东岳硅材
49,2022-03-21,17.47,17.7,17.16,17.67,16750969.0,305338021.0,417000000.0,0.040170189448441244,sz300821,东岳硅材
50,2022-03-22,17.59,17.7,17.23,17.27,16824595.0,304918296.0,417000000.0,0.040346750599520385,sz300821,东岳硅材
51,2022-03-23,17.55,17.65,17.04,17.14,16570922.0,300216186.0,417000000.0,0.03973842206235012,sz300821,东岳硅材
52,2022-03-24,16.8,16.94,16.45,16.77,16588783.0,288800229.0,417000000.0,0.03978125419664268,sz300821,东岳硅材
53,2022-03-25,16.75,16.88,16.31,16.37,14397023.0,248745012.0,417000000.0,0.03452523501199041,sz300821,东岳硅材
54,2022-03-28,16.12,16.24,15.69,15.94,12799200.0,212864669.0,417000000.0,0.030693525179856115,sz300821,东岳硅材
55,2022-03-29,16.02,16.09,15.64,15.78,10313262.0,170440224.0,417000000.0,0.024732043165467624,sz300821,东岳硅材
56,2022-03-30,15.86,16.23,15.76,16.13,12742163.0,212623881.0,417000000.0,0.030556745803357314,sz300821,东岳硅材
57,2022-03-31,15.98,16.02,15.59,15.61,12145000.0,199688748.0,417000000.0,0.029124700239808152,sz300821,东岳硅材
58,2022-04-01,15.52,15.69,15.46,15.57,7673352.0,124517028.0,417000000.0,0.018401323741007194,sz300821,东岳硅材
59,2022-04-06,15.37,15.52,15.02,15.19,10891822.0,172267158.0,417000000.0,0.02611947721822542,sz300821,东岳硅材
60,2022-04-07,15.12,15.32,14.77,14.77,10223011.0,159891619.0,417000000.0,0.024515613908872903,sz300821,东岳硅材
61,2022-04-08,14.68,15.01,14.53,14.85,9682200.0,149253245.0,417000000.0,0.02321870503597122,sz300821,东岳硅材
62,2022-04-11,14.78,14.83,14.08,14.19,10040332.0,150753420.0,417000000.0,0.024077534772182253,sz300821,东岳硅材
63,2022-04-12,14.2,14.34,13.81,14.33,8621919.0,126746359.0,417000000.0,0.02067606474820144,sz300821,东岳硅材
64,2022-04-13,14.17,14.49,14.04,14.16,7637095.0,113559467.0,417000000.0,0.01831437649880096,sz300821,东岳硅材
65,2022-04-14,14.17,14.41,14.16,14.27,6939698.0,103268322.0,417000000.0,0.016641961630695444,sz300821,东岳硅材
66,2022-04-15,14.24,15.0,13.94,14.74,17482847.0,266843792.0,417000000.0,0.04192529256594724,sz300821,东岳硅材
67,2022-04-18,14.62,15.12,14.43,15.03,11433400.0,177028104.0,417000000.0,0.02741822541966427,sz300821,东岳硅材
68,2022-04-19,15.43,15.54,14.82,14.88,10598537.0,166555174.0,417000000.0,0.02541615587529976,sz300821,东岳硅材
69,2022-04-20,14.87,15.23,14.73,14.96,9788306.0,153239978.0,417000000.0,0.02347315587529976,sz300821,东岳硅材
70,2022-04-21,14.87,14.96,14.06,14.12,10591428.0,159018475.0,417000000.0,0.025399107913669065,sz300821,东岳硅材
71,2022-04-22,13.91,14.01,13.31,13.54,11057563.0,157488042.0,417000000.0,0.026516937649880095,sz300821,东岳硅材
72,2022-04-25,12.94,13.25,12.45,12.47,11070359.0,148121204.0,417000000.0,0.02654762350119904,sz300821,东岳硅材
73,2022-04-26,12.57,12.64,11.9,11.96,11145064.0,139027804.0,417000000.0,0.026726772182254197,sz300821,东岳硅材
74,2022-04-27,11.96,12.94,11.66,12.9,16312842.0,204551417.0,417000000.0,0.03911952517985612,sz300821,东岳硅材
75,2022-04-28,12.72,13.07,12.61,12.78,12152954.0,157645282.0,417000000.0,0.02914377458033573,sz300821,东岳硅材
76,2022-04-29,13.05,13.47,12.78,13.36,12215064.0,162945952.0,417000000.0,0.02929271942446043,sz300821,东岳硅材
77,2022-05-05,13.34,13.68,13.11,13.38,11098924.0,151215705.0,417000000.0,0.02661612470023981,sz300821,东岳硅材
78,2022-05-06,12.9,13.26,12.83,13.06,7490146.0,99047947.0,417000000.0,0.017961980815347722,sz300821,东岳硅材
79,2022-05-09,13.0,13.38,12.98,13.29,6199310.0,83094002.0,417000000.0,0.014866450839328537,sz300821,东岳硅材
80,2022-05-10,13.04,13.61,13.01,13.53,8715535.0,118449969.0,417000000.0,0.020900563549160672,sz300821,东岳硅材
81,2022-05-11,13.5,14.67,13.5,13.87,18540259.0,264287894.0,417000000.0,0.044461052757793766,sz300821,东岳硅材
82,2022-05-12,13.69,13.97,13.57,13.83,9217548.0,128644119.0,417000000.0,0.02210443165467626,sz300821,东岳硅材
83,2022-05-13,13.93,14.13,13.75,14.0,8883093.0,125319299.0,417000000.0,0.021302381294964028,sz300821,东岳硅材
84,2022-05-16,14.0,14.18,13.72,13.76,8548540.0,120357402.0,417000000.0,0.02050009592326139,sz300821,东岳硅材
85,2022-05-17,13.76,14.08,13.7,14.05,8626657.0,121601360.0,417000000.0,0.02068742685851319,sz300821,东岳硅材
86,2022-05-18,14.03,14.19,13.88,13.93,8048203.0,114175355.0,417000000.0,0.01930024700239808,sz300821,东岳硅材
87,2022-05-19,13.64,14.87,13.55,14.87,25220667.0,367706669.0,417000000.0,0.060481215827338126,sz300821,东岳硅材
88,2022-05-20,14.84,15.35,14.61,14.76,22614258.0,340682995.0,417000000.0,0.0542308345323741,sz300821,东岳硅材
89,2022-05-23,14.7,14.92,14.6,14.85,12695640.0,189781116.0,417000000.0,0.03044517985611511,sz300821,东岳硅材
90,2022-05-24,14.85,15.27,14.72,14.86,22631233.0,343574882.0,417000000.0,0.05427154196642686,sz300821,东岳硅材
91,2022-05-25,14.87,14.92,14.34,14.65,13857905.0,204410979.0,417000000.0,0.0332323860911271,sz300821,东岳硅材
92,2022-05-26,14.57,14.94,14.19,14.64,13670493.0,201627837.0,417000000.0,0.032782956834532376,sz300821,东岳硅材
93,2022-05-27,14.71,15.34,14.63,15.17,24249041.0,370533277.0,417000000.0,0.058151177458033575,sz300821,东岳硅材
94,2022-05-30,14.98,15.12,14.64,15.06,16047025.0,241421338.0,417000000.0,0.038482074340527576,sz300821,东岳硅材
95,2022-05-31,15.22,15.48,15.06,15.09,18298121.0,282315920.0,417000000.0,0.0438803860911271,sz300821,东岳硅材
96,2022-06-01,14.87,15.09,14.77,14.86,13097040.0,197434189.0,417000000.0,0.03140776978417266,sz300821,东岳硅材
97,2022-06-02,14.73,14.97,14.7,14.8,11535466.0,173216234.0,417000000.0,0.027662988009592326,sz300821,东岳硅材
98,2022-06-06,14.72,15.54,14.71,15.44,21675403.0,335465697.0,417000000.0,0.05197938369304556,sz300821,东岳硅材
99,2022-06-07,15.5,15.76,15.17,15.38,18377493.0,287251857.0,417000000.0,0.044070726618705036,sz300821,东岳硅材
100,2022-06-08,15.3,15.63,14.93,15.51,18946111.0,294001848.0,417000000.0,0.04543431894484413,sz300821,东岳硅材
101,2022-06-09,15.35,16.38,15.23,16.17,37666016.0,608437513.0,417000000.0,0.09032617745803358,sz300821,东岳硅材
102,2022-06-10,15.82,17.83,15.73,17.13,45183700.0,764513131.0,417000000.0,0.10835419664268585,sz300821,东岳硅材
103,2022-06-13,16.73,17.79,16.64,17.15,39646482.0,695780389.0,417000000.0,0.0950754964028777,sz300821,东岳硅材
104,2022-06-14,16.8,19.82,16.69,18.92,63796646.0,1193140873.0,417000000.0,0.1529895587529976,sz300821,东岳硅材
105,2022-06-15,19.22,19.44,18.14,18.55,56023414.0,1063505511.0,417000000.0,0.13434871462829737,sz300821,东岳硅材
106,2022-06-16,18.42,18.98,18.08,18.5,32846728.0,614068235.0,417000000.0,0.07876913189448441,sz300821,东岳硅材
107,2022-06-17,18.2,20.11,18.14,18.99,55799621.0,1091418034.0,417000000.0,0.1338120407673861,sz300821,东岳硅材
108,2022-06-20,18.87,19.06,18.08,18.46,39202579.0,733063174.0,417000000.0,0.09401098081534773,sz300821,东岳硅材
109,2022-06-21,18.1,18.28,17.27,17.44,37304097.0,664407317.0,417000000.0,0.08945826618705036,sz300821,东岳硅材
110,2022-06-22,17.46,17.87,17.29,17.3,22330800.0,396805759.0,417000000.0,0.053551079136690646,sz300821,东岳硅材
111,2022-06-23,17.21,17.7,16.84,17.58,25693554.0,449546928.0,417000000.0,0.061615237410071945,sz300821,东岳硅材
112,2022-06-24,17.49,18.43,17.49,18.36,35746551.0,656282073.0,417000000.0,0.08572314388489209,sz300821,东岳硅材
113,2022-06-27,18.55,18.58,17.94,18.19,26222504.0,483900224.0,417000000.0,0.06288370263788969,sz300821,东岳硅材
114,2022-06-28,18.07,18.46,17.93,18.4,24300710.0,447022138.0,417000000.0,0.058275083932853716,sz300821,东岳硅材
115,2022-06-29,18.46,19.26,17.86,17.86,30628036.0,574143527.0,417000000.0,0.07344852757793766,sz300821,东岳硅材
116,2022-06-30,17.81,18.38,17.49,18.16,25430159.0,461092407.0,417000000.0,0.06098359472422062,sz300821,东岳硅材
117,2022-07-01,18.13,18.64,17.69,18.5,30177050.0,560457688.0,417000000.0,0.07236702637889689,sz300821,东岳硅材
118,2022-07-04,18.48,18.89,17.96,18.77,28105135.0,528304444.0,417000000.0,0.06739840527577938,sz300821,东岳硅材
119,2022-07-05,18.9,18.9,18.03,18.39,22091755.0,411138508.0,417000000.0,0.052977829736211034,sz300821,东岳硅材
120,2022-07-06,18.16,18.22,17.06,17.29,25422645.0,451176355.0,417000000.0,0.06096557553956834,sz300821,东岳硅材
121,2022-07-07,17.29,17.75,17.14,17.61,15041394.0,266975215.0,417000000.0,0.036070489208633094,sz300821,东岳硅材
122,2022-07-08,17.68,17.88,17.14,17.14,13344600.0,234450487.0,417000000.0,0.032001438848920864,sz300821,东岳硅材
123,2022-07-11,17.01,17.08,16.34,16.49,15488375.0,260547702.0,417000000.0,0.0371423860911271,sz300821,东岳硅材
124,2022-07-12,16.5,16.76,16.3,16.33,9775713.0,163226263.0,417000000.0,0.023442956834532375,sz300821,东岳硅材
125,2022-07-13,16.26,16.55,16.13,16.42,9600853.0,159040885.0,417000000.0,0.02302362829736211,sz300821,东岳硅材
126,2022-07-14,16.35,16.97,16.3,16.84,13677361.0,232110637.0,417000000.0,0.03279942685851319,sz300821,东岳硅材
127,2022-07-15,16.69,17.08,16.38,16.41,12171802.0,206578902.0,417000000.0,0.029188973621103117,sz300821,东岳硅材
128,2022-07-18,16.41,16.98,16.24,16.9,13166447.0,221421301.0,417000000.0,0.03157421342925659,sz300821,东岳硅材
129,2022-07-19,16.95,17.14,16.7,16.9,15272212.0,261842620.0,417000000.0,0.03662400959232614,sz300821,东岳硅材
