,date,open,high,low,close,volume,amount,outstanding_share,turnover,股票代码,股票名称
0,2022-01-04,24.54,24.89,23.5,23.54,2914399.0,252993342.0,53925480.0,0.05404493386057945,sz300827,上能电气
1,2022-01-05,23.58,23.88,22.63,22.81,2344528.0,196882223.0,53925480.0,0.04347718369868938,sz300827,上能电气
2,2022-01-06,22.48,23.1,22.37,22.94,1832020.0,152159752.0,53925480.0,0.03397317928370781,sz300827,上能电气
3,2022-01-07,23.08,23.27,21.66,21.92,3268340.0,263170253.0,53925480.0,0.060608454481999974,sz300827,上能电气
4,2022-01-10,21.77,22.11,21.64,21.81,1618297.0,128662223.0,53925480.0,0.030009876592660835,sz300827,上能电气
5,2022-01-11,21.87,21.97,21.27,21.44,2032518.0,158663275.0,53925480.0,0.037691236128078974,sz300827,上能电气
6,2022-01-12,21.7,22.27,21.47,22.04,2392252.0,190353938.0,53925480.0,0.04436218277519273,sz300827,上能电气
7,2022-01-13,22.04,22.22,21.35,21.35,1803980.0,141503626.0,53925480.0,0.033453202456426905,sz300827,上能电气
8,2022-01-14,20.98,22.14,20.98,21.82,2634162.0,208229493.0,53925480.0,0.04884818827760087,sz300827,上能电气
9,2022-01-17,21.82,22.25,21.29,22.11,2723440.0,215341383.0,53925480.0,0.05050376927567451,sz300827,上能电气
10,2022-01-18,22.09,23.13,21.43,21.49,4117699.0,331281033.0,53925480.0,0.07635906068893591,sz300827,上能电气
11,2022-01-19,21.13,21.33,20.49,20.79,2870760.0,217768679.0,53925480.0,0.05323568747093211,sz300827,上能电气
12,2022-01-20,20.82,20.99,19.93,20.0,2557760.0,188353809.0,53925480.0,0.04743138123202612,sz300827,上能电气
13,2022-01-21,20.0,20.47,19.66,20.1,2475369.0,180508609.0,53925480.0,0.0459035135153178,sz300827,上能电气
14,2022-01-24,20.08,21.7,19.99,21.01,4390787.0,332850232.0,53925480.0,0.08142323443388914,sz300827,上能电气
15,2022-01-25,20.94,21.76,20.42,20.42,2819972.0,216219730.0,53925480.0,0.0522938692432594,sz300827,上能电气
16,2022-01-26,20.63,21.51,20.38,20.67,2900669.0,220795807.0,53925480.0,0.053790323238661945,sz300827,上能电气
17,2022-01-27,20.41,20.88,19.5,19.51,2390280.0,174541435.0,53925480.0,0.04432561379147668,sz300827,上能电气
18,2022-01-28,19.83,20.22,19.08,19.14,2101380.0,149012660.0,53925480.0,0.038968220588857065,sz300827,上能电气
19,2022-02-07,19.5,20.49,19.42,19.91,2473080.0,179203964.0,53925480.0,0.04586106604892529,sz300827,上能电气
20,2022-02-08,19.86,20.01,18.67,19.34,2486339.0,173215960.0,53925480.0,0.04610694239532036,sz300827,上能电气
21,2022-02-09,19.34,19.71,18.81,19.63,2117460.0,149066265.0,53925480.0,0.039266409867839844,sz300827,上能电气
22,2022-02-10,19.66,19.76,18.65,18.94,2597100.0,179240054.0,53925480.0,0.04816090649540811,sz300827,上能电气
23,2022-02-11,18.81,18.82,18.18,18.32,1828418.0,122520955.0,53925480.0,0.03390638340168692,sz300827,上能电气
24,2022-02-14,18.3,18.82,17.91,18.59,1657659.0,111717313.0,53925480.0,0.030739809826449388,sz300827,上能电气
25,2022-02-15,18.65,19.44,18.61,19.37,3048351.0,212545129.0,53925480.0,0.05652895440151854,sz300827,上能电气
26,2022-02-16,19.63,21.01,19.15,20.13,4638940.0,339060676.0,53925480.0,0.08602501081121577,sz300827,上能电气
27,2022-02-17,20.26,21.87,19.83,21.4,8001976.0,613557189.0,53925480.0,0.14838951827596156,sz300827,上能电气
28,2022-02-18,21.18,21.67,20.55,20.81,4968950.0,380572701.0,53925480.0,0.09214475235083674,sz300827,上能电气
29,2022-02-21,20.08,21.18,19.84,20.64,4983160.0,370065809.0,53925480.0,0.0924082641452612,sz300827,上能电气
30,2022-02-22,20.08,21.67,19.94,21.14,6175758.0,469615809.0,53925480.0,0.1145239319149315,sz300827,上能电气
31,2022-02-23,20.85,21.99,20.71,21.73,5744345.0,449264606.0,53925480.0,0.10652376205088948,sz300827,上能电气
32,2022-02-24,21.56,22.33,20.55,20.9,7135896.0,557914065.0,53925480.0,0.13232883601592418,sz300827,上能电气
33,2022-02-25,21.36,21.59,20.58,21.11,3807579.0,291495339.0,53925480.0,0.07060816148507162,sz300827,上能电气
34,2022-02-28,20.91,21.3,20.4,21.17,2796794.0,212757446.0,53925480.0,0.051864053875830124,sz300827,上能电气
35,2022-03-01,21.3,21.85,20.78,20.84,3130040.0,241023874.0,53925480.0,0.05804380415343544,sz300827,上能电气
36,2022-03-02,20.63,25.01,20.41,23.84,11298128.0,957124651.0,53925480.0,0.20951372152830164,sz300827,上能电气
37,2022-03-03,23.84,23.84,22.33,22.52,8500946.0,703684705.0,53925480.0,0.1576424725380284,sz300827,上能电气
38,2022-03-04,22.23,23.27,22.06,22.28,5671000.0,467213771.0,53925480.0,0.10516364434771837,sz300827,上能电气
39,2022-03-07,21.71,22.29,21.13,21.98,3874743.0,305560045.0,53925480.0,0.07185365804810638,sz300827,上能电气
40,2022-03-08,21.95,23.7,21.87,22.99,8192915.0,685999793.0,53925480.0,0.15193031197867873,sz300827,上能电气
41,2022-03-09,23.95,24.56,22.23,24.1,8725417.0,752943863.0,53925480.0,0.16180508731679347,sz300827,上能电气
42,2022-03-10,24.98,25.44,23.57,24.15,8594480.0,769641027.0,53925480.0,0.15937697726566366,sz300827,上能电气
43,2022-03-11,22.5,23.0,21.59,22.4,6972822.0,565213259.0,53925480.0,0.1293047739213448,sz300827,上能电气
44,2022-03-14,21.57,22.01,20.36,20.55,4394356.0,335636955.0,53925480.0,0.08148941836030017,sz300827,上能电气
45,2022-03-15,19.8,20.49,18.92,19.03,3762765.0,269061518.0,53925480.0,0.06977712576689164,sz300827,上能电气
46,2022-03-16,19.39,20.05,18.49,19.93,4219468.0,296742671.0,53925480.0,0.0782462761573935,sz300827,上能电气
