,date,open,high,low,close,volume,amount,outstanding_share,turnover,股票代码,股票名称
0,2022-01-04,18.5,18.66,18.22,18.66,455000.0,16209693.0,29595220.0,0.015374104331713026,sz300836,佰奥智能
1,2022-01-05,18.64,18.66,18.15,18.42,332000.0,11696917.0,29595220.0,0.011218027776107087,sz300836,佰奥智能
2,2022-01-06,18.36,18.74,18.23,18.62,311900.0,11130464.0,29595220.0,0.010538864046288557,sz300836,佰奥智能
3,2022-01-07,18.74,18.74,18.17,18.23,394500.0,13922815.0,29595220.0,0.013329855294199536,sz300836,佰奥智能
4,2022-01-10,18.16,18.56,17.96,18.44,306800.0,10824939.0,29595220.0,0.010366538920812213,sz300836,佰奥智能
5,2022-01-11,18.44,18.83,18.4,18.54,424700.0,15172553.0,29595220.0,0.014350290350941807,sz300836,佰奥智能
6,2022-01-12,18.58,19.15,18.58,18.97,497502.0,18089727.0,29595220.0,0.01681021462249647,sz300836,佰奥智能
7,2022-01-13,18.87,19.15,18.79,18.99,451202.0,16465998.0,29595220.0,0.015245772797093585,sz300836,佰奥智能
8,2022-01-14,18.99,19.19,18.48,18.48,408900.0,14722837.0,29595220.0,0.013816420354368036,sz300836,佰奥智能
9,2022-01-17,18.49,19.18,18.48,19.07,720300.0,26297721.0,29595220.0,0.02433838978051185,sz300836,佰奥智能
10,2022-01-18,19.13,19.24,18.58,18.68,614500.0,22176116.0,29595220.0,0.020763488157884955,sz300836,佰奥智能
11,2022-01-19,18.51,19.2,18.51,19.13,868600.0,31673774.0,29595220.0,0.029349334115441616,sz300836,佰奥智能
12,2022-01-20,19.15,19.15,18.38,18.6,941800.0,33680638.0,29595220.0,0.03182270650463149,sz300836,佰奥智能
13,2022-01-21,18.48,20.24,18.01,19.53,2301700.0,85461501.0,29595220.0,0.07777269437429422,sz300836,佰奥智能
14,2022-01-24,19.77,21.97,19.7,20.5,3863700.0,154847079.0,29595220.0,0.13055148770646072,sz300836,佰奥智能
15,2022-01-25,19.8,20.17,17.72,17.99,2719200.0,99247906.0,29595220.0,0.09187970219515179,sz300836,佰奥智能
16,2022-01-26,17.54,17.72,16.23,16.55,1876900.0,60584841.0,29595220.0,0.06341902509932347,sz300836,佰奥智能
17,2022-01-27,16.6,16.71,15.84,15.85,948200.0,29555981.0,29595220.0,0.032038957642484156,sz300836,佰奥智能
18,2022-01-28,16.25,16.52,15.88,16.25,508600.0,15869719.0,29595220.0,0.01718520761122911,sz300836,佰奥智能
19,2022-02-07,16.58,16.78,16.25,16.66,549600.0,17528678.0,29595220.0,0.018570566463097758,sz300836,佰奥智能
